MJD,c,c_err,o,o_err
58866.398,17.875,0.039,NaN,NaN
58866.401,17.877,0.038,NaN,NaN
58866.406,17.899,0.040,NaN,NaN
58866.417,17.919,0.039,NaN,NaN
58866.478,17.894,0.046,NaN,NaN
58868.317,NaN,NaN,17.879,0.040
58868.320,NaN,NaN,17.848,0.045
58868.325,NaN,NaN,17.845,0.038
58868.326,NaN,NaN,17.818,0.045
58868.337,NaN,NaN,17.903,0.039
58869.351,17.863,0.034,NaN,NaN
58869.354,17.758,0.032,NaN,NaN
58869.360,17.780,0.033,NaN,NaN
58869.374,17.803,0.034,NaN,NaN
58870.316,17.856,0.033,NaN,NaN
58870.319,17.783,0.037,NaN,NaN
58870.326,17.716,0.032,NaN,NaN
58870.337,17.793,0.033,NaN,NaN
58872.356,NaN,NaN,17.822,0.046
58872.360,NaN,NaN,17.793,0.039
58872.367,NaN,NaN,17.988,0.044
58872.376,NaN,NaN,17.793,0.038
58874.358,17.954,0.042,NaN,NaN
58874.362,17.896,0.039,NaN,NaN
58874.367,17.934,0.045,NaN,NaN
58874.378,17.951,0.044,NaN,NaN
58876.305,NaN,NaN,17.818,0.040
58876.308,NaN,NaN,17.929,0.041
58876.314,NaN,NaN,17.771,0.041
58876.324,NaN,NaN,17.829,0.042
58877.323,17.846,0.046,NaN,NaN
58877.328,17.989,0.050,NaN,NaN
58877.338,17.941,0.047,NaN,NaN
58877.347,17.850,0.038,NaN,NaN
58878.251,NaN,NaN,17.684,0.042
58878.254,NaN,NaN,17.728,0.041
58878.273,NaN,NaN,17.698,0.054
58878.283,NaN,NaN,17.683,0.040
58880.320,NaN,NaN,17.839,0.048
58880.323,NaN,NaN,17.812,0.052
58880.329,NaN,NaN,17.771,0.042
58882.332,NaN,NaN,17.763,0.061
58882.335,NaN,NaN,17.603,0.043
58882.341,NaN,NaN,17.768,0.060
58882.352,NaN,NaN,17.692,0.061
58888.333,NaN,NaN,17.982,0.123
58888.337,NaN,NaN,17.833,0.130
58888.343,NaN,NaN,17.949,0.127
58888.356,NaN,NaN,17.756,0.085
58900.254,NaN,NaN,17.749,0.042
58900.257,NaN,NaN,17.962,0.051
58900.264,NaN,NaN,17.972,0.055
58900.274,NaN,NaN,17.885,0.039
58902.269,18.227,0.051,NaN,NaN
58902.272,18.014,0.044,NaN,NaN
58902.279,18.082,0.044,NaN,NaN
58902.289,18.148,0.050,NaN,NaN
58904.298,NaN,NaN,17.818,0.043
58904.301,NaN,NaN,17.822,0.045
58904.308,NaN,NaN,17.775,0.037
58904.319,NaN,NaN,17.795,0.045
58906.310,18.238,0.087,NaN,NaN
58906.313,18.416,0.089,NaN,NaN
58906.319,18.059,0.069,NaN,NaN
58906.330,18.223,0.107,NaN,NaN
58912.323,NaN,NaN,17.748,0.074
58912.326,NaN,NaN,17.764,0.089
58912.334,NaN,NaN,17.700,0.091
58912.344,NaN,NaN,17.904,0.160
58917.316,NaN,NaN,17.995,0.157
58917.318,NaN,NaN,17.804,0.120
58917.323,NaN,NaN,17.635,0.101
58917.333,NaN,NaN,17.851,0.138
58918.238,NaN,NaN,17.901,0.111
58918.242,NaN,NaN,17.935,0.094
58918.249,NaN,NaN,17.892,0.091
58918.260,NaN,NaN,17.819,0.104
58920.311,NaN,NaN,17.819,0.067
58920.314,NaN,NaN,17.817,0.076
58920.319,NaN,NaN,17.868,0.085
58920.331,NaN,NaN,17.824,0.109
58930.256,18.414,0.071,NaN,NaN
58930.259,18.299,0.059,NaN,NaN
58930.265,18.358,0.060,NaN,NaN
58930.277,18.333,0.067,NaN,NaN
58949.235,18.381,0.234,NaN,NaN
58949.240,18.314,0.136,NaN,NaN
58949.250,18.174,0.114,NaN,NaN
59060.612,NaN,NaN,19.793,0.299
59068.620,NaN,NaN,19.594,0.274
59092.603,NaN,NaN,19.656,0.285
59098.604,NaN,NaN,19.360,0.287
59108.539,NaN,NaN,19.983,0.284
59108.563,NaN,NaN,19.998,0.242
59128.606,NaN,NaN,18.751,0.212
59132.545,NaN,NaN,19.785,0.256
59136.524,NaN,NaN,19.898,0.214
59136.537,NaN,NaN,20.079,0.257
59140.493,NaN,NaN,20.123,0.296
59144.466,NaN,NaN,19.492,0.202
