MJD,c,c_err,o,o_err
58872.624,17.764,0.039,NaN,NaN
58872.627,17.897,0.052,NaN,NaN
58872.634,17.804,0.042,NaN,NaN
58872.644,17.894,0.052,NaN,NaN
58894.602,NaN,NaN,18.095,0.072
58894.603,NaN,NaN,18.441,0.102
58894.606,NaN,NaN,18.238,0.081
58894.606,NaN,NaN,18.168,0.069
58894.612,NaN,NaN,18.106,0.074
58894.613,NaN,NaN,18.198,0.087
58894.623,NaN,NaN,18.261,0.091
58894.623,NaN,NaN,18.227,0.112
58900.661,18.734,0.135,NaN,NaN
58902.601,NaN,NaN,18.246,0.096
58902.604,NaN,NaN,18.213,0.081
58902.612,NaN,NaN,18.366,0.081
58902.624,NaN,NaN,18.220,0.079
58910.593,NaN,NaN,18.557,0.091
58910.596,NaN,NaN,18.451,0.077
58910.603,NaN,NaN,18.379,0.080
58910.613,NaN,NaN,18.417,0.069
58942.593,NaN,NaN,18.608,0.104
58942.597,NaN,NaN,18.680,0.091
58942.602,NaN,NaN,18.714,0.092
58942.613,NaN,NaN,18.936,0.258
58946.612,NaN,NaN,18.363,0.165
58950.558,NaN,NaN,18.498,0.094
58950.561,NaN,NaN,18.626,0.145
58950.566,NaN,NaN,18.463,0.094
58950.576,NaN,NaN,18.597,0.175
58956.588,NaN,NaN,18.694,0.125
58956.592,NaN,NaN,18.747,0.123
58956.598,NaN,NaN,18.374,0.097
58956.609,NaN,NaN,18.246,0.082
58960.601,19.257,0.132,NaN,NaN
58960.604,18.936,0.096,NaN,NaN
58960.611,19.314,0.142,NaN,NaN
58960.617,19.211,0.139,NaN,NaN
58962.533,NaN,NaN,18.529,0.119
58962.540,NaN,NaN,18.697,0.107
58962.542,NaN,NaN,18.984,0.198
58962.554,NaN,NaN,18.583,0.121
58964.457,18.789,0.170,NaN,NaN
58964.493,19.086,0.132,NaN,NaN
58966.518,NaN,NaN,18.950,0.130
58966.520,NaN,NaN,18.733,0.131
58966.523,NaN,NaN,18.462,0.074
58966.529,NaN,NaN,18.733,0.115
58968.483,19.261,0.152,NaN,NaN
58968.485,19.447,0.172,NaN,NaN
58968.489,19.387,0.200,NaN,NaN
58968.491,19.316,0.138,NaN,NaN
58968.493,19.368,0.170,NaN,NaN
58968.495,19.953,0.259,NaN,NaN
58968.498,19.523,0.179,NaN,NaN
58968.505,19.476,0.159,NaN,NaN
58970.520,NaN,NaN,18.860,0.158
58970.525,NaN,NaN,18.902,0.123
58970.529,NaN,NaN,18.950,0.135
58970.536,NaN,NaN,18.767,0.111
58972.516,NaN,NaN,19.071,0.159
58972.529,NaN,NaN,18.597,0.100
58972.541,NaN,NaN,19.002,0.182
58972.543,NaN,NaN,19.065,0.157
58974.518,NaN,NaN,19.121,0.253
58974.524,NaN,NaN,19.092,0.209
58978.505,NaN,NaN,19.565,0.233
58978.508,NaN,NaN,18.901,0.198
58984.544,NaN,NaN,19.287,0.156
58986.525,NaN,NaN,20.109,0.291
58986.531,NaN,NaN,19.956,0.221
58988.535,20.019,0.265,NaN,NaN
58990.451,NaN,NaN,19.770,0.251
58992.457,20.033,0.231,NaN,NaN
58994.474,NaN,NaN,19.714,0.196
58998.463,NaN,NaN,20.105,0.291
59011.474,NaN,NaN,19.890,0.262
59018.474,NaN,NaN,19.501,0.241
59038.456,NaN,NaN,19.587,0.228
59054.359,NaN,NaN,20.087,0.259
59058.360,NaN,NaN,19.778,0.266
59074.371,NaN,NaN,19.664,0.194
59088.303,NaN,NaN,19.613,0.272
59134.260,NaN,NaN,20.102,0.299
