MJD,c,c_err,o,o_err
58869.614,NaN,NaN,19.029,0.165
58869.617,NaN,NaN,19.416,0.207
58869.625,NaN,NaN,18.917,0.127
58869.640,NaN,NaN,18.960,0.147
58869.675,NaN,NaN,18.564,0.268
58871.577,19.431,0.189,NaN,NaN
58871.580,19.120,0.166,NaN,NaN
58871.591,19.235,0.186,NaN,NaN
58871.600,19.014,0.134,NaN,NaN
58873.633,NaN,NaN,18.701,0.106
58873.637,NaN,NaN,18.566,0.087
58873.646,NaN,NaN,18.705,0.099
58873.665,NaN,NaN,18.638,0.135
58877.662,NaN,NaN,18.440,0.070
58877.665,NaN,NaN,19.043,0.133
58877.667,NaN,NaN,18.715,0.109
58877.670,NaN,NaN,18.477,0.104
58879.557,19.048,0.293,NaN,NaN
58879.560,19.068,0.274,NaN,NaN
58879.575,19.022,0.100,NaN,NaN
58881.622,NaN,NaN,18.763,0.119
58881.626,NaN,NaN,18.714,0.116
58881.631,NaN,NaN,18.532,0.092
58881.644,NaN,NaN,18.523,0.091
58883.604,18.792,0.097,NaN,NaN
58883.610,18.964,0.106,NaN,NaN
58883.629,18.992,0.114,NaN,NaN
58883.633,18.942,0.097,NaN,NaN
58885.553,NaN,NaN,18.822,0.203
58885.557,NaN,NaN,18.689,0.119
58885.563,NaN,NaN,18.533,0.123
58885.575,NaN,NaN,18.718,0.140
58901.560,NaN,NaN,18.566,0.097
58901.563,NaN,NaN,18.702,0.116
58901.570,NaN,NaN,18.536,0.086
58901.583,NaN,NaN,18.577,0.095
58905.618,NaN,NaN,18.645,0.082
58905.622,NaN,NaN,18.563,0.104
58905.628,NaN,NaN,18.483,0.096
58905.640,NaN,NaN,18.538,0.082
58911.548,19.168,0.117,NaN,NaN
58911.551,19.177,0.132,NaN,NaN
58911.570,19.089,0.108,NaN,NaN
58911.587,19.093,0.112,NaN,NaN
58913.581,NaN,NaN,18.682,0.092
58913.593,NaN,NaN,18.793,0.100
58913.595,NaN,NaN,18.538,0.080
58913.602,NaN,NaN,18.706,0.105
58917.517,NaN,NaN,18.687,0.169
58917.521,NaN,NaN,18.611,0.142
58917.528,NaN,NaN,18.746,0.171
58917.540,NaN,NaN,18.423,0.150
58925.596,NaN,NaN,18.816,0.232
58925.606,NaN,NaN,18.728,0.146
58925.608,NaN,NaN,18.459,0.141
58925.618,NaN,NaN,18.448,0.131
58931.544,19.200,0.126,NaN,NaN
58931.548,19.089,0.130,NaN,NaN
58931.555,18.929,0.102,NaN,NaN
58931.566,18.942,0.103,NaN,NaN
58933.521,NaN,NaN,18.653,0.111
58933.524,NaN,NaN,18.459,0.090
58933.530,NaN,NaN,18.713,0.113
58933.546,NaN,NaN,18.557,0.079
58937.531,NaN,NaN,18.702,0.118
58937.531,NaN,NaN,18.705,0.093
58937.534,NaN,NaN,18.555,0.098
58937.535,NaN,NaN,18.641,0.111
58937.540,NaN,NaN,18.556,0.083
58937.545,NaN,NaN,18.867,0.115
58937.550,NaN,NaN,18.719,0.111
58937.555,NaN,NaN,18.606,0.098
58941.504,NaN,NaN,18.870,0.147
58941.507,NaN,NaN,18.723,0.125
58941.515,NaN,NaN,18.285,0.112
58943.550,NaN,NaN,18.992,0.219
58943.554,NaN,NaN,18.547,0.111
58943.558,NaN,NaN,18.524,0.120
58943.575,NaN,NaN,18.423,0.103
58945.510,NaN,NaN,18.770,0.239
58945.514,NaN,NaN,18.497,0.194
58945.520,NaN,NaN,18.786,0.240
58945.530,NaN,NaN,18.704,0.246
58947.551,NaN,NaN,18.154,0.172
58948.460,NaN,NaN,18.505,0.199
58948.474,NaN,NaN,19.019,0.265
58948.480,NaN,NaN,18.932,0.300
58951.505,NaN,NaN,18.794,0.193
58951.509,NaN,NaN,18.490,0.173
58951.515,NaN,NaN,18.534,0.159
58953.487,NaN,NaN,18.800,0.128
58953.490,NaN,NaN,18.884,0.130
58953.496,NaN,NaN,18.501,0.098
58953.506,NaN,NaN,18.767,0.138
58957.478,NaN,NaN,18.823,0.152
58957.483,NaN,NaN,18.978,0.140
58957.491,NaN,NaN,18.856,0.112
58957.503,NaN,NaN,18.672,0.111
58959.495,19.325,0.168,NaN,NaN
58959.498,19.242,0.166,NaN,NaN
58959.506,19.368,0.172,NaN,NaN
58959.517,19.534,0.203,NaN,NaN
58959.557,19.239,0.183,NaN,NaN
58959.563,19.249,0.151,NaN,NaN
58959.567,19.119,0.150,NaN,NaN
58959.580,19.655,0.299,NaN,NaN
58961.468,NaN,NaN,18.810,0.103
58961.472,NaN,NaN,18.973,0.152
58961.477,NaN,NaN,18.839,0.133
58961.487,NaN,NaN,18.894,0.135
58965.397,NaN,NaN,18.480,0.105
58965.420,NaN,NaN,18.774,0.116
58965.423,NaN,NaN,18.648,0.113
58965.426,NaN,NaN,18.477,0.110
58967.469,19.607,0.196,NaN,NaN
58967.473,19.418,0.157,NaN,NaN
58967.478,19.797,0.223,NaN,NaN
58967.510,19.343,0.143,NaN,NaN
58969.530,NaN,NaN,18.909,0.146
58969.537,NaN,NaN,18.774,0.108
58969.541,NaN,NaN,18.817,0.118
58971.449,NaN,NaN,19.062,0.215
