MJD,c,c_err,o,o_err
58869.644,NaN,NaN,18.697,0.104
58869.659,NaN,NaN,18.674,0.111
58869.666,NaN,NaN,18.232,0.071
58869.675,NaN,NaN,18.603,0.279
58871.638,18.400,0.065,NaN,NaN
58871.660,18.622,0.066,NaN,NaN
58871.670,18.578,0.091,NaN,NaN
58874.604,NaN,NaN,18.656,0.080
58874.611,NaN,NaN,18.462,0.065
58874.622,NaN,NaN,18.542,0.071
58874.670,NaN,NaN,19.078,0.197
58876.605,18.458,0.063,NaN,NaN
58876.609,18.680,0.078,NaN,NaN
58876.616,18.253,0.053,NaN,NaN
58876.626,18.878,0.090,NaN,NaN
58876.672,18.363,0.144,NaN,NaN
58878.527,NaN,NaN,18.596,0.077
58878.548,NaN,NaN,18.701,0.097
58881.577,NaN,NaN,18.187,0.055
58881.581,NaN,NaN,18.276,0.063
58881.593,NaN,NaN,18.492,0.072
58884.615,18.593,0.077,NaN,NaN
58884.618,18.762,0.085,NaN,NaN
58884.623,18.672,0.079,NaN,NaN
58884.635,18.798,0.073,NaN,NaN
58885.599,NaN,NaN,18.941,0.159
58885.605,NaN,NaN,18.320,0.079
58885.616,NaN,NaN,18.797,0.091
58894.509,NaN,NaN,18.773,0.122
58894.514,NaN,NaN,19.111,0.123
58894.518,NaN,NaN,18.581,0.086
58894.528,NaN,NaN,18.618,0.091
58900.601,18.835,0.102,NaN,NaN
58900.604,19.219,0.189,NaN,NaN
58900.610,19.028,0.161,NaN,NaN
58900.620,19.146,0.122,NaN,NaN
58900.670,18.705,0.185,NaN,NaN
58902.507,NaN,NaN,18.370,0.071
58902.511,NaN,NaN,18.499,0.073
58902.517,NaN,NaN,18.612,0.071
58902.526,NaN,NaN,18.551,0.066
58906.532,NaN,NaN,18.755,0.081
58906.583,NaN,NaN,18.423,0.061
58906.589,NaN,NaN,18.592,0.073
58910.506,NaN,NaN,18.869,0.114
58910.515,NaN,NaN,18.715,0.097
58910.525,NaN,NaN,18.717,0.105
58911.545,19.242,0.130,NaN,NaN
58911.550,20.016,0.194,NaN,NaN
58914.575,NaN,NaN,18.801,0.126
58914.579,NaN,NaN,19.280,0.184
58914.586,NaN,NaN,19.105,0.129
58914.597,NaN,NaN,18.792,0.090
58914.657,NaN,NaN,18.624,0.137
58917.531,NaN,NaN,18.642,0.168
58917.534,NaN,NaN,18.727,0.165
58917.553,NaN,NaN,18.983,0.217
58918.552,NaN,NaN,18.769,0.171
58918.561,NaN,NaN,18.754,0.202
58918.573,NaN,NaN,18.460,0.167
58932.541,19.385,0.170,NaN,NaN
58932.544,19.836,0.196,NaN,NaN
58932.551,19.300,0.121,NaN,NaN
58932.561,19.489,0.149,NaN,NaN
58933.523,NaN,NaN,18.916,0.118
58933.526,NaN,NaN,18.623,0.093
58933.533,NaN,NaN,18.880,0.117
58937.558,NaN,NaN,19.016,0.112
58937.561,NaN,NaN,18.714,0.090
58937.571,NaN,NaN,18.611,0.080
58937.579,NaN,NaN,19.269,0.157
58941.452,NaN,NaN,19.070,0.224
58943.548,NaN,NaN,18.735,0.126
58950.428,NaN,NaN,19.326,0.236
58950.431,NaN,NaN,19.512,0.259
58950.439,NaN,NaN,19.210,0.213
58950.452,NaN,NaN,19.365,0.251
58954.628,NaN,NaN,19.172,0.175
58956.427,19.686,0.187,NaN,NaN
58956.431,19.870,0.169,NaN,NaN
58956.448,19.858,0.199,NaN,NaN
58956.542,20.129,0.293,NaN,NaN
58959.458,19.997,0.246,NaN,NaN
58959.477,19.961,0.258,NaN,NaN
58959.558,19.450,0.162,NaN,NaN
58960.490,19.795,0.197,NaN,NaN
58960.499,20.056,0.248,NaN,NaN
58960.509,20.089,0.259,NaN,NaN
58961.482,NaN,NaN,19.031,0.124
58961.486,NaN,NaN,19.202,0.131
58961.504,NaN,NaN,19.346,0.150
58964.482,19.804,0.199,NaN,NaN
58965.393,NaN,NaN,19.564,0.218
58965.395,NaN,NaN,19.302,0.181
58965.421,NaN,NaN,19.201,0.153
58969.432,NaN,NaN,19.367,0.151
58969.436,NaN,NaN,19.756,0.213
58969.468,NaN,NaN,19.232,0.135
58970.444,NaN,NaN,19.581,0.228
58970.447,NaN,NaN,19.567,0.221
58970.489,NaN,NaN,19.980,0.271
58971.431,NaN,NaN,19.302,0.191
58971.434,NaN,NaN,19.431,0.209
58973.358,NaN,NaN,19.717,0.281
58973.361,NaN,NaN,19.138,0.184
58978.435,NaN,NaN,19.493,0.249
58986.441,NaN,NaN,19.387,0.217
58989.425,NaN,NaN,19.013,0.153
59010.341,NaN,NaN,19.954,0.240
59014.336,NaN,NaN,19.724,0.213
59014.346,NaN,NaN,19.785,0.200
59017.380,NaN,NaN,19.727,0.216
59017.413,NaN,NaN,19.766,0.238
59021.344,NaN,NaN,20.009,0.258
59027.335,NaN,NaN,19.446,0.208
59031.308,NaN,NaN,19.273,0.297
59033.372,NaN,NaN,19.498,0.298
59037.324,NaN,NaN,19.349,0.194
59039.327,NaN,NaN,20.044,0.293
59042.288,NaN,NaN,19.874,0.298
59065.309,NaN,NaN,18.978,0.224
59069.272,NaN,NaN,19.758,0.203
59076.278,19.047,0.256,NaN,NaN
