MJD,c,c_err,o,o_err
58901.483,NaN,NaN,18.286,0.066
58901.486,NaN,NaN,18.424,0.089
58901.491,NaN,NaN,18.642,0.100
58901.502,NaN,NaN,18.345,0.071
58903.505,18.237,0.061,NaN,NaN
58903.524,18.092,0.048,NaN,NaN
58903.528,18.245,0.057,NaN,NaN
58903.537,18.451,0.069,NaN,NaN
58905.536,NaN,NaN,18.354,0.060
58905.541,NaN,NaN,18.173,0.053
58905.545,NaN,NaN,18.094,0.050
58905.557,NaN,NaN,18.179,0.053
58905.663,NaN,NaN,18.436,0.136
58912.647,NaN,NaN,18.125,0.052
58912.650,NaN,NaN,18.274,0.060
58912.652,NaN,NaN,18.098,0.052
58912.656,NaN,NaN,18.140,0.055
58913.501,NaN,NaN,18.252,0.067
58913.507,NaN,NaN,18.038,0.062
58913.514,NaN,NaN,17.992,0.055
58913.524,NaN,NaN,18.097,0.065
58917.429,NaN,NaN,18.220,0.183
58917.433,NaN,NaN,18.237,0.176
58917.439,NaN,NaN,17.914,0.126
58917.452,NaN,NaN,17.855,0.099
58918.552,NaN,NaN,18.420,0.179
58918.556,NaN,NaN,18.389,0.195
58918.561,NaN,NaN,18.072,0.140
58918.572,NaN,NaN,18.009,0.137
58924.626,NaN,NaN,18.156,0.050
58924.632,NaN,NaN,18.089,0.050
58931.466,18.494,0.066,NaN,NaN
58931.472,18.547,0.068,NaN,NaN
58931.475,18.713,0.083,NaN,NaN
58931.485,18.611,0.064,NaN,NaN
58942.514,NaN,NaN,18.189,0.167
58942.520,NaN,NaN,18.044,0.131
58942.524,NaN,NaN,18.064,0.131
58942.529,NaN,NaN,18.726,0.237
58945.526,NaN,NaN,18.391,0.231
58945.537,NaN,NaN,18.522,0.249
58945.541,NaN,NaN,18.666,0.259
58952.517,NaN,NaN,18.441,0.072
58952.520,NaN,NaN,18.442,0.077
58952.526,NaN,NaN,18.557,0.088
58952.542,NaN,NaN,18.537,0.110
58953.481,NaN,NaN,18.851,0.108
58953.484,NaN,NaN,18.262,0.065
58953.500,NaN,NaN,18.436,0.062
58953.514,NaN,NaN,18.611,0.138
58956.408,NaN,NaN,18.450,0.070
58956.412,NaN,NaN,18.430,0.072
58956.420,NaN,NaN,18.579,0.078
58956.432,NaN,NaN,18.546,0.064
58957.471,NaN,NaN,18.590,0.091
58957.474,NaN,NaN,18.509,0.067
58957.481,NaN,NaN,18.556,0.062
58957.492,NaN,NaN,18.544,0.070
58958.469,19.110,0.126,NaN,NaN
58958.472,19.091,0.098,NaN,NaN
58958.478,19.215,0.128,NaN,NaN
58958.490,19.287,0.146,NaN,NaN
58959.473,19.363,0.112,NaN,NaN
58959.509,18.963,0.113,NaN,NaN
58960.481,NaN,NaN,18.517,0.091
58960.481,NaN,NaN,18.332,0.074
58960.484,NaN,NaN,18.760,0.105
58960.487,NaN,NaN,19.146,0.153
58960.492,NaN,NaN,18.861,0.153
58960.502,NaN,NaN,18.809,0.127
58960.504,NaN,NaN,18.482,0.100
58960.506,NaN,NaN,18.704,0.086
58964.396,NaN,NaN,18.517,0.205
58964.406,NaN,NaN,18.529,0.161
58964.408,NaN,NaN,18.612,0.165
58964.415,NaN,NaN,18.480,0.136
58964.440,NaN,NaN,18.259,0.184
58967.472,19.322,0.129,NaN,NaN
58967.476,19.424,0.146,NaN,NaN
58967.481,19.337,0.121,NaN,NaN
58967.512,19.183,0.101,NaN,NaN
58968.479,NaN,NaN,18.599,0.105
58968.480,NaN,NaN,18.623,0.088
58968.482,NaN,NaN,18.749,0.138
58968.484,NaN,NaN,18.543,0.087
58968.518,NaN,NaN,18.823,0.113
