MJD,c,c_err,o,o_err
58900.561,18.675,0.099,NaN,NaN
58900.566,18.350,0.081,NaN,NaN
58900.569,18.614,0.107,NaN,NaN
58900.573,18.427,0.073,NaN,NaN
58900.583,18.427,0.080,NaN,NaN
58900.668,18.574,0.282,NaN,NaN
58902.496,NaN,NaN,18.459,0.066
58902.500,NaN,NaN,18.608,0.077
58902.505,NaN,NaN,18.615,0.081
58902.515,NaN,NaN,18.645,0.088
58906.491,NaN,NaN,18.332,0.083
58906.497,NaN,NaN,18.618,0.102
58906.500,NaN,NaN,18.629,0.106
58906.510,NaN,NaN,18.467,0.086
58906.654,NaN,NaN,18.681,0.102
58910.483,NaN,NaN,18.769,0.096
58914.511,NaN,NaN,18.760,0.119
58914.514,NaN,NaN,18.652,0.108
58914.520,NaN,NaN,18.502,0.083
58914.532,NaN,NaN,18.384,0.075
58918.537,NaN,NaN,18.443,0.169
58918.540,NaN,NaN,18.417,0.174
58918.546,NaN,NaN,18.819,0.226
58918.558,NaN,NaN,18.576,0.168
58932.463,18.982,0.096,NaN,NaN
58932.472,18.979,0.091,NaN,NaN
58932.486,19.121,0.110,NaN,NaN
58932.562,19.414,0.158,NaN,NaN
58932.562,19.153,0.125,NaN,NaN
58932.563,18.907,0.090,NaN,NaN
58932.563,19.208,0.120,NaN,NaN
58932.564,19.128,0.123,NaN,NaN
58934.440,NaN,NaN,18.438,0.148
58934.450,NaN,NaN,18.399,0.100
58938.527,NaN,NaN,18.851,0.112
58938.529,NaN,NaN,18.651,0.104
58938.535,NaN,NaN,18.565,0.086
58938.550,NaN,NaN,18.779,0.103
58938.637,NaN,NaN,18.384,0.177
58942.454,NaN,NaN,18.787,0.212
58942.464,NaN,NaN,19.108,0.181
58942.478,NaN,NaN,18.911,0.201
58945.518,NaN,NaN,18.763,0.274
58948.365,NaN,NaN,18.683,0.170
58948.369,NaN,NaN,18.364,0.144
58948.378,NaN,NaN,18.760,0.159
58950.421,NaN,NaN,19.000,0.126
58950.424,NaN,NaN,18.582,0.094
58950.437,NaN,NaN,18.762,0.137
58950.447,NaN,NaN,18.678,0.121
58956.409,19.359,0.124,NaN,NaN
58956.412,19.452,0.139,NaN,NaN
58956.419,19.281,0.122,NaN,NaN
58956.432,19.307,0.129,NaN,NaN
58958.410,NaN,NaN,18.597,0.066
58958.414,NaN,NaN,18.657,0.072
58958.432,NaN,NaN,18.888,0.091
58960.373,19.681,0.173,NaN,NaN
58960.376,19.204,0.152,NaN,NaN
58960.388,19.297,0.122,NaN,NaN
58960.395,19.538,0.134,NaN,NaN
58962.490,NaN,NaN,19.015,0.151
58962.493,NaN,NaN,18.708,0.101
58962.500,NaN,NaN,19.026,0.127
58962.512,NaN,NaN,18.855,0.133
58964.408,19.471,0.194,NaN,NaN
58964.413,19.723,0.214,NaN,NaN
58966.401,NaN,NaN,18.882,0.095
58966.404,NaN,NaN,19.034,0.097
58966.439,NaN,NaN,19.064,0.136
58966.445,NaN,NaN,18.828,0.109
58968.386,NaN,NaN,18.545,0.084
58968.389,NaN,NaN,19.411,0.183
58968.392,NaN,NaN,18.925,0.112
58968.402,NaN,NaN,18.997,0.123
58970.369,NaN,NaN,18.891,0.122
58970.372,NaN,NaN,18.884,0.111
58970.379,NaN,NaN,18.940,0.117
58970.390,NaN,NaN,18.748,0.118
58971.429,NaN,NaN,18.996,0.193
58971.438,NaN,NaN,19.096,0.174
58971.451,NaN,NaN,18.625,0.113
58972.387,NaN,NaN,18.951,0.163
58972.396,NaN,NaN,18.879,0.163
58972.408,NaN,NaN,18.424,0.100
58974.362,NaN,NaN,18.901,0.203
58974.365,NaN,NaN,18.968,0.176
58974.372,NaN,NaN,18.766,0.163
58976.356,NaN,NaN,18.687,0.273
58976.365,NaN,NaN,18.301,0.179
58976.377,NaN,NaN,18.734,0.259
58978.396,NaN,NaN,18.463,0.107
58978.404,NaN,NaN,19.475,0.257
58978.415,NaN,NaN,19.120,0.170
58980.364,NaN,NaN,19.150,0.145
58980.370,NaN,NaN,18.562,0.097
58980.373,NaN,NaN,18.963,0.114
58980.385,NaN,NaN,19.072,0.180
58982.363,NaN,NaN,18.768,0.109
58982.367,NaN,NaN,19.093,0.122
58982.372,NaN,NaN,18.796,0.098
58982.382,NaN,NaN,19.141,0.114
58984.358,19.578,0.196,NaN,NaN
58984.362,19.259,0.136,NaN,NaN
58984.367,19.202,0.113,NaN,NaN
58984.381,19.448,0.160,NaN,NaN
58986.391,NaN,NaN,19.350,0.163
58986.396,NaN,NaN,19.305,0.175
58986.400,NaN,NaN,19.287,0.144
58986.411,NaN,NaN,19.193,0.130
58988.369,20.189,0.280,NaN,NaN
58990.325,NaN,NaN,20.090,0.255
58990.328,NaN,NaN,19.177,0.137
58990.334,NaN,NaN,19.581,0.174
58990.345,NaN,NaN,19.682,0.206
58992.319,20.151,0.230,NaN,NaN
58992.330,19.946,0.191,NaN,NaN
59000.333,NaN,NaN,19.580,0.234
59006.298,NaN,NaN,19.237,0.229
59006.308,NaN,NaN,19.331,0.270
59010.299,NaN,NaN,20.010,0.272
59026.278,NaN,NaN,19.527,0.204
59030.290,NaN,NaN,19.708,0.262
59038.262,NaN,NaN,19.562,0.177
59040.275,19.787,0.265,NaN,NaN
59058.247,NaN,NaN,18.690,0.213
