MJD,c,c_err,o,o_err
58900.474,19.689,0.168,NaN,NaN
58900.477,19.583,0.167,NaN,NaN
58900.482,19.491,0.136,NaN,NaN
58900.491,19.572,0.156,NaN,NaN
58902.450,NaN,NaN,19.133,0.112
58902.453,NaN,NaN,19.273,0.139
58902.458,NaN,NaN,19.062,0.097
58902.470,NaN,NaN,19.012,0.106
58906.623,NaN,NaN,18.755,0.107
58906.626,NaN,NaN,18.801,0.130
58906.632,NaN,NaN,18.709,0.095
58906.644,NaN,NaN,18.686,0.118
58906.662,NaN,NaN,18.423,0.250
58910.427,NaN,NaN,18.789,0.105
58910.430,NaN,NaN,18.702,0.082
58910.437,NaN,NaN,18.659,0.091
58910.448,NaN,NaN,18.687,0.077
58914.470,NaN,NaN,18.711,0.131
58914.473,NaN,NaN,18.656,0.112
58914.479,NaN,NaN,18.603,0.139
58914.490,NaN,NaN,18.596,0.120
58918.417,NaN,NaN,19.037,0.282
58918.421,NaN,NaN,18.378,0.113
58918.429,NaN,NaN,18.510,0.142
58918.439,NaN,NaN,18.866,0.225
58920.469,NaN,NaN,18.823,0.214
58920.473,NaN,NaN,18.433,0.107
58932.434,18.721,0.071,NaN,NaN
58932.437,18.930,0.105,NaN,NaN
58932.444,18.907,0.108,NaN,NaN
58932.456,18.933,0.106,NaN,NaN
58934.389,NaN,NaN,18.572,0.215
58934.402,NaN,NaN,18.900,0.238
58938.498,NaN,NaN,18.811,0.114
58938.501,NaN,NaN,18.721,0.109
58938.508,NaN,NaN,18.748,0.121
58938.517,NaN,NaN,18.858,0.168
58942.438,NaN,NaN,18.798,0.220
58946.422,NaN,NaN,18.781,0.256
58946.426,NaN,NaN,18.667,0.209
58946.431,NaN,NaN,18.849,0.257
58946.442,NaN,NaN,18.662,0.259
58950.325,NaN,NaN,18.626,0.137
58950.337,NaN,NaN,18.460,0.176
58950.380,NaN,NaN,18.644,0.104
58950.383,NaN,NaN,18.652,0.108
58950.390,NaN,NaN,18.751,0.112
58950.400,NaN,NaN,18.649,0.083
58954.491,NaN,NaN,18.599,0.248
58954.503,NaN,NaN,18.500,0.100
58954.503,NaN,NaN,18.896,0.166
58954.518,NaN,NaN,18.847,0.158
58954.519,NaN,NaN,18.554,0.108
58956.386,19.336,0.151,NaN,NaN
58956.389,19.203,0.129,NaN,NaN
58956.395,19.102,0.123,NaN,NaN
58956.405,18.915,0.103,NaN,NaN
58958.347,NaN,NaN,18.547,0.070
58958.349,NaN,NaN,18.773,0.103
58958.355,NaN,NaN,18.872,0.116
58958.358,NaN,NaN,18.756,0.096
58958.361,NaN,NaN,18.773,0.103
58958.365,NaN,NaN,18.891,0.104
58958.367,NaN,NaN,18.808,0.097
58958.378,NaN,NaN,18.608,0.085
58958.425,NaN,NaN,18.898,0.102
58958.426,NaN,NaN,18.685,0.084
58958.426,NaN,NaN,18.777,0.090
58958.427,NaN,NaN,18.804,0.095
58958.427,NaN,NaN,19.082,0.111
58958.428,19.407,0.136,NaN,NaN
58958.429,18.998,0.109,NaN,NaN
58958.429,19.161,0.137,NaN,NaN
58958.430,19.478,0.135,NaN,NaN
58958.430,19.034,0.112,NaN,NaN
58960.408,19.225,0.149,NaN,NaN
58960.411,19.398,0.169,NaN,NaN
58960.417,19.117,0.122,NaN,NaN
58960.432,19.149,0.148,NaN,NaN
58962.313,NaN,NaN,18.889,0.127
58962.315,NaN,NaN,18.911,0.131
58962.322,NaN,NaN,18.888,0.101
58962.335,NaN,NaN,18.989,0.145
58962.400,NaN,NaN,18.715,0.198
58962.406,NaN,NaN,18.672,0.257
58962.416,NaN,NaN,18.686,0.121
58964.353,19.267,0.278,NaN,NaN
58964.359,18.766,0.288,NaN,NaN
58964.369,19.365,0.206,NaN,NaN
58966.310,NaN,NaN,18.767,0.125
58966.313,NaN,NaN,18.553,0.088
58966.319,NaN,NaN,19.004,0.138
58966.330,NaN,NaN,18.960,0.113
58966.333,NaN,NaN,18.745,0.116
58966.336,NaN,NaN,18.665,0.085
58966.341,NaN,NaN,18.906,0.138
58966.353,NaN,NaN,18.778,0.107
58968.319,NaN,NaN,18.719,0.110
58968.322,NaN,NaN,18.882,0.107
58968.328,NaN,NaN,18.852,0.109
58968.338,NaN,NaN,18.820,0.108
58970.326,NaN,NaN,18.827,0.124
58970.329,NaN,NaN,18.806,0.165
58970.336,NaN,NaN,18.832,0.144
58970.349,NaN,NaN,18.918,0.147
58972.347,NaN,NaN,19.125,0.238
58972.351,NaN,NaN,18.800,0.185
58972.356,NaN,NaN,18.747,0.165
58972.360,NaN,NaN,18.734,0.170
58972.363,NaN,NaN,18.764,0.143
58972.369,NaN,NaN,18.855,0.151
58972.370,NaN,NaN,18.610,0.145
58972.380,NaN,NaN,18.641,0.164
58974.309,NaN,NaN,18.863,0.182
58974.312,NaN,NaN,18.875,0.177
58974.318,NaN,NaN,18.709,0.152
58974.329,NaN,NaN,18.825,0.177
58976.300,NaN,NaN,18.475,0.182
58976.303,NaN,NaN,18.522,0.252
58976.310,NaN,NaN,18.754,0.264
58976.331,NaN,NaN,18.796,0.239
58978.336,NaN,NaN,18.976,0.164
58978.340,NaN,NaN,18.775,0.151
58978.345,NaN,NaN,18.926,0.175
58978.361,NaN,NaN,18.730,0.171
58980.301,19.326,0.118,NaN,NaN
58980.304,19.273,0.116,NaN,NaN
58980.311,19.491,0.154,NaN,NaN
58980.322,19.355,0.143,NaN,NaN
58980.353,19.443,0.132,NaN,NaN
58982.293,NaN,NaN,18.816,0.101
58982.297,NaN,NaN,18.995,0.132
58982.302,NaN,NaN,19.019,0.129
58982.317,NaN,NaN,19.019,0.121
58984.312,19.402,0.125,NaN,NaN
58984.315,19.311,0.110,NaN,NaN
58984.320,19.217,0.124,NaN,NaN
58984.335,19.442,0.150,NaN,NaN
58986.316,NaN,NaN,19.024,0.122
58986.320,NaN,NaN,19.224,0.162
58986.353,NaN,NaN,18.902,0.081
58986.358,NaN,NaN,18.929,0.108
58988.322,19.619,0.197,NaN,NaN
58988.325,19.261,0.128,NaN,NaN
58988.331,19.268,0.131,NaN,NaN
58988.342,19.262,0.126,NaN,NaN
58990.277,NaN,NaN,19.270,0.133
58990.281,NaN,NaN,19.011,0.104
58990.287,NaN,NaN,19.540,0.186
58990.297,NaN,NaN,19.245,0.121
58992.278,19.677,0.201,NaN,NaN
58992.281,19.525,0.157,NaN,NaN
58992.287,19.819,0.193,NaN,NaN
58992.299,19.808,0.227,NaN,NaN
58994.298,NaN,NaN,19.157,0.202
58994.301,NaN,NaN,19.326,0.264
58994.308,NaN,NaN,19.320,0.297
58994.319,NaN,NaN,19.109,0.173
58998.284,NaN,NaN,18.914,0.197
58998.296,NaN,NaN,19.114,0.215
59000.279,NaN,NaN,19.020,0.211
59000.301,NaN,NaN,19.344,0.259
59002.289,NaN,NaN,19.583,0.288
59002.310,NaN,NaN,19.691,0.298
