MJD,c,c_err,o,o_err
58931.526,18.945,0.096,NaN,NaN
58931.538,18.969,0.090,NaN,NaN
58931.541,19.352,0.141,NaN,NaN
58931.546,19.204,0.117,NaN,NaN
58933.390,NaN,NaN,18.971,0.115
58933.393,NaN,NaN,18.918,0.095
58933.399,NaN,NaN,19.107,0.131
58933.410,NaN,NaN,18.859,0.116
58937.473,NaN,NaN,19.207,0.140
58937.476,NaN,NaN,18.791,0.108
58937.482,NaN,NaN,18.927,0.105
58937.493,NaN,NaN,18.700,0.082
58941.363,NaN,NaN,18.565,0.077
58941.367,NaN,NaN,18.846,0.127
58941.378,NaN,NaN,18.651,0.087
58941.387,NaN,NaN,18.551,0.090
58943.440,NaN,NaN,18.901,0.172
58943.443,NaN,NaN,19.026,0.177
58943.456,NaN,NaN,18.717,0.142
58943.461,NaN,NaN,18.595,0.131
58948.370,NaN,NaN,18.689,0.240
58948.384,NaN,NaN,18.474,0.160
58948.387,NaN,NaN,18.671,0.210
58951.388,NaN,NaN,18.875,0.139
58951.392,NaN,NaN,18.650,0.106
58951.402,NaN,NaN,18.867,0.139
58951.412,NaN,NaN,18.601,0.131
58953.513,NaN,NaN,18.087,0.112
58957.301,NaN,NaN,18.861,0.109
58957.308,NaN,NaN,19.204,0.200
58957.312,NaN,NaN,18.871,0.103
58957.329,NaN,NaN,18.574,0.121
58957.402,NaN,NaN,18.560,0.088
58957.405,NaN,NaN,18.793,0.112
58957.417,NaN,NaN,18.563,0.095
58957.422,NaN,NaN,18.968,0.126
58959.375,19.279,0.169,NaN,NaN
58959.379,19.137,0.099,NaN,NaN
58959.393,19.062,0.145,NaN,NaN
58959.397,19.289,0.156,NaN,NaN
58959.397,19.167,0.116,NaN,NaN
58959.406,19.135,0.134,NaN,NaN
58959.421,18.896,0.105,NaN,NaN
58961.413,NaN,NaN,18.656,0.072
58961.423,NaN,NaN,18.810,0.085
58961.428,NaN,NaN,18.650,0.071
58961.434,NaN,NaN,18.689,0.079
58965.367,NaN,NaN,18.816,0.122
58965.370,NaN,NaN,18.980,0.140
58965.403,NaN,NaN,19.048,0.125
58965.409,NaN,NaN,18.876,0.109
58967.385,19.206,0.113,NaN,NaN
58967.389,19.472,0.148,NaN,NaN
58967.394,19.091,0.116,NaN,NaN
58967.404,19.199,0.113,NaN,NaN
58968.383,NaN,NaN,18.974,0.098
58968.387,NaN,NaN,19.002,0.117
58968.394,NaN,NaN,18.839,0.085
58968.405,NaN,NaN,18.936,0.088
58969.373,NaN,NaN,19.060,0.122
58969.379,NaN,NaN,18.899,0.112
58969.388,NaN,NaN,18.808,0.098
58969.393,NaN,NaN,18.888,0.129
