MJD,c,c_err,o,o_err
58925.551,NaN,NaN,18.589,0.075
58925.555,NaN,NaN,18.530,0.075
58925.563,NaN,NaN,18.736,0.098
58925.575,NaN,NaN,18.599,0.074
58931.533,17.946,0.039,NaN,NaN
58931.552,17.998,0.034,NaN,NaN
58931.556,18.038,0.039,NaN,NaN
58931.564,18.018,0.047,NaN,NaN
58931.649,18.021,0.075,NaN,NaN
58933.482,NaN,NaN,17.990,0.056
58933.486,NaN,NaN,18.027,0.055
58933.491,NaN,NaN,18.113,0.063
58933.502,NaN,NaN,18.044,0.050
58937.554,NaN,NaN,18.095,0.042
58937.565,NaN,NaN,18.021,0.049
58937.569,NaN,NaN,18.046,0.044
58937.575,NaN,NaN,18.125,0.044
58937.643,NaN,NaN,18.079,0.073
58941.487,NaN,NaN,18.034,0.114
58945.488,NaN,NaN,17.888,0.076
58945.492,NaN,NaN,18.021,0.082
58945.503,NaN,NaN,18.041,0.100
58947.562,NaN,NaN,18.067,0.150
58947.565,NaN,NaN,18.302,0.188
58947.574,NaN,NaN,17.877,0.118
58947.584,NaN,NaN,17.672,0.106
58948.511,NaN,NaN,17.856,0.087
58948.516,NaN,NaN,17.929,0.103
58948.522,NaN,NaN,17.961,0.102
58948.536,NaN,NaN,18.156,0.150
58951.528,NaN,NaN,17.905,0.087
58957.543,NaN,NaN,18.110,0.059
58957.548,NaN,NaN,18.055,0.049
58957.559,NaN,NaN,18.120,0.050
58957.563,NaN,NaN,18.149,0.059
58959.583,18.315,0.052,NaN,NaN
58959.589,18.360,0.053,NaN,NaN
58959.593,18.391,0.056,NaN,NaN
58959.611,18.260,0.051,NaN,NaN
58961.524,NaN,NaN,18.079,0.049
58961.527,NaN,NaN,18.065,0.049
58961.533,NaN,NaN,18.069,0.041
58961.546,NaN,NaN,18.083,0.048
58965.464,NaN,NaN,18.353,0.074
58965.466,NaN,NaN,18.028,0.053
58965.469,NaN,NaN,18.068,0.050
58965.476,NaN,NaN,18.066,0.043
58967.451,18.563,0.082,NaN,NaN
58967.453,18.566,0.071,NaN,NaN
58967.456,18.605,0.072,NaN,NaN
58967.482,18.543,0.065,NaN,NaN
58969.440,NaN,NaN,18.223,0.057
58969.442,NaN,NaN,18.119,0.056
58969.445,NaN,NaN,18.222,0.057
58969.455,NaN,NaN,18.169,0.054
58971.516,18.498,0.076,NaN,NaN
58971.519,18.684,0.077,NaN,NaN
58971.554,18.763,0.070,NaN,NaN
58971.582,18.627,0.075,NaN,NaN
58973.406,NaN,NaN,18.010,0.058
58973.409,NaN,NaN,18.188,0.074
58973.411,NaN,NaN,18.283,0.080
58973.420,NaN,NaN,18.154,0.067
58975.421,NaN,NaN,18.085,0.147
58975.423,NaN,NaN,18.419,0.162
58975.426,NaN,NaN,18.261,0.113
58975.431,NaN,NaN,18.215,0.119
58976.506,NaN,NaN,18.403,0.183
58976.510,NaN,NaN,18.521,0.229
58976.531,NaN,NaN,18.588,0.215
58977.496,NaN,NaN,18.452,0.119
58977.499,NaN,NaN,18.147,0.115
58977.509,NaN,NaN,18.093,0.110
58977.621,NaN,NaN,18.580,0.192
58979.492,NaN,NaN,18.331,0.104
58979.495,NaN,NaN,18.341,0.107
58979.501,NaN,NaN,18.553,0.101
58979.512,NaN,NaN,18.400,0.109
58981.477,NaN,NaN,18.282,0.103
58981.480,NaN,NaN,18.298,0.095
58981.511,NaN,NaN,18.356,0.105
58981.520,NaN,NaN,18.421,0.102
58983.423,18.995,0.094,NaN,NaN
58983.433,19.111,0.095,NaN,NaN
58983.439,18.755,0.074,NaN,NaN
58983.451,18.861,0.084,NaN,NaN
58985.465,NaN,NaN,18.487,0.049
58985.496,NaN,NaN,18.274,0.053
58985.500,NaN,NaN,18.461,0.069
58985.508,NaN,NaN,18.521,0.065
