MJD,c,c_err,o,o_err
58932.394,17.529,0.034,NaN,NaN
58932.397,17.515,0.029,NaN,NaN
58932.403,17.656,0.039,NaN,NaN
58932.414,17.638,0.036,NaN,NaN
58934.316,NaN,NaN,17.632,0.100
58934.319,NaN,NaN,17.494,0.102
58934.320,NaN,NaN,17.496,0.109
58934.322,NaN,NaN,18.053,0.182
58934.325,NaN,NaN,17.663,0.074
58934.327,NaN,NaN,17.532,0.094
58944.313,NaN,NaN,17.945,0.093
58944.316,NaN,NaN,17.630,0.075
58946.347,NaN,NaN,17.811,0.083
58946.350,NaN,NaN,17.881,0.092
58946.355,NaN,NaN,18.077,0.111
58946.365,NaN,NaN,17.908,0.082
58950.329,NaN,NaN,18.070,0.047
58950.332,NaN,NaN,17.887,0.047
58950.337,NaN,NaN,17.951,0.053
58950.347,NaN,NaN,17.911,0.131
58956.398,18.254,0.068,NaN,NaN
58956.401,18.347,0.079,NaN,NaN
58956.406,18.405,0.083,NaN,NaN
58956.417,18.402,0.102,NaN,NaN
58958.282,NaN,NaN,18.095,0.057
58958.285,NaN,NaN,18.099,0.062
58958.290,NaN,NaN,17.998,0.051
58958.305,NaN,NaN,18.006,0.061
58960.293,18.622,0.074,NaN,NaN
58960.296,18.535,0.082,NaN,NaN
58960.302,18.373,0.064,NaN,NaN
58960.311,18.360,0.069,NaN,NaN
58962.356,NaN,NaN,18.282,0.077
58962.359,NaN,NaN,18.189,0.080
58962.366,NaN,NaN,18.165,0.078
58962.377,NaN,NaN,18.219,0.077
58966.253,NaN,NaN,18.326,0.071
58966.258,NaN,NaN,18.277,0.073
58966.262,NaN,NaN,18.221,0.062
58966.277,NaN,NaN,18.216,0.061
58968.243,NaN,NaN,18.355,0.093
58968.247,NaN,NaN,18.172,0.072
58968.252,NaN,NaN,18.278,0.080
58968.263,NaN,NaN,18.172,0.068
58968.265,NaN,NaN,18.203,0.067
58968.268,NaN,NaN,18.342,0.084
58968.273,NaN,NaN,18.472,0.083
58968.284,NaN,NaN,18.128,0.093
58970.249,NaN,NaN,18.657,0.160
58970.252,NaN,NaN,18.324,0.099
58970.257,NaN,NaN,18.439,0.115
58970.268,NaN,NaN,18.534,0.135
58972.288,NaN,NaN,18.214,0.108
58972.291,NaN,NaN,18.349,0.126
58972.297,NaN,NaN,18.327,0.122
58972.309,NaN,NaN,18.427,0.142
58974.237,NaN,NaN,18.441,0.135
58974.240,NaN,NaN,18.426,0.126
58974.247,NaN,NaN,18.281,0.114
58974.258,NaN,NaN,18.311,0.106
58976.242,NaN,NaN,18.236,0.212
58976.245,NaN,NaN,18.056,0.156
58976.251,NaN,NaN,18.645,0.250
58976.263,NaN,NaN,18.579,0.292
58980.260,18.995,0.104,NaN,NaN
58980.263,19.083,0.092,NaN,NaN
58980.269,18.860,0.101,NaN,NaN
58980.283,18.890,0.109,NaN,NaN
58986.254,NaN,NaN,18.533,0.075
58986.257,NaN,NaN,18.453,0.068
58986.263,NaN,NaN,18.416,0.082
58986.273,NaN,NaN,18.588,0.090
58988.269,18.941,0.190,NaN,NaN
58988.273,19.285,0.205,NaN,NaN
58988.280,19.122,0.177,NaN,NaN
58988.288,19.198,0.223,NaN,NaN
58988.289,19.306,0.221,NaN,NaN
58988.291,18.983,0.159,NaN,NaN
58988.309,18.939,0.162,NaN,NaN
59130.621,NaN,NaN,19.491,0.241
59178.592,NaN,NaN,18.024,0.075
59178.625,NaN,NaN,18.181,0.103
59178.629,NaN,NaN,18.283,0.103
59178.635,NaN,NaN,18.220,0.103
59192.522,NaN,NaN,19.392,0.251
59194.535,20.095,0.244,NaN,NaN
