MJD,c,c_err,o,o_err
58941.555,16.728,0.020,NaN,NaN
58941.575,16.813,0.021,NaN,NaN
58943.453,NaN,NaN,16.549,0.045
58943.456,NaN,NaN,16.504,0.037
58943.471,NaN,NaN,16.480,0.025
58945.583,NaN,NaN,16.476,0.039
58945.586,NaN,NaN,16.435,0.032
58945.592,NaN,NaN,16.430,0.034
58951.547,NaN,NaN,16.512,0.036
58951.569,NaN,NaN,16.446,0.030
58955.501,NaN,NaN,16.491,0.019
58955.504,NaN,NaN,16.498,0.020
58955.511,NaN,NaN,16.438,0.018
58955.521,NaN,NaN,16.473,0.017
58957.499,17.002,0.027,NaN,NaN
58957.505,16.978,0.025,NaN,NaN
58957.515,16.988,0.028,NaN,NaN
58957.576,17.022,0.029,NaN,NaN
58959.484,NaN,NaN,16.498,0.022
58959.490,NaN,NaN,16.579,0.022
58959.493,NaN,NaN,16.564,0.027
58959.503,NaN,NaN,16.600,0.022
58961.482,17.107,0.030,NaN,NaN
58961.486,17.139,0.026,NaN,NaN
58961.491,17.074,0.030,NaN,NaN
58961.504,16.990,0.026,NaN,NaN
58963.469,NaN,NaN,16.556,0.039
58963.471,NaN,NaN,16.598,0.044
58965.464,17.140,0.027,NaN,NaN
58965.468,17.216,0.030,NaN,NaN
58965.471,17.182,0.033,NaN,NaN
58965.479,17.219,0.031,NaN,NaN
58967.446,NaN,NaN,16.683,0.022
58967.448,NaN,NaN,16.641,0.019
58967.451,NaN,NaN,16.649,0.021
58967.456,NaN,NaN,16.710,0.021
58969.502,17.333,0.033,NaN,NaN
58969.505,17.327,0.031,NaN,NaN
58969.512,17.377,0.033,NaN,NaN
58969.546,17.356,0.036,NaN,NaN
58971.445,NaN,NaN,16.719,0.025
58971.475,NaN,NaN,16.707,0.025
58971.503,NaN,NaN,16.719,0.025
58973.447,NaN,NaN,16.682,0.030
58973.463,NaN,NaN,16.668,0.035
58973.466,NaN,NaN,16.719,0.033
58973.472,NaN,NaN,16.713,0.029
58979.506,NaN,NaN,16.757,0.038
58979.510,NaN,NaN,16.792,0.037
58979.516,NaN,NaN,16.776,0.040
58979.529,NaN,NaN,16.834,0.059
58981.487,NaN,NaN,16.784,0.029
58981.490,NaN,NaN,16.789,0.031
58981.497,NaN,NaN,16.814,0.028
58981.508,NaN,NaN,16.746,0.028
58983.469,NaN,NaN,16.836,0.021
58983.472,NaN,NaN,16.797,0.023
58983.499,NaN,NaN,16.819,0.025
58985.403,17.661,0.039,NaN,NaN
58985.423,17.533,0.040,NaN,NaN
58985.426,17.596,0.034,NaN,NaN
58985.439,17.562,0.033,NaN,NaN
58987.400,NaN,NaN,16.881,0.027
58987.402,NaN,NaN,16.862,0.024
58987.431,NaN,NaN,16.813,0.024
58987.458,NaN,NaN,16.824,0.023
58989.446,17.679,0.043,NaN,NaN
58989.450,17.622,0.039,NaN,NaN
58989.458,17.492,0.036,NaN,NaN
58989.490,17.449,0.046,NaN,NaN
58989.493,17.695,0.042,NaN,NaN
58991.479,NaN,NaN,16.871,0.024
58991.507,NaN,NaN,16.865,0.026
58991.536,NaN,NaN,16.849,0.027
58993.469,17.786,0.041,NaN,NaN
58993.472,17.731,0.045,NaN,NaN
58993.479,17.706,0.046,NaN,NaN
58993.492,17.622,0.041,NaN,NaN
58995.417,NaN,NaN,16.859,0.022
58995.420,NaN,NaN,16.901,0.025
58995.426,NaN,NaN,16.929,0.027
58995.461,NaN,NaN,16.842,0.054
58997.416,17.787,0.067,NaN,NaN
58997.420,17.608,0.054,NaN,NaN
58997.425,17.586,0.044,NaN,NaN
58997.437,17.615,0.056,NaN,NaN
58999.394,NaN,NaN,16.942,0.024
58999.428,NaN,NaN,16.894,0.023
58999.432,NaN,NaN,16.915,0.028
58999.438,NaN,NaN,16.922,0.026
59001.445,NaN,NaN,16.873,0.035
59001.448,NaN,NaN,16.924,0.040
59001.454,NaN,NaN,16.927,0.034
59001.466,NaN,NaN,16.882,0.037
59007.435,NaN,NaN,16.909,0.062
59007.445,NaN,NaN,17.106,0.059
59007.468,NaN,NaN,17.002,0.062
59011.404,NaN,NaN,17.078,0.027
59011.408,NaN,NaN,17.001,0.025
59011.413,NaN,NaN,17.072,0.027
59011.423,NaN,NaN,17.043,0.027
59015.379,NaN,NaN,17.171,0.030
59015.383,NaN,NaN,17.102,0.027
59015.388,NaN,NaN,17.150,0.032
59015.399,NaN,NaN,17.035,0.026
59016.349,17.953,0.058,NaN,NaN
59016.383,18.031,0.064,NaN,NaN
59016.387,18.024,0.059,NaN,NaN
59016.391,18.064,0.080,NaN,NaN
59016.392,18.153,0.064,NaN,NaN
59016.413,18.042,0.064,NaN,NaN
59016.417,17.943,0.055,NaN,NaN
59016.439,17.961,0.058,NaN,NaN
59017.362,17.934,0.046,NaN,NaN
59017.370,18.142,0.055,NaN,NaN
59017.373,18.072,0.055,NaN,NaN
59017.374,17.958,0.053,NaN,NaN
59017.380,17.878,0.048,NaN,NaN
59017.415,18.117,0.060,NaN,NaN
59019.352,NaN,NaN,17.225,0.037
59021.352,18.141,0.062,NaN,NaN
59021.354,18.200,0.066,NaN,NaN
59021.361,18.229,0.058,NaN,NaN
59021.371,18.131,0.061,NaN,NaN
59023.368,NaN,NaN,17.309,0.093
59027.356,NaN,NaN,17.539,0.040
59027.356,NaN,NaN,17.533,0.040
59027.359,NaN,NaN,17.465,0.039
59027.361,NaN,NaN,17.515,0.040
59027.365,NaN,NaN,17.498,0.043
59027.372,NaN,NaN,17.481,0.039
59027.375,NaN,NaN,17.427,0.036
59029.366,NaN,NaN,17.658,0.065
59029.369,NaN,NaN,17.785,0.069
59029.375,NaN,NaN,17.534,0.072
59029.385,NaN,NaN,17.536,0.058
59037.383,NaN,NaN,18.736,0.215
59039.351,NaN,NaN,19.070,0.134
59039.354,NaN,NaN,19.180,0.183
59043.320,NaN,NaN,19.120,0.207
59043.330,NaN,NaN,19.160,0.149
59043.340,NaN,NaN,19.794,0.287
59047.351,NaN,NaN,19.490,0.197
59055.299,NaN,NaN,19.292,0.217
59055.315,NaN,NaN,19.273,0.199
59071.272,NaN,NaN,19.591,0.244
59075.286,NaN,NaN,19.395,0.211
