MJD,c,c_err,o,o_err
58930.559,18.505,0.083,NaN,NaN
58930.563,18.500,0.101,NaN,NaN
58930.569,18.598,0.073,NaN,NaN
58930.579,18.559,0.071,NaN,NaN
58942.484,NaN,NaN,18.706,0.195
58942.490,NaN,NaN,18.687,0.196
58942.536,NaN,NaN,18.679,0.116
58951.557,NaN,NaN,18.613,0.136
58951.567,NaN,NaN,18.355,0.129
58951.575,NaN,NaN,18.669,0.165
58952.515,NaN,NaN,18.822,0.119
58952.518,NaN,NaN,18.634,0.133
58952.524,NaN,NaN,18.408,0.102
58952.538,NaN,NaN,18.509,0.108
58956.490,NaN,NaN,18.556,0.080
58956.493,NaN,NaN,18.543,0.092
58956.500,NaN,NaN,18.540,0.077
58956.510,NaN,NaN,18.455,0.066
58957.545,18.890,0.091,NaN,NaN
58957.551,19.075,0.126,NaN,NaN
58957.555,18.945,0.112,NaN,NaN
58957.564,18.860,0.093,NaN,NaN
58958.480,19.127,0.118,NaN,NaN
58958.483,19.075,0.107,NaN,NaN
58958.492,18.971,0.093,NaN,NaN
58958.502,18.904,0.096,NaN,NaN
58960.479,NaN,NaN,18.559,0.096
58960.483,NaN,NaN,18.443,0.084
58960.489,NaN,NaN,18.836,0.121
58960.503,NaN,NaN,18.628,0.095
58961.498,18.956,0.103,NaN,NaN
58961.503,18.879,0.103,NaN,NaN
58961.516,19.023,0.089,NaN,NaN
58961.527,18.791,0.082,NaN,NaN
58962.502,18.772,0.264,NaN,NaN
58963.504,NaN,NaN,18.199,0.160
58963.585,NaN,NaN,18.812,0.272
58964.457,NaN,NaN,18.304,0.165
58965.457,19.002,0.107,NaN,NaN
58965.462,18.879,0.100,NaN,NaN
58965.464,19.122,0.120,NaN,NaN
58965.469,18.938,0.118,NaN,NaN
58966.448,19.182,0.123,NaN,NaN
58966.478,18.979,0.104,NaN,NaN
58966.481,18.885,0.085,NaN,NaN
58966.504,19.195,0.149,NaN,NaN
58967.360,NaN,NaN,18.844,0.120
58967.385,NaN,NaN,18.772,0.101
58967.388,NaN,NaN,18.531,0.090
58967.396,NaN,NaN,18.942,0.123
58968.441,NaN,NaN,18.744,0.104
58968.444,NaN,NaN,18.764,0.096
58968.447,NaN,NaN,18.569,0.073
58968.452,NaN,NaN,18.786,0.104
58969.501,19.154,0.125,NaN,NaN
58969.505,19.008,0.119,NaN,NaN
58969.510,19.379,0.175,NaN,NaN
58969.544,18.814,0.119,NaN,NaN
58972.402,NaN,NaN,18.601,0.106
58972.404,NaN,NaN,18.518,0.099
58972.413,NaN,NaN,18.515,0.085
58972.424,NaN,NaN,18.636,0.106
58974.357,NaN,NaN,18.812,0.298
58974.360,NaN,NaN,18.378,0.221
58979.535,NaN,NaN,18.300,0.226
58979.540,NaN,NaN,18.397,0.199
58979.545,NaN,NaN,18.389,0.203
58981.499,NaN,NaN,18.661,0.128
58981.503,NaN,NaN,18.639,0.117
58981.510,NaN,NaN,18.868,0.178
58981.524,NaN,NaN,18.402,0.103
58982.438,NaN,NaN,18.611,0.103
58982.442,NaN,NaN,18.696,0.115
58982.477,NaN,NaN,18.455,0.101
58982.482,NaN,NaN,18.811,0.140
58983.435,NaN,NaN,18.641,0.099
58983.438,NaN,NaN,18.715,0.096
58983.470,NaN,NaN,18.570,0.092
58983.476,NaN,NaN,18.750,0.112
58984.451,NaN,NaN,18.822,0.095
58984.457,NaN,NaN,18.623,0.086
58984.466,NaN,NaN,18.694,0.101
58984.469,NaN,NaN,18.575,0.091
58985.397,19.164,0.109,NaN,NaN
58985.402,19.112,0.107,NaN,NaN
58985.404,19.276,0.133,NaN,NaN
58985.436,18.974,0.110,NaN,NaN
58986.430,18.889,0.098,NaN,NaN
58986.434,19.024,0.103,NaN,NaN
58986.439,19.244,0.127,NaN,NaN
58986.452,19.080,0.114,NaN,NaN
58987.385,NaN,NaN,18.622,0.083
58987.387,NaN,NaN,18.901,0.088
58987.390,NaN,NaN,19.035,0.134
58987.395,NaN,NaN,18.960,0.102
58988.430,NaN,NaN,18.732,0.088
58988.433,NaN,NaN,18.743,0.079
58988.440,NaN,NaN,18.740,0.095
58988.476,NaN,NaN,18.605,0.093
58989.453,18.950,0.116,NaN,NaN
58989.457,19.148,0.110,NaN,NaN
58989.493,19.215,0.148,NaN,NaN
58989.501,19.249,0.152,NaN,NaN
58990.432,19.171,0.113,NaN,NaN
58990.437,19.437,0.132,NaN,NaN
58990.472,19.375,0.152,NaN,NaN
58990.478,19.182,0.128,NaN,NaN
58991.438,NaN,NaN,18.572,0.080
58991.441,NaN,NaN,18.630,0.085
58991.476,NaN,NaN,18.651,0.095
58991.505,NaN,NaN,18.895,0.120
58992.408,NaN,NaN,18.686,0.102
58992.411,NaN,NaN,18.665,0.084
58992.417,NaN,NaN,18.852,0.114
58992.452,NaN,NaN,18.929,0.129
58994.418,19.367,0.163,NaN,NaN
58994.422,19.145,0.147,NaN,NaN
58994.428,19.394,0.206,NaN,NaN
58994.440,19.258,0.173,NaN,NaN
58995.417,NaN,NaN,18.765,0.092
58995.420,NaN,NaN,18.879,0.108
58995.426,NaN,NaN,18.702,0.229
58995.462,NaN,NaN,18.497,0.154
58996.356,NaN,NaN,19.009,0.205
58996.359,NaN,NaN,18.763,0.137
58996.363,NaN,NaN,18.980,0.184
58996.368,NaN,NaN,18.863,0.175
58997.430,19.172,0.214,NaN,NaN
58997.434,18.908,0.174,NaN,NaN
58997.449,19.251,0.200,NaN,NaN
58998.372,NaN,NaN,18.794,0.131
58998.374,NaN,NaN,18.712,0.139
58998.399,NaN,NaN,18.563,0.095
58998.416,NaN,NaN,18.879,0.120
58999.392,NaN,NaN,18.639,0.094
58999.426,NaN,NaN,18.893,0.099
58999.430,NaN,NaN,19.087,0.145
58999.435,NaN,NaN,18.842,0.135
59000.362,NaN,NaN,18.905,0.117
59000.365,NaN,NaN,18.991,0.131
59000.371,NaN,NaN,18.768,0.097
59000.376,NaN,NaN,18.855,0.128
59001.445,NaN,NaN,18.784,0.168
59001.449,NaN,NaN,19.112,0.251
59001.456,NaN,NaN,18.695,0.189
59001.471,NaN,NaN,18.950,0.204
59007.434,NaN,NaN,18.574,0.199
59007.440,NaN,NaN,18.957,0.241
59008.441,NaN,NaN,18.605,0.178
59008.450,NaN,NaN,18.890,0.176
59008.465,NaN,NaN,19.038,0.180
59010.411,NaN,NaN,19.062,0.155
59010.414,NaN,NaN,19.406,0.225
59010.424,NaN,NaN,19.085,0.185
59010.430,NaN,NaN,19.069,0.201
59011.416,NaN,NaN,18.705,0.087
59011.419,NaN,NaN,19.088,0.118
59011.425,NaN,NaN,19.089,0.146
59011.438,NaN,NaN,19.015,0.145
59016.363,NaN,NaN,19.201,0.218
59016.374,NaN,NaN,19.519,0.247
59016.389,19.719,0.268,NaN,NaN
59016.389,NaN,NaN,19.500,0.204
59020.357,NaN,NaN,20.140,0.287
59020.377,NaN,NaN,19.708,0.191
59021.383,20.346,0.298,NaN,NaN
59028.312,NaN,NaN,19.936,0.283
59038.342,NaN,NaN,19.677,0.289
59040.357,NaN,NaN,19.628,0.205
59048.309,NaN,NaN,20.100,0.254
59050.307,19.985,0.276,NaN,NaN
59088.262,NaN,NaN,19.138,0.289
