MJD,c,c_err,o,o_err
58946.512,NaN,NaN,18.225,0.192
58946.520,NaN,NaN,18.485,0.261
58950.408,NaN,NaN,18.480,0.075
58950.411,NaN,NaN,18.516,0.079
58950.417,NaN,NaN,18.598,0.090
58950.435,NaN,NaN,18.621,0.087
58956.416,17.900,0.042,NaN,NaN
58956.420,17.888,0.042,NaN,NaN
58956.425,17.923,0.044,NaN,NaN
58956.435,17.906,0.041,NaN,NaN
58958.397,NaN,NaN,18.094,0.061
58958.400,NaN,NaN,18.071,0.054
58958.406,NaN,NaN,18.074,0.055
58958.418,NaN,NaN,18.094,0.052
58960.359,17.990,0.036,NaN,NaN
58960.364,17.981,0.042,NaN,NaN
58960.370,17.929,0.040,NaN,NaN
58960.386,17.881,0.039,NaN,NaN
58962.489,NaN,NaN,18.091,0.068
58962.492,NaN,NaN,18.232,0.063
58962.500,NaN,NaN,18.285,0.075
58962.511,NaN,NaN,18.040,0.065
58964.403,17.886,0.054,NaN,NaN
58964.415,17.931,0.055,NaN,NaN
58966.361,NaN,NaN,18.168,0.055
58966.394,NaN,NaN,18.225,0.056
58966.397,NaN,NaN,18.082,0.043
58966.403,NaN,NaN,18.243,0.047
58968.357,NaN,NaN,18.200,0.049
58968.361,NaN,NaN,18.084,0.050
58968.368,NaN,NaN,18.195,0.059
58968.380,NaN,NaN,18.109,0.051
58970.357,NaN,NaN,18.238,0.070
58970.360,NaN,NaN,18.297,0.067
58970.366,NaN,NaN,18.202,0.081
58970.378,NaN,NaN,18.189,0.068
58972.399,NaN,NaN,18.339,0.112
58972.403,NaN,NaN,18.047,0.084
58972.410,NaN,NaN,18.209,0.086
58972.424,NaN,NaN,18.348,0.109
58974.348,NaN,NaN,18.159,0.103
58974.351,NaN,NaN,18.257,0.102
58974.357,NaN,NaN,18.151,0.097
58974.367,NaN,NaN,18.265,0.098
58976.353,NaN,NaN,18.261,0.215
58976.356,NaN,NaN,18.375,0.214
58976.362,NaN,NaN,18.311,0.161
58976.372,NaN,NaN,18.243,0.193
58978.382,NaN,NaN,18.290,0.095
58978.385,NaN,NaN,18.367,0.087
58978.391,NaN,NaN,18.324,0.096
58980.363,NaN,NaN,18.418,0.067
58980.368,NaN,NaN,18.342,0.067
58980.372,NaN,NaN,18.516,0.073
58980.382,NaN,NaN,18.374,0.081
58982.352,NaN,NaN,18.325,0.057
58982.355,NaN,NaN,18.258,0.055
58982.361,NaN,NaN,18.358,0.055
58982.372,NaN,NaN,18.308,0.051
58984.346,18.384,0.052,NaN,NaN
58984.350,18.313,0.051,NaN,NaN
58984.355,18.486,0.059,NaN,NaN
58984.365,18.419,0.057,NaN,NaN
58986.392,NaN,NaN,18.360,0.064
58986.395,NaN,NaN,18.441,0.058
58986.400,NaN,NaN,18.293,0.053
58986.411,NaN,NaN,18.546,0.066
58988.357,18.545,0.074,NaN,NaN
58988.361,18.376,0.063,NaN,NaN
58988.368,18.545,0.066,NaN,NaN
58988.379,18.556,0.074,NaN,NaN
58990.325,NaN,NaN,18.291,0.054
58990.328,NaN,NaN,18.463,0.062
58990.334,NaN,NaN,18.325,0.054
58990.345,NaN,NaN,18.339,0.066
58992.317,18.547,0.063,NaN,NaN
58992.320,18.670,0.069,NaN,NaN
58992.326,18.355,0.054,NaN,NaN
58992.336,18.562,0.066,NaN,NaN
58994.327,NaN,NaN,18.464,0.079
58994.331,NaN,NaN,18.753,0.094
58994.337,NaN,NaN,18.306,0.062
58994.347,NaN,NaN,18.391,0.064
58998.307,NaN,NaN,18.419,0.078
58998.310,NaN,NaN,18.419,0.092
58998.317,NaN,NaN,18.566,0.145
58998.327,NaN,NaN,18.563,0.149
59000.309,NaN,NaN,18.463,0.093
59000.312,NaN,NaN,18.363,0.094
59000.319,NaN,NaN,18.439,0.093
59000.329,NaN,NaN,18.421,0.110
59002.336,NaN,NaN,18.512,0.101
59002.339,NaN,NaN,18.526,0.091
59002.346,NaN,NaN,18.316,0.092
59002.358,NaN,NaN,18.359,0.083
59004.307,NaN,NaN,18.352,0.120
59004.310,NaN,NaN,18.420,0.136
59004.316,NaN,NaN,18.735,0.203
59004.371,NaN,NaN,18.447,0.141
59006.301,NaN,NaN,18.295,0.082
59006.305,NaN,NaN,18.465,0.124
59006.310,NaN,NaN,18.548,0.117
59006.323,NaN,NaN,18.575,0.120
59008.319,NaN,NaN,18.590,0.108
59008.323,NaN,NaN,18.433,0.091
59008.328,NaN,NaN,18.615,0.151
59008.339,NaN,NaN,18.288,0.226
59010.296,NaN,NaN,18.543,0.071
59010.299,NaN,NaN,18.760,0.096
59010.306,NaN,NaN,18.463,0.057
59010.317,NaN,NaN,18.392,0.086
59011.289,18.726,0.073,NaN,NaN
59011.290,18.736,0.080,NaN,NaN
59011.292,18.519,0.062,NaN,NaN
59011.293,18.730,0.080,NaN,NaN
