MJD,c,c_err,o,o_err
58950.462,NaN,NaN,18.952,0.147
58950.465,NaN,NaN,18.694,0.096
58950.472,NaN,NaN,18.897,0.116
58950.482,NaN,NaN,19.846,0.256
58954.459,NaN,NaN,18.671,0.262
58954.462,NaN,NaN,18.887,0.297
58954.468,NaN,NaN,17.918,0.146
58954.486,NaN,NaN,18.386,0.069
58954.631,NaN,NaN,18.434,0.115
58956.439,17.872,0.039,NaN,NaN
58956.444,17.885,0.036,NaN,NaN
58956.448,17.762,0.037,NaN,NaN
58956.459,17.840,0.037,NaN,NaN
58956.546,17.748,0.036,NaN,NaN
58960.439,17.624,0.033,NaN,NaN
58960.442,17.742,0.037,NaN,NaN
58960.480,17.586,0.029,NaN,NaN
58962.423,NaN,NaN,17.799,0.040
58962.426,NaN,NaN,17.824,0.040
58962.432,NaN,NaN,17.820,0.049
58962.442,NaN,NaN,17.738,0.043
58964.446,17.573,0.050,NaN,NaN
58964.479,17.726,0.091,NaN,NaN
58964.482,17.733,0.032,NaN,NaN
58964.489,17.690,0.034,NaN,NaN
58966.369,NaN,NaN,17.888,0.048
58966.372,NaN,NaN,17.977,0.051
58966.378,NaN,NaN,17.884,0.043
58966.388,NaN,NaN,17.929,0.048
58970.411,NaN,NaN,18.116,0.062
58970.444,NaN,NaN,17.861,0.048
58970.447,NaN,NaN,18.096,0.061
58970.453,NaN,NaN,18.063,0.059
58971.430,NaN,NaN,18.093,0.063
58971.433,NaN,NaN,18.043,0.064
58971.439,NaN,NaN,17.984,0.069
58971.450,NaN,NaN,18.003,0.060
58972.419,NaN,NaN,17.972,0.069
58972.422,NaN,NaN,18.059,0.067
58972.430,NaN,NaN,18.297,0.090
58972.442,NaN,NaN,18.033,0.069
58972.548,NaN,NaN,18.062,0.068
58974.429,NaN,NaN,18.047,0.082
58974.433,NaN,NaN,18.047,0.088
58974.468,NaN,NaN,18.158,0.112
58974.475,NaN,NaN,18.095,0.115
58976.417,NaN,NaN,18.425,0.173
58976.451,NaN,NaN,18.339,0.185
58976.480,NaN,NaN,18.205,0.159
58976.518,NaN,NaN,18.071,0.187
58978.422,NaN,NaN,17.993,0.082
58978.426,NaN,NaN,18.168,0.065
58978.432,NaN,NaN,18.022,0.065
58978.442,NaN,NaN,18.067,0.074
58980.419,NaN,NaN,18.399,0.156
58980.439,NaN,NaN,18.138,0.073
58982.393,NaN,NaN,18.266,0.066
58982.425,NaN,NaN,18.429,0.065
58982.428,NaN,NaN,18.259,0.051
58982.435,NaN,NaN,18.299,0.064
58984.397,18.432,0.051,NaN,NaN
58984.401,18.335,0.054,NaN,NaN
58984.406,18.432,0.065,NaN,NaN
58984.416,18.452,0.062,NaN,NaN
58986.431,NaN,NaN,18.317,0.053
58986.435,NaN,NaN,18.256,0.064
58986.441,NaN,NaN,18.373,0.052
58986.452,NaN,NaN,18.245,0.048
58988.409,18.635,0.075,NaN,NaN
58988.412,18.474,0.060,NaN,NaN
58988.418,18.515,0.059,NaN,NaN
58988.428,18.547,0.059,NaN,NaN
58990.376,NaN,NaN,18.435,0.068
58990.410,NaN,NaN,18.266,0.054
58990.413,NaN,NaN,18.323,0.061
58990.419,NaN,NaN,18.219,0.056
58992.369,18.573,0.070,NaN,NaN
58992.403,18.614,0.070,NaN,NaN
58992.407,18.394,0.059,NaN,NaN
58992.412,18.760,0.085,NaN,NaN
58994.367,NaN,NaN,18.788,0.100
58994.370,NaN,NaN,18.463,0.078
58994.377,NaN,NaN,18.289,0.067
58994.387,NaN,NaN,18.353,0.066
58998.360,NaN,NaN,18.538,0.101
58998.363,NaN,NaN,18.704,0.148
58998.369,NaN,NaN,18.356,0.089
58998.379,NaN,NaN,18.839,0.141
59000.365,NaN,NaN,18.784,0.140
59000.368,NaN,NaN,18.839,0.137
59000.374,NaN,NaN,18.457,0.088
59000.388,NaN,NaN,18.412,0.099
59002.382,NaN,NaN,18.696,0.125
59002.385,NaN,NaN,18.303,0.081
59002.391,NaN,NaN,18.491,0.085
59002.401,NaN,NaN,18.623,0.105
59004.432,NaN,NaN,18.583,0.177
59004.435,NaN,NaN,18.421,0.125
59004.442,NaN,NaN,18.576,0.194
59004.454,NaN,NaN,18.657,0.206
59006.341,NaN,NaN,18.621,0.103
59006.344,NaN,NaN,18.700,0.138
59006.350,NaN,NaN,18.639,0.133
59006.385,NaN,NaN,18.321,0.098
59010.341,NaN,NaN,18.862,0.109
59010.344,NaN,NaN,18.853,0.112
59010.350,NaN,NaN,18.647,0.080
59010.363,NaN,NaN,18.615,0.075
59011.321,19.036,0.110,NaN,NaN
59011.329,18.887,0.091,NaN,NaN
59011.339,19.018,0.089,NaN,NaN
59011.343,18.901,0.088,NaN,NaN
59014.336,NaN,NaN,18.906,0.099
59014.339,NaN,NaN,19.155,0.123
59014.346,NaN,NaN,19.029,0.117
59014.357,NaN,NaN,18.753,0.090
59015.335,19.185,0.110,NaN,NaN
59015.338,18.830,0.090,NaN,NaN
59015.344,18.909,0.088,NaN,NaN
59015.355,18.980,0.093,NaN,NaN
59018.338,NaN,NaN,19.084,0.160
59018.341,NaN,NaN,19.134,0.163
59018.347,NaN,NaN,19.438,0.259
59018.359,NaN,NaN,18.890,0.116
59020.331,19.209,0.103,NaN,NaN
59020.335,19.176,0.108,NaN,NaN
59020.342,19.025,0.110,NaN,NaN
59020.354,19.000,0.179,NaN,NaN
59026.305,NaN,NaN,18.896,0.125
59026.312,NaN,NaN,19.050,0.149
59026.316,NaN,NaN,19.116,0.178
59026.326,NaN,NaN,19.401,0.191
59028.315,NaN,NaN,19.296,0.185
59028.319,NaN,NaN,19.620,0.212
59028.326,NaN,NaN,19.172,0.141
59028.338,NaN,NaN,18.906,0.118
59030.297,NaN,NaN,19.044,0.150
59030.300,NaN,NaN,19.084,0.164
59030.310,NaN,NaN,19.034,0.161
59030.321,NaN,NaN,18.742,0.115
59032.293,NaN,NaN,19.105,0.187
59032.303,NaN,NaN,19.179,0.202
59032.315,NaN,NaN,19.389,0.244
59034.312,NaN,NaN,18.927,0.195
59034.320,NaN,NaN,19.097,0.236
59034.323,NaN,NaN,18.936,0.182
59034.337,NaN,NaN,19.318,0.299
59036.310,NaN,NaN,19.119,0.199
59036.314,NaN,NaN,19.121,0.201
59036.321,NaN,NaN,19.057,0.192
59036.331,NaN,NaN,19.281,0.233
59038.297,NaN,NaN,19.079,0.118
59038.301,NaN,NaN,19.267,0.125
59038.306,NaN,NaN,19.201,0.112
59038.321,NaN,NaN,19.189,0.124
59040.288,19.545,0.152,NaN,NaN
59040.295,19.932,0.231,NaN,NaN
59040.309,19.891,0.204,NaN,NaN
59042.282,NaN,NaN,19.321,0.183
59042.288,NaN,NaN,19.155,0.135
59042.291,NaN,NaN,19.483,0.211
59042.302,NaN,NaN,19.587,0.290
59044.342,20.203,0.281,NaN,NaN
59048.303,19.661,0.171,NaN,NaN
59048.309,20.148,0.278,NaN,NaN
59048.321,20.247,0.273,NaN,NaN
59050.255,NaN,NaN,19.822,0.199
59050.261,NaN,NaN,19.792,0.180
59050.264,NaN,NaN,19.829,0.170
59050.275,NaN,NaN,20.028,0.275
59054.253,NaN,NaN,19.916,0.245
59054.256,NaN,NaN,19.941,0.211
59054.261,NaN,NaN,19.708,0.185
59054.271,NaN,NaN,20.070,0.215
