MJD,c,c_err,o,o_err
58956.398,18.806,0.091,NaN,NaN
58956.401,18.870,0.115,NaN,NaN
58956.406,18.701,0.094,NaN,NaN
58956.417,18.835,0.125,NaN,NaN
58958.298,NaN,NaN,18.662,0.087
58958.301,NaN,NaN,18.864,0.115
58958.308,NaN,NaN,18.600,0.097
58958.319,NaN,NaN,18.809,0.082
58960.293,18.655,0.083,NaN,NaN
58960.296,18.594,0.070,NaN,NaN
58960.302,18.645,0.079,NaN,NaN
58960.311,18.706,0.093,NaN,NaN
58962.360,NaN,NaN,18.607,0.143
58962.363,NaN,NaN,18.505,0.130
58962.369,NaN,NaN,18.681,0.123
58962.379,NaN,NaN,18.869,0.141
58966.264,NaN,NaN,18.555,0.088
58966.272,NaN,NaN,18.616,0.082
58966.286,NaN,NaN,18.823,0.124
58968.265,NaN,NaN,18.880,0.144
58968.268,NaN,NaN,18.892,0.152
58968.274,NaN,NaN,18.848,0.123
58968.285,NaN,NaN,18.689,0.115
58970.249,NaN,NaN,19.028,0.218
58970.252,NaN,NaN,18.858,0.156
58970.257,NaN,NaN,18.657,0.151
58970.268,NaN,NaN,18.601,0.129
58972.302,NaN,NaN,18.835,0.185
58972.305,NaN,NaN,18.754,0.185
58972.311,NaN,NaN,18.825,0.197
58972.321,NaN,NaN,18.724,0.149
58974.237,NaN,NaN,18.643,0.193
58974.240,NaN,NaN,18.940,0.203
58974.247,NaN,NaN,19.002,0.204
58974.258,NaN,NaN,18.695,0.127
58976.255,NaN,NaN,18.655,0.212
58976.258,NaN,NaN,18.339,0.145
58976.268,NaN,NaN,18.638,0.212
58980.261,19.059,0.111,NaN,NaN
58980.265,18.976,0.106,NaN,NaN
58980.273,18.905,0.116,NaN,NaN
58980.285,18.984,0.110,NaN,NaN
58982.240,NaN,NaN,18.654,0.161
58982.243,NaN,NaN,18.695,0.128
58982.251,NaN,NaN,18.802,0.109
58982.260,NaN,NaN,18.631,0.094
58986.247,NaN,NaN,18.977,0.148
58986.252,NaN,NaN,18.819,0.102
58986.255,NaN,NaN,18.893,0.115
58986.265,NaN,NaN,18.980,0.140
58988.288,19.050,0.129,NaN,NaN
58988.291,19.128,0.161,NaN,NaN
58988.298,19.329,0.184,NaN,NaN
58988.309,19.461,0.235,NaN,NaN
59176.645,19.638,0.283,NaN,NaN
