MJD,c,c_err,o,o_err
58945.537,NaN,NaN,18.363,0.244
58949.482,NaN,NaN,18.100,0.099
58949.492,NaN,NaN,18.150,0.115
58949.501,NaN,NaN,18.218,0.140
58949.504,NaN,NaN,18.473,0.171
58950.524,NaN,NaN,18.130,0.187
58951.423,NaN,NaN,18.253,0.093
58951.427,NaN,NaN,18.083,0.092
58951.435,NaN,NaN,18.157,0.092
58951.451,NaN,NaN,18.015,0.081
58952.505,NaN,NaN,18.097,0.071
58952.508,NaN,NaN,18.038,0.073
58952.514,NaN,NaN,18.058,0.059
58952.528,NaN,NaN,17.990,0.050
58953.467,NaN,NaN,17.975,0.055
58953.477,NaN,NaN,18.076,0.056
58953.481,NaN,NaN,18.044,0.055
58953.488,NaN,NaN,17.962,0.050
58956.456,NaN,NaN,17.896,0.041
58956.462,NaN,NaN,17.864,0.038
58956.466,NaN,NaN,18.023,0.050
58956.476,NaN,NaN,18.053,0.052
58957.472,NaN,NaN,17.952,0.057
58957.481,NaN,NaN,18.202,0.051
58957.485,NaN,NaN,18.051,0.051
58957.502,NaN,NaN,18.021,0.047
58958.467,18.115,0.055,NaN,NaN
58958.470,18.324,0.058,NaN,NaN
58958.475,18.269,0.053,NaN,NaN
58958.489,18.146,0.047,NaN,NaN
58959.461,18.282,0.055,NaN,NaN
58959.467,18.224,0.060,NaN,NaN
58959.488,18.315,0.058,NaN,NaN
58960.469,NaN,NaN,18.037,0.058
58960.473,NaN,NaN,18.091,0.054
58960.479,NaN,NaN,18.155,0.060
58960.493,NaN,NaN,18.071,0.057
58964.404,NaN,NaN,18.028,0.091
58964.407,NaN,NaN,18.069,0.080
58964.438,NaN,NaN,18.403,0.149
58964.465,NaN,NaN,18.016,0.102
58967.426,18.514,0.066,NaN,NaN
58967.430,18.468,0.061,NaN,NaN
58967.463,18.550,0.097,NaN,NaN
58967.480,18.387,0.068,NaN,NaN
58968.432,NaN,NaN,18.275,0.054
58968.435,NaN,NaN,18.182,0.057
58968.468,NaN,NaN,18.065,0.049
58968.475,NaN,NaN,18.229,0.055
58969.429,NaN,NaN,18.165,0.044
58969.466,NaN,NaN,18.246,0.062
58969.495,NaN,NaN,18.288,0.061
58970.457,NaN,NaN,18.228,0.068
58970.460,NaN,NaN,18.330,0.092
58970.463,NaN,NaN,18.192,0.073
58970.470,NaN,NaN,18.245,0.089
58971.421,NaN,NaN,18.255,0.082
58971.424,NaN,NaN,18.085,0.063
58971.445,NaN,NaN,18.171,0.071
58971.464,NaN,NaN,18.139,0.076
58972.330,NaN,NaN,18.227,0.071
58972.351,NaN,NaN,18.190,0.073
58972.361,NaN,NaN,18.303,0.066
58972.364,NaN,NaN,18.209,0.069
58973.375,NaN,NaN,18.181,0.080
58973.377,NaN,NaN,18.275,0.086
58973.402,NaN,NaN,18.062,0.069
58973.413,NaN,NaN,18.393,0.114
58977.447,NaN,NaN,18.503,0.164
58977.450,NaN,NaN,18.143,0.126
58977.470,NaN,NaN,18.379,0.148
58977.475,NaN,NaN,17.988,0.116
58979.432,NaN,NaN,18.361,0.100
58979.435,NaN,NaN,18.036,0.073
58979.441,NaN,NaN,18.170,0.092
58979.466,NaN,NaN,18.149,0.083
58980.409,NaN,NaN,18.331,0.089
58980.413,NaN,NaN,18.155,0.170
58980.420,NaN,NaN,18.409,0.074
58981.406,NaN,NaN,18.539,0.092
58981.416,NaN,NaN,18.325,0.077
58981.426,NaN,NaN,18.278,0.074
58981.429,NaN,NaN,18.373,0.074
58983.430,18.684,0.073,NaN,NaN
58983.448,18.805,0.083,NaN,NaN
58983.456,18.922,0.096,NaN,NaN
58983.461,18.740,0.081,NaN,NaN
58984.443,NaN,NaN,18.278,0.053
58984.447,NaN,NaN,18.268,0.059
58984.453,NaN,NaN,18.353,0.054
58984.465,NaN,NaN,18.333,0.073
58986.429,18.864,0.092,NaN,NaN
58986.432,18.696,0.080,NaN,NaN
58986.443,18.750,0.083,NaN,NaN
58986.449,18.853,0.107,NaN,NaN
58988.410,NaN,NaN,18.478,0.058
58988.413,NaN,NaN,18.344,0.058
