MJD,c,c_err,o,o_err
58964.583,19.709,0.282,NaN,NaN
58964.587,19.373,0.205,NaN,NaN
58964.593,19.208,0.142,NaN,NaN
58964.609,19.577,0.212,NaN,NaN
58966.556,NaN,NaN,18.706,0.128
58966.560,NaN,NaN,19.113,0.171
58966.567,NaN,NaN,19.090,0.193
58966.579,NaN,NaN,19.071,0.187
58968.540,19.185,0.129,NaN,NaN
58968.543,19.272,0.160,NaN,NaN
58968.551,19.014,0.116,NaN,NaN
58968.563,19.106,0.118,NaN,NaN
58970.583,NaN,NaN,19.403,0.148
58970.588,NaN,NaN,19.401,0.166
58970.608,NaN,NaN,19.101,0.120
58970.615,NaN,NaN,19.068,0.138
58974.579,NaN,NaN,19.018,0.176
58974.582,NaN,NaN,19.323,0.225
58974.602,NaN,NaN,19.116,0.178
58974.609,NaN,NaN,18.974,0.134
58978.593,NaN,NaN,18.719,0.142
58978.599,NaN,NaN,18.827,0.136
58978.602,NaN,NaN,18.839,0.188
58978.613,NaN,NaN,18.922,0.145
58982.583,NaN,NaN,19.015,0.122
58982.586,NaN,NaN,18.940,0.093
58982.595,NaN,NaN,19.220,0.178
58982.605,NaN,NaN,18.991,0.136
58984.561,NaN,NaN,19.269,0.161
58984.562,NaN,NaN,18.886,0.139
58984.565,NaN,NaN,19.460,0.230
58984.570,NaN,NaN,19.297,0.223
58984.574,NaN,NaN,19.150,0.181
58984.582,NaN,NaN,19.648,0.216
58984.586,NaN,NaN,19.457,0.201
58984.609,NaN,NaN,19.136,0.152
58986.562,NaN,NaN,18.905,0.118
58986.564,NaN,NaN,19.207,0.147
58986.567,NaN,NaN,19.025,0.121
58986.572,NaN,NaN,18.896,0.116
58988.554,19.798,0.210,NaN,NaN
58988.559,19.890,0.265,NaN,NaN
58988.571,19.867,0.243,NaN,NaN
58990.522,NaN,NaN,19.206,0.151
58990.524,NaN,NaN,19.257,0.174
58990.527,NaN,NaN,19.665,0.240
58990.533,NaN,NaN,19.159,0.136
58990.537,NaN,NaN,19.228,0.166
58990.540,NaN,NaN,19.055,0.156
58990.550,NaN,NaN,19.093,0.138
58992.526,20.024,0.278,NaN,NaN
58992.534,19.965,0.229,NaN,NaN
58992.541,19.844,0.253,NaN,NaN
58994.533,NaN,NaN,19.630,0.191
58994.536,NaN,NaN,19.522,0.183
58994.542,NaN,NaN,19.023,0.114
58994.548,NaN,NaN,19.093,0.155
58998.534,NaN,NaN,19.122,0.129
58998.538,NaN,NaN,19.526,0.209
58998.542,NaN,NaN,19.257,0.133
58998.548,NaN,NaN,19.793,0.246
59000.542,19.804,0.226,NaN,NaN
59000.544,19.917,0.210,NaN,NaN
59000.547,20.168,0.289,NaN,NaN
59002.513,NaN,NaN,19.454,0.264
59002.529,NaN,NaN,19.105,0.195
59006.508,NaN,NaN,19.257,0.224
59010.504,NaN,NaN,19.302,0.147
59010.510,NaN,NaN,19.016,0.124
59010.515,NaN,NaN,19.329,0.180
59011.518,NaN,NaN,19.602,0.244
59011.523,NaN,NaN,19.442,0.208
59014.499,NaN,NaN,19.113,0.135
59014.501,NaN,NaN,19.713,0.214
59014.511,NaN,NaN,19.670,0.182
59015.509,NaN,NaN,19.650,0.200
59015.510,NaN,NaN,19.749,0.258
59015.518,NaN,NaN,19.840,0.263
59018.493,NaN,NaN,19.154,0.218
59018.496,NaN,NaN,19.161,0.218
59020.511,20.119,0.299,NaN,NaN
59026.473,NaN,NaN,19.491,0.175
59026.476,NaN,NaN,19.565,0.240
59026.482,NaN,NaN,19.598,0.200
59026.498,NaN,NaN,20.115,0.263
59028.519,20.289,0.285,NaN,NaN
59028.522,20.249,0.247,NaN,NaN
59030.473,NaN,NaN,19.787,0.289
59030.565,NaN,NaN,19.765,0.294
59032.443,NaN,NaN,19.307,0.277
59038.465,NaN,NaN,19.321,0.237
59042.427,NaN,NaN,19.703,0.279
59058.429,NaN,NaN,19.853,0.233
59058.433,NaN,NaN,20.096,0.290
59058.439,NaN,NaN,20.178,0.291
59074.451,NaN,NaN,19.824,0.204
59078.360,NaN,NaN,19.922,0.262
