MJD,c,c_err,o,o_err
59005.346,NaN,NaN,14.620,0.007
59034.292,NaN,NaN,15.040,0.011
59040.283,NaN,NaN,15.714,0.012
59040.286,NaN,NaN,15.738,0.011
59040.293,NaN,NaN,15.741,0.012
59040.303,NaN,NaN,15.686,0.012
59042.285,16.756,0.024,NaN,NaN
59042.288,16.782,0.022,NaN,NaN
59042.294,16.712,0.026,NaN,NaN
59042.306,16.817,0.025,NaN,NaN
59044.254,NaN,NaN,16.384,0.020
59044.258,NaN,NaN,16.408,0.017
59044.264,NaN,NaN,16.355,0.016
59064.247,NaN,NaN,16.586,0.047
59064.254,NaN,NaN,16.734,0.047
59064.264,NaN,NaN,16.728,0.040
59181.581,NaN,NaN,18.209,0.202
59181.586,NaN,NaN,18.157,0.159
59181.589,NaN,NaN,18.240,0.169
59181.605,NaN,NaN,18.061,0.126
59185.635,NaN,NaN,18.217,0.108
59185.649,NaN,NaN,18.130,0.111
59185.653,NaN,NaN,18.188,0.098
59189.618,NaN,NaN,18.095,0.111
59189.622,NaN,NaN,18.373,0.159
59189.640,NaN,NaN,18.374,0.109
59190.593,NaN,NaN,18.191,0.125
59190.596,NaN,NaN,18.348,0.113
59190.607,NaN,NaN,18.248,0.094
59190.612,NaN,NaN,18.121,0.102
59196.534,18.584,0.144,NaN,NaN
59196.544,18.697,0.160,NaN,NaN
59196.583,18.928,0.154,NaN,NaN
59196.608,19.062,0.264,NaN,NaN
59198.607,18.738,0.182,NaN,NaN
59198.611,18.881,0.216,NaN,NaN
59198.617,19.040,0.167,NaN,NaN
59198.630,19.034,0.145,NaN,NaN
59204.620,19.273,0.191,NaN,NaN
59204.623,18.761,0.117,NaN,NaN
59204.633,18.918,0.110,NaN,NaN
59204.643,19.314,0.154,NaN,NaN
59206.598,18.905,0.114,NaN,NaN
59206.601,19.080,0.141,NaN,NaN
59206.607,19.064,0.141,NaN,NaN
59206.620,18.953,0.128,NaN,NaN
59208.616,19.207,0.137,NaN,NaN
59208.619,19.414,0.155,NaN,NaN
59208.627,19.154,0.154,NaN,NaN
59208.647,19.147,0.150,NaN,NaN
59216.565,NaN,NaN,18.391,0.175
59216.583,NaN,NaN,18.407,0.139
59216.587,NaN,NaN,18.698,0.252
59220.590,NaN,NaN,18.798,0.179
59220.593,NaN,NaN,18.693,0.186
59220.610,NaN,NaN,18.849,0.178
59220.615,NaN,NaN,18.531,0.095
59222.637,NaN,NaN,19.164,0.140
59222.652,NaN,NaN,18.769,0.116
59222.656,NaN,NaN,18.666,0.103
59222.661,NaN,NaN,18.517,0.101
59224.585,19.220,0.166,NaN,NaN
59224.586,19.215,0.144,NaN,NaN
59224.590,19.320,0.155,NaN,NaN
59224.606,19.415,0.158,NaN,NaN
59226.577,19.510,0.183,NaN,NaN
59226.585,19.135,0.128,NaN,NaN
59226.586,19.190,0.152,NaN,NaN
59226.593,19.204,0.132,NaN,NaN
59228.516,19.007,0.159,NaN,NaN
59228.528,19.815,0.264,NaN,NaN
59228.552,19.165,0.147,NaN,NaN
59228.556,19.126,0.128,NaN,NaN
59230.496,20.080,0.283,NaN,NaN
59230.504,19.701,0.236,NaN,NaN
59230.507,19.468,0.200,NaN,NaN
59230.522,18.873,0.102,NaN,NaN
59232.524,19.279,0.176,NaN,NaN
59232.534,19.601,0.199,NaN,NaN
59232.536,19.534,0.288,NaN,NaN
59232.536,19.506,0.204,NaN,NaN
59232.542,19.897,0.281,NaN,NaN
59234.560,19.256,0.170,NaN,NaN
59234.564,19.137,0.120,NaN,NaN
59234.569,19.458,0.162,NaN,NaN
59248.593,NaN,NaN,19.070,0.221
59248.599,NaN,NaN,19.222,0.190
59248.603,NaN,NaN,18.844,0.181
59252.582,NaN,NaN,19.519,0.213
59252.592,NaN,NaN,18.932,0.176
59252.605,NaN,NaN,19.026,0.155
59256.482,19.866,0.271,NaN,NaN
59256.493,19.741,0.281,NaN,NaN
59256.503,19.182,0.147,NaN,NaN
59258.488,19.420,0.285,NaN,NaN
59258.492,19.608,0.251,NaN,NaN
59258.495,19.344,0.198,NaN,NaN
59260.437,19.536,0.248,NaN,NaN
59260.439,19.583,0.190,NaN,NaN
59260.442,19.709,0.251,NaN,NaN
59262.553,19.631,0.267,NaN,NaN
59262.559,19.523,0.210,NaN,NaN
59262.585,19.753,0.249,NaN,NaN
59262.610,19.362,0.177,NaN,NaN
59268.459,NaN,NaN,19.051,0.159
59268.465,NaN,NaN,19.412,0.266
