MJD,c,c_err,o,o_err
58979.474,NaN,NaN,18.133,0.129
58979.478,NaN,NaN,18.032,0.101
58979.484,NaN,NaN,17.842,0.123
58979.498,NaN,NaN,17.954,0.102
58981.446,NaN,NaN,18.266,0.098
58981.450,NaN,NaN,18.141,0.074
58981.455,NaN,NaN,18.198,0.087
58981.468,NaN,NaN,18.216,0.087
58983.398,NaN,NaN,18.040,0.061
58983.402,NaN,NaN,18.239,0.059
58983.408,NaN,NaN,18.006,0.050
58983.419,NaN,NaN,18.085,0.068
58985.358,18.155,0.054,NaN,NaN
58985.359,18.025,0.049,NaN,NaN
58985.362,18.154,0.059,NaN,NaN
58985.383,18.177,0.056,NaN,NaN
58987.417,NaN,NaN,18.127,0.072
58987.420,NaN,NaN,18.091,0.077
58987.426,NaN,NaN,18.070,0.070
58987.460,NaN,NaN,18.131,0.068
58989.384,18.143,0.054,NaN,NaN
58989.387,18.234,0.063,NaN,NaN
58989.393,18.294,0.069,NaN,NaN
58989.403,18.333,0.068,NaN,NaN
58991.400,NaN,NaN,18.087,0.067
58991.435,NaN,NaN,18.054,0.079
58991.438,NaN,NaN,17.947,0.069
58991.445,NaN,NaN,18.170,0.067
58993.440,18.425,0.079,NaN,NaN
58993.443,18.347,0.082,NaN,NaN
58993.449,18.229,0.070,NaN,NaN
58993.459,18.384,0.082,NaN,NaN
58995.367,NaN,NaN,17.975,0.056
58995.372,NaN,NaN,17.989,0.057
58995.377,NaN,NaN,17.949,0.055
58995.389,NaN,NaN,17.993,0.062
58997.394,18.140,0.076,NaN,NaN
58997.397,18.169,0.075,NaN,NaN
58997.403,18.530,0.126,NaN,NaN
58997.413,18.472,0.128,NaN,NaN
58999.366,NaN,NaN,17.895,0.068
58999.370,NaN,NaN,18.036,0.065
58999.375,NaN,NaN,18.014,0.065
58999.385,NaN,NaN,18.078,0.078
59001.366,NaN,NaN,18.027,0.087
59001.393,NaN,NaN,18.085,0.101
59001.398,NaN,NaN,18.224,0.130
59001.403,NaN,NaN,18.369,0.136
59007.427,NaN,NaN,18.158,0.177
59007.439,NaN,NaN,18.265,0.169
59009.419,NaN,NaN,18.194,0.125
59009.422,NaN,NaN,18.353,0.116
59009.429,NaN,NaN,18.151,0.122
59011.365,NaN,NaN,18.193,0.059
59011.368,NaN,NaN,18.225,0.067
59011.374,NaN,NaN,18.279,0.067
59011.386,NaN,NaN,18.439,0.075
59015.341,NaN,NaN,18.013,0.062
59015.345,NaN,NaN,18.069,0.061
59015.351,NaN,NaN,18.264,0.095
59015.362,NaN,NaN,18.197,0.080
59016.337,18.713,0.086,NaN,NaN
59016.340,18.581,0.111,NaN,NaN
59016.346,18.454,0.087,NaN,NaN
59016.381,18.712,0.094,NaN,NaN
59017.343,18.889,0.111,NaN,NaN
59017.346,18.434,0.069,NaN,NaN
59017.352,18.436,0.066,NaN,NaN
59017.362,18.623,0.085,NaN,NaN
59021.325,18.577,0.082,NaN,NaN
59021.328,18.657,0.081,NaN,NaN
59021.335,18.734,0.088,NaN,NaN
59021.345,18.832,0.096,NaN,NaN
59023.336,NaN,NaN,18.228,0.081
59023.339,NaN,NaN,18.404,0.101
59023.346,NaN,NaN,18.124,0.092
59023.357,NaN,NaN,18.293,0.195
59027.328,NaN,NaN,18.387,0.074
59027.331,NaN,NaN,18.233,0.066
59027.337,NaN,NaN,18.306,0.087
59027.347,NaN,NaN,18.312,0.096
59029.334,NaN,NaN,18.105,0.106
59029.338,NaN,NaN,18.135,0.110
59029.346,NaN,NaN,18.133,0.117
59029.356,NaN,NaN,18.221,0.118
59033.340,NaN,NaN,18.285,0.196
59033.343,NaN,NaN,18.161,0.128
59033.349,NaN,NaN,18.233,0.152
59037.350,NaN,NaN,18.671,0.220
59037.355,NaN,NaN,18.510,0.176
59037.359,NaN,NaN,18.069,0.139
59037.371,NaN,NaN,18.379,0.152
59039.309,NaN,NaN,18.231,0.079
59039.313,NaN,NaN,18.300,0.074
59039.319,NaN,NaN,18.303,0.069
59039.331,NaN,NaN,18.409,0.080
59041.274,18.866,0.093,NaN,NaN
59041.279,18.782,0.099,NaN,NaN
59041.284,18.821,0.101,NaN,NaN
59041.298,18.760,0.085,NaN,NaN
59043.305,NaN,NaN,18.551,0.109
59043.308,NaN,NaN,18.262,0.088
59043.314,NaN,NaN,18.161,0.071
59043.325,NaN,NaN,18.295,0.071
59047.298,NaN,NaN,18.466,0.214
59047.322,NaN,NaN,18.265,0.207
59051.297,NaN,NaN,18.552,0.109
59051.300,NaN,NaN,18.388,0.095
59051.306,NaN,NaN,18.359,0.106
59051.317,NaN,NaN,18.492,0.095
59053.289,18.960,0.121,NaN,NaN
59053.293,19.038,0.142,NaN,NaN
59053.298,19.181,0.186,NaN,NaN
59053.308,19.084,0.117,NaN,NaN
59055.276,NaN,NaN,18.319,0.090
59055.279,NaN,NaN,18.546,0.111
59055.285,NaN,NaN,18.154,0.086
59055.295,NaN,NaN,18.703,0.158
59061.257,NaN,NaN,18.114,0.168
59061.263,NaN,NaN,18.406,0.229
59061.274,NaN,NaN,18.339,0.216
59063.251,NaN,NaN,18.958,0.272
59063.255,NaN,NaN,18.566,0.170
59067.261,NaN,NaN,18.729,0.103
59067.265,NaN,NaN,18.764,0.120
59067.271,NaN,NaN,18.689,0.108
59067.282,NaN,NaN,18.579,0.116
59069.250,NaN,NaN,18.973,0.180
59069.254,NaN,NaN,18.802,0.143
59069.261,NaN,NaN,18.993,0.156
59069.271,NaN,NaN,19.098,0.138
59071.241,NaN,NaN,18.733,0.241
59071.251,NaN,NaN,18.620,0.130
59071.261,NaN,NaN,18.736,0.127
59073.246,19.251,0.293,NaN,NaN
59073.252,19.771,0.295,NaN,NaN
59073.264,19.368,0.162,NaN,NaN
59075.243,NaN,NaN,18.977,0.184
59075.265,NaN,NaN,18.957,0.166
59075.268,NaN,NaN,19.050,0.152
59075.274,NaN,NaN,18.799,0.136
59223.640,NaN,NaN,19.391,0.260
59253.570,19.541,0.246,NaN,NaN
59261.602,19.833,0.254,NaN,NaN
