MJD,c,c_err,o,o_err
58983.423,19.468,0.128,NaN,NaN
58983.425,19.006,0.103,NaN,NaN
58983.435,19.493,0.138,NaN,NaN
58983.439,19.223,0.128,NaN,NaN
58984.461,19.295,0.120,NaN,NaN
58984.465,18.864,0.096,NaN,NaN
58984.472,19.079,0.112,NaN,NaN
58984.481,19.289,0.111,NaN,NaN
58985.462,NaN,NaN,19.238,0.105
58985.465,NaN,NaN,19.415,0.128
58985.497,NaN,NaN,19.156,0.124
58985.505,NaN,NaN,19.072,0.107
58987.467,19.339,0.131,NaN,NaN
58987.470,19.430,0.141,NaN,NaN
58987.477,19.148,0.096,NaN,NaN
58987.490,19.139,0.106,NaN,NaN
58989.387,NaN,NaN,19.205,0.109
58989.390,NaN,NaN,19.419,0.140
58989.413,NaN,NaN,19.173,0.119
58989.416,NaN,NaN,19.141,0.109
58993.454,NaN,NaN,19.155,0.184
58993.465,NaN,NaN,18.634,0.148
58993.469,NaN,NaN,18.772,0.149
58993.474,NaN,NaN,18.471,0.208
58995.443,19.225,0.114,NaN,NaN
58995.446,19.039,0.099,NaN,NaN
58995.461,19.098,0.100,NaN,NaN
58995.466,18.980,0.098,NaN,NaN
58997.408,NaN,NaN,19.159,0.223
58999.338,NaN,NaN,19.087,0.129
58999.346,NaN,NaN,18.807,0.108
58999.362,NaN,NaN,18.982,0.098
58999.365,NaN,NaN,19.466,0.182
59000.457,NaN,NaN,19.128,0.165
59000.460,NaN,NaN,19.182,0.197
59000.462,NaN,NaN,19.279,0.182
59000.475,NaN,NaN,19.220,0.161
59001.423,NaN,NaN,18.878,0.156
59001.427,NaN,NaN,18.858,0.086
59001.436,NaN,NaN,18.960,0.122
59001.449,NaN,NaN,19.227,0.145
59003.410,NaN,NaN,19.196,0.196
59003.413,NaN,NaN,18.832,0.173
59003.419,NaN,NaN,18.880,0.162
59003.432,NaN,NaN,19.065,0.200
59005.367,NaN,NaN,18.922,0.170
59005.370,NaN,NaN,19.356,0.253
59005.399,NaN,NaN,19.008,0.169
59007.427,NaN,NaN,19.010,0.165
59007.436,NaN,NaN,18.771,0.154
59007.467,NaN,NaN,18.925,0.188
59009.409,NaN,NaN,19.197,0.194
59009.409,NaN,NaN,19.319,0.225
59009.419,NaN,NaN,19.221,0.193
59009.419,NaN,NaN,18.896,0.169
59009.422,NaN,NaN,19.532,0.288
59009.429,NaN,NaN,19.005,0.155
59013.389,NaN,NaN,19.288,0.133
59013.405,NaN,NaN,19.185,0.119
59013.408,NaN,NaN,19.213,0.126
59013.418,NaN,NaN,18.990,0.110
59013.437,NaN,NaN,18.783,0.104
59013.441,NaN,NaN,19.207,0.161
59013.446,NaN,NaN,19.329,0.153
59017.372,NaN,NaN,19.052,0.116
59017.383,NaN,NaN,19.277,0.124
59017.386,NaN,NaN,19.298,0.135
59017.392,NaN,NaN,18.968,0.107
59021.354,NaN,NaN,19.343,0.128
59021.358,NaN,NaN,19.188,0.137
59021.367,NaN,NaN,19.229,0.142
59021.380,NaN,NaN,19.169,0.116
59023.391,19.416,0.138,NaN,NaN
59023.394,19.334,0.131,NaN,NaN
59023.412,19.465,0.153,NaN,NaN
59023.423,19.391,0.130,NaN,NaN
59025.376,NaN,NaN,19.381,0.143
59025.379,NaN,NaN,19.231,0.118
59025.396,NaN,NaN,19.213,0.112
59025.402,NaN,NaN,19.021,0.084
59027.341,NaN,NaN,19.217,0.134
59027.344,NaN,NaN,19.163,0.153
59027.350,NaN,NaN,19.174,0.153
59027.360,NaN,NaN,19.450,0.184
59029.363,NaN,NaN,19.065,0.133
59029.386,NaN,NaN,19.390,0.161
59029.393,NaN,NaN,19.208,0.133
59031.350,NaN,NaN,19.262,0.262
59031.353,NaN,NaN,19.304,0.265
59031.360,NaN,NaN,18.892,0.167
59031.374,NaN,NaN,18.888,0.165
59033.391,NaN,NaN,19.273,0.189
59033.395,NaN,NaN,19.225,0.193
59033.417,NaN,NaN,19.015,0.165
59035.384,NaN,NaN,19.016,0.219
59035.399,NaN,NaN,18.806,0.142
59035.402,NaN,NaN,18.992,0.198
59035.407,NaN,NaN,18.717,0.159
59037.339,NaN,NaN,19.462,0.174
59037.349,NaN,NaN,19.138,0.168
59037.359,NaN,NaN,19.211,0.135
59037.362,NaN,NaN,19.354,0.198
59039.345,NaN,NaN,19.206,0.150
59039.347,NaN,NaN,18.856,0.111
59039.358,NaN,NaN,19.083,0.134
59039.364,NaN,NaN,19.296,0.185
59040.317,19.739,0.184,NaN,NaN
