MJD,c,c_err,o,o_err
58984.328,18.520,0.078,NaN,NaN
58984.331,18.667,0.093,NaN,NaN
58984.339,18.491,0.066,NaN,NaN
58984.349,18.502,0.079,NaN,NaN
58986.366,NaN,NaN,18.414,0.073
58986.370,NaN,NaN,18.348,0.081
58986.375,NaN,NaN,18.326,0.075
58986.386,NaN,NaN,18.319,0.083
58988.358,18.091,0.056,NaN,NaN
58988.361,18.092,0.059,NaN,NaN
58988.368,18.188,0.063,NaN,NaN
58988.379,18.158,0.067,NaN,NaN
58990.296,NaN,NaN,18.190,0.073
58990.299,NaN,NaN,18.163,0.075
58990.306,NaN,NaN,18.199,0.066
58990.317,NaN,NaN,18.154,0.060
58992.307,18.013,0.047,NaN,NaN
58992.310,18.037,0.056,NaN,NaN
58992.316,18.054,0.053,NaN,NaN
58992.329,18.148,0.054,NaN,NaN
58994.326,NaN,NaN,18.158,0.082
58994.329,NaN,NaN,18.144,0.068
58994.335,NaN,NaN,18.002,0.069
58994.346,NaN,NaN,18.068,0.056
58998.295,NaN,NaN,18.060,0.087
58998.299,NaN,NaN,17.980,0.104
58998.305,NaN,NaN,18.104,0.104
58998.318,NaN,NaN,18.056,0.106
59000.307,NaN,NaN,18.053,0.098
59000.310,NaN,NaN,18.137,0.099
59000.316,NaN,NaN,17.975,0.088
59000.328,NaN,NaN,18.261,0.096
59002.322,NaN,NaN,17.983,0.074
59002.325,NaN,NaN,17.943,0.061
59002.332,NaN,NaN,18.097,0.084
59002.343,NaN,NaN,17.994,0.083
59004.291,NaN,NaN,17.902,0.101
59004.294,NaN,NaN,17.938,0.089
59004.301,NaN,NaN,17.730,0.100
59004.309,NaN,NaN,18.239,0.156
59004.311,NaN,NaN,18.222,0.129
59004.312,NaN,NaN,18.126,0.174
59004.370,NaN,NaN,18.045,0.142
59004.375,NaN,NaN,18.174,0.143
59006.279,NaN,NaN,18.155,0.102
59006.282,NaN,NaN,17.889,0.098
59006.290,NaN,NaN,18.164,0.100
59006.300,NaN,NaN,17.893,0.088
59008.314,NaN,NaN,18.250,0.122
59008.317,NaN,NaN,17.890,0.080
59008.325,NaN,NaN,18.008,0.103
59010.282,NaN,NaN,18.009,0.064
59010.285,NaN,NaN,18.044,0.076
59010.291,NaN,NaN,18.144,0.062
59010.302,NaN,NaN,17.992,0.062
59011.356,18.462,0.096,NaN,NaN
59011.361,18.339,0.087,NaN,NaN
59011.382,18.098,0.077,NaN,NaN
59011.391,18.401,0.099,NaN,NaN
59014.269,NaN,NaN,18.174,0.061
59014.272,NaN,NaN,18.106,0.063
59014.278,NaN,NaN,18.078,0.067
59014.288,NaN,NaN,18.049,0.064
59015.260,18.260,0.085,NaN,NaN
59015.265,18.230,0.086,NaN,NaN
59015.268,18.504,0.091,NaN,NaN
59015.282,18.397,0.077,NaN,NaN
59018.295,NaN,NaN,18.289,0.113
59018.298,NaN,NaN,18.153,0.116
59018.304,NaN,NaN,18.154,0.076
59018.314,NaN,NaN,18.332,0.094
59020.271,18.463,0.121,NaN,NaN
59026.251,NaN,NaN,18.117,0.161
59026.255,NaN,NaN,18.351,0.174
59026.263,NaN,NaN,18.428,0.102
59026.273,NaN,NaN,18.373,0.101
59028.289,NaN,NaN,18.276,0.102
59028.292,NaN,NaN,18.235,0.083
59028.299,NaN,NaN,18.180,0.076
59028.309,NaN,NaN,18.328,0.115
59034.265,NaN,NaN,18.299,0.133
59034.269,NaN,NaN,18.291,0.122
59034.276,NaN,NaN,18.340,0.149
59034.286,NaN,NaN,18.560,0.179
59036.253,NaN,NaN,18.889,0.234
59036.259,NaN,NaN,18.263,0.095
59036.262,NaN,NaN,18.612,0.146
59036.269,NaN,NaN,18.153,0.107
59036.274,NaN,NaN,18.213,0.125
59036.274,NaN,NaN,18.351,0.126
59036.280,NaN,NaN,18.549,0.163
59036.291,NaN,NaN,18.369,0.167
59044.268,18.933,0.121,NaN,NaN
59044.271,19.031,0.163,NaN,NaN
59044.278,19.232,0.180,NaN,NaN
59044.288,18.846,0.113,NaN,NaN
59228.582,20.096,0.284,NaN,NaN
59252.594,NaN,NaN,19.954,0.281
59258.485,20.216,0.300,NaN,NaN
