MJD,c,c_err,o,o_err
59014.413,NaN,NaN,19.709,0.286
59014.416,NaN,NaN,19.733,0.247
59015.444,19.758,0.190,NaN,NaN
59015.446,19.664,0.196,NaN,NaN
59015.452,19.718,0.162,NaN,NaN
59015.475,19.921,0.179,NaN,NaN
59018.436,NaN,NaN,19.403,0.190
59018.438,NaN,NaN,19.409,0.207
59018.441,NaN,NaN,19.396,0.209
59018.446,NaN,NaN,19.857,0.253
59020.449,19.217,0.156,NaN,NaN
59020.451,19.440,0.289,NaN,NaN
59020.456,19.241,0.275,NaN,NaN
59020.461,19.112,0.240,NaN,NaN
59026.417,NaN,NaN,19.265,0.130
59026.420,NaN,NaN,19.541,0.193
59026.424,NaN,NaN,19.616,0.279
59026.425,NaN,NaN,19.327,0.150
59026.431,NaN,NaN,19.486,0.177
59026.432,NaN,NaN,19.391,0.170
59028.473,19.229,0.112,NaN,NaN
59028.476,19.277,0.123,NaN,NaN
59028.509,19.670,0.188,NaN,NaN
59028.515,19.228,0.114,NaN,NaN
59030.403,NaN,NaN,19.377,0.183
59030.407,NaN,NaN,19.134,0.184
59030.410,NaN,NaN,19.368,0.182
59032.420,NaN,NaN,19.482,0.276
59032.423,NaN,NaN,19.305,0.230
59032.429,NaN,NaN,19.305,0.230
59032.434,NaN,NaN,19.392,0.269
59034.446,NaN,NaN,18.958,0.169
59034.480,NaN,NaN,19.455,0.295
59034.482,NaN,NaN,19.070,0.260
59036.441,NaN,NaN,19.296,0.185
59036.474,NaN,NaN,19.274,0.193
59036.477,NaN,NaN,19.178,0.209
59036.484,NaN,NaN,19.537,0.284
59038.391,NaN,NaN,19.296,0.176
59038.394,NaN,NaN,19.476,0.224
59038.399,NaN,NaN,19.292,0.211
59038.425,NaN,NaN,19.250,0.191
59042.452,NaN,NaN,18.837,0.240
59042.519,NaN,NaN,19.555,0.216
59046.401,NaN,NaN,18.660,0.251
59048.473,19.947,0.222,NaN,NaN
59048.476,19.790,0.179,NaN,NaN
59048.506,19.877,0.181,NaN,NaN
59048.515,19.821,0.202,NaN,NaN
59050.390,NaN,NaN,19.421,0.129
59050.393,NaN,NaN,19.750,0.207
59050.399,NaN,NaN,19.330,0.147
59050.409,NaN,NaN,19.544,0.161
59054.373,NaN,NaN,19.275,0.125
59054.377,NaN,NaN,19.434,0.146
59054.383,NaN,NaN,19.638,0.199
59054.395,NaN,NaN,19.201,0.128
59058.389,NaN,NaN,19.286,0.196
59058.393,NaN,NaN,19.503,0.214
59058.399,NaN,NaN,19.310,0.202
59058.411,NaN,NaN,19.497,0.238
59060.372,NaN,NaN,18.970,0.164
59060.376,NaN,NaN,19.539,0.296
59060.391,NaN,NaN,19.334,0.255
59062.390,NaN,NaN,19.498,0.249
59062.397,NaN,NaN,19.542,0.273
59064.382,NaN,NaN,19.111,0.296
59068.403,NaN,NaN,19.398,0.240
59068.407,NaN,NaN,19.073,0.168
59070.340,NaN,NaN,19.487,0.187
59070.344,NaN,NaN,19.879,0.237
59074.392,NaN,NaN,19.675,0.180
59074.396,NaN,NaN,19.572,0.163
59074.403,NaN,NaN,19.775,0.211
59074.414,NaN,NaN,19.921,0.237
59076.397,20.244,0.287,NaN,NaN
59076.406,20.061,0.239,NaN,NaN
59078.334,NaN,NaN,20.088,0.275
59078.338,NaN,NaN,19.557,0.205
59078.345,NaN,NaN,19.455,0.168
59078.355,NaN,NaN,20.005,0.269
59080.361,19.740,0.166,NaN,NaN
59082.377,NaN,NaN,19.896,0.247
59082.383,NaN,NaN,19.748,0.168
59082.394,NaN,NaN,19.566,0.167
59084.373,20.040,0.289,NaN,NaN
59084.376,19.794,0.297,NaN,NaN
59086.315,NaN,NaN,19.874,0.230
59086.318,NaN,NaN,19.914,0.300
59086.324,NaN,NaN,19.596,0.189
59088.326,NaN,NaN,19.431,0.283
59088.327,NaN,NaN,19.382,0.203
59088.344,NaN,NaN,19.207,0.179
59088.345,NaN,NaN,19.760,0.226
59090.324,NaN,NaN,19.332,0.233
59090.340,NaN,NaN,19.606,0.242
59092.349,NaN,NaN,19.407,0.270
59094.308,NaN,NaN,19.040,0.256
59096.307,NaN,NaN,19.559,0.237
59098.322,NaN,NaN,19.634,0.237
59098.332,NaN,NaN,19.512,0.203
59098.342,NaN,NaN,19.690,0.243
59102.288,NaN,NaN,19.866,0.211
59102.292,NaN,NaN,19.634,0.152
59102.308,NaN,NaN,20.056,0.298
59104.356,20.073,0.279,NaN,NaN
59104.360,19.851,0.220,NaN,NaN
59104.366,20.064,0.253,NaN,NaN
59106.320,NaN,NaN,19.688,0.204
59106.323,NaN,NaN,19.251,0.122
59106.329,NaN,NaN,19.522,0.166
59108.346,20.220,0.291,NaN,NaN
59110.288,NaN,NaN,19.902,0.228
59114.286,NaN,NaN,20.007,0.237
59114.290,NaN,NaN,19.925,0.219
59114.307,NaN,NaN,19.698,0.168
59118.266,NaN,NaN,19.585,0.234
59118.273,NaN,NaN,19.277,0.190
59122.309,NaN,NaN,19.359,0.237
59126.257,NaN,NaN,19.226,0.278
59126.269,NaN,NaN,19.656,0.243
59130.316,NaN,NaN,20.024,0.244
59130.327,NaN,NaN,19.986,0.224
59134.299,NaN,NaN,19.676,0.200
59138.293,NaN,NaN,19.934,0.263
59146.276,NaN,NaN,19.651,0.258
59292.564,20.129,0.260,NaN,NaN
