MJD,c,c_err,o,o_err
59030.329,NaN,NaN,18.931,0.162
59030.333,NaN,NaN,19.166,0.190
59030.351,NaN,NaN,18.612,0.119
59032.348,NaN,NaN,17.557,0.064
59036.349,NaN,NaN,17.621,0.072
59036.352,NaN,NaN,17.515,0.062
59036.358,NaN,NaN,17.531,0.060
59036.368,NaN,NaN,17.426,0.052
59038.316,NaN,NaN,17.465,0.039
59040.310,17.336,0.029,NaN,NaN
59042.316,NaN,NaN,17.481,0.052
59044.337,17.549,0.033,NaN,NaN
59046.320,NaN,NaN,17.679,0.091
59048.315,17.690,0.041,NaN,NaN
59048.320,17.750,0.034,NaN,NaN
59048.332,17.652,0.039,NaN,NaN
59054.301,NaN,NaN,17.681,0.044
59060.292,NaN,NaN,17.730,0.056
59060.295,NaN,NaN,17.900,0.074
59062.293,NaN,NaN,17.970,0.096
59064.265,NaN,NaN,17.848,0.090
59064.268,NaN,NaN,18.001,0.084
59064.276,NaN,NaN,17.796,0.100
59064.288,NaN,NaN,17.873,0.081
59068.321,NaN,NaN,17.974,0.098
59068.331,NaN,NaN,17.984,0.076
59068.337,NaN,NaN,17.870,0.071
59072.249,18.204,0.087,NaN,NaN
59072.252,18.256,0.068,NaN,NaN
59072.259,18.093,0.056,NaN,NaN
59072.270,18.053,0.060,NaN,NaN
59076.266,18.424,0.131,NaN,NaN
59076.277,18.249,0.106,NaN,NaN
59080.238,18.456,0.185,NaN,NaN
59080.242,18.189,0.096,NaN,NaN
59080.247,18.189,0.069,NaN,NaN
59080.258,18.228,0.067,NaN,NaN
59082.274,NaN,NaN,18.229,0.075
59082.295,NaN,NaN,18.004,0.051
59084.238,NaN,NaN,18.147,0.106
59084.251,NaN,NaN,18.121,0.084
59084.257,NaN,NaN,18.207,0.089
59086.238,NaN,NaN,18.296,0.092
59086.249,NaN,NaN,18.098,0.077
59088.234,NaN,NaN,18.099,0.125
59088.255,NaN,NaN,18.209,0.090
59090.230,NaN,NaN,18.106,0.189
59090.234,NaN,NaN,18.192,0.124
59090.244,NaN,NaN,18.254,0.120
59090.255,NaN,NaN,17.983,0.082
59092.248,NaN,NaN,18.155,0.117
59092.259,NaN,NaN,18.147,0.129
59092.275,NaN,NaN,17.792,0.097
59104.224,18.594,0.258,NaN,NaN
59108.229,19.104,0.164,NaN,NaN
59122.216,NaN,NaN,18.910,0.280
59122.219,NaN,NaN,18.700,0.189
59122.231,NaN,NaN,18.614,0.211
59130.211,NaN,NaN,18.913,0.188
59130.214,NaN,NaN,19.022,0.199
59130.220,NaN,NaN,18.826,0.143
59130.230,NaN,NaN,18.849,0.153
59258.600,20.259,0.282,NaN,NaN
59269.507,NaN,NaN,19.303,0.293
59314.491,19.576,0.261,NaN,NaN
