MJD,c,c_err,o,o_err
59034.598,NaN,NaN,18.627,0.221
59034.608,NaN,NaN,18.409,0.189
59036.540,NaN,NaN,18.146,0.188
59036.542,NaN,NaN,17.840,0.116
59036.545,NaN,NaN,18.249,0.152
59036.556,NaN,NaN,18.117,0.161
59036.572,NaN,NaN,18.285,0.207
59036.586,NaN,NaN,17.773,0.133
59036.603,NaN,NaN,17.968,0.171
59038.567,NaN,NaN,17.838,0.101
59038.574,NaN,NaN,18.103,0.130
59038.577,NaN,NaN,18.021,0.140
59038.598,NaN,NaN,18.294,0.190
59048.564,18.053,0.065,NaN,NaN
59048.567,18.118,0.060,NaN,NaN
59048.571,18.200,0.083,NaN,NaN
59048.576,18.061,0.060,NaN,NaN
59050.474,NaN,NaN,17.896,0.054
59050.477,NaN,NaN,17.834,0.053
59050.483,NaN,NaN,17.720,0.045
59050.493,NaN,NaN,17.848,0.051
59054.604,NaN,NaN,18.023,0.072
59054.610,NaN,NaN,18.338,0.113
59054.615,NaN,NaN,17.896,0.085
59058.548,NaN,NaN,18.034,0.067
59058.552,NaN,NaN,18.094,0.074
59058.557,NaN,NaN,17.894,0.062
59058.568,NaN,NaN,17.887,0.063
59062.542,NaN,NaN,17.845,0.084
59062.545,NaN,NaN,17.945,0.098
59062.555,NaN,NaN,18.154,0.109
59062.555,NaN,NaN,17.987,0.098
59062.558,NaN,NaN,17.845,0.096
59062.560,NaN,NaN,18.277,0.157
59062.564,NaN,NaN,18.068,0.123
59062.574,NaN,NaN,17.913,0.079
59064.548,NaN,NaN,17.994,0.155
59064.551,NaN,NaN,17.971,0.131
59064.578,NaN,NaN,17.932,0.163
59064.581,NaN,NaN,17.860,0.140
59068.560,NaN,NaN,18.260,0.142
59068.562,NaN,NaN,18.182,0.105
59068.565,NaN,NaN,17.980,0.092
59068.570,NaN,NaN,17.742,0.065
59068.608,NaN,NaN,17.789,0.072
59068.615,NaN,NaN,18.039,0.099
59068.620,NaN,NaN,18.279,0.127
59068.628,NaN,NaN,18.095,0.153
59070.486,NaN,NaN,18.114,0.099
59070.490,NaN,NaN,18.201,0.093
59070.495,NaN,NaN,18.227,0.101
59070.506,NaN,NaN,18.075,0.091
59072.527,NaN,NaN,17.880,0.084
59072.529,NaN,NaN,18.205,0.103
59072.542,NaN,NaN,17.988,0.086
59072.549,NaN,NaN,17.923,0.087
59072.601,NaN,NaN,18.148,0.101
59072.608,NaN,NaN,18.139,0.100
59072.624,NaN,NaN,18.082,0.109
59072.630,NaN,NaN,17.918,0.126
59074.572,NaN,NaN,18.134,0.079
59074.576,NaN,NaN,17.967,0.060
59074.581,NaN,NaN,17.961,0.066
59074.599,NaN,NaN,18.035,0.071
59074.621,NaN,NaN,18.163,0.075
59076.592,NaN,NaN,17.913,0.075
59076.594,NaN,NaN,17.923,0.063
59076.596,NaN,NaN,17.888,0.073
59076.611,NaN,NaN,18.162,0.092
59076.615,NaN,NaN,17.939,0.073
59076.620,NaN,NaN,18.009,0.079
59076.631,NaN,NaN,17.763,0.125
59078.446,NaN,NaN,17.899,0.065
59078.450,NaN,NaN,17.985,0.062
59078.455,NaN,NaN,17.982,0.069
59078.470,NaN,NaN,17.964,0.069
59078.544,NaN,NaN,18.262,0.076
59078.550,NaN,NaN,17.985,0.065
59078.560,NaN,NaN,18.152,0.086
59080.454,18.609,0.097,NaN,NaN
59080.457,18.478,0.086,NaN,NaN
59080.479,18.626,0.117,NaN,NaN
59080.485,18.652,0.105,NaN,NaN
59082.458,NaN,NaN,18.010,0.082
59082.461,NaN,NaN,18.533,0.132
59082.468,NaN,NaN,17.962,0.077
59082.479,NaN,NaN,18.172,0.102
59082.608,NaN,NaN,18.070,0.101
59082.613,NaN,NaN,17.894,0.086
59082.618,NaN,NaN,18.173,0.098
59082.631,NaN,NaN,18.119,0.179
59084.486,18.406,0.125,NaN,NaN
59084.489,18.051,0.134,NaN,NaN
59084.495,18.608,0.136,NaN,NaN
59084.505,18.727,0.196,NaN,NaN
59084.589,18.521,0.108,NaN,NaN
59084.596,18.354,0.092,NaN,NaN
59084.614,18.433,0.098,NaN,NaN
59084.615,18.510,0.113,NaN,NaN
59086.423,NaN,NaN,17.811,0.053
59086.427,NaN,NaN,18.099,0.073
59086.432,NaN,NaN,18.012,0.066
59086.443,NaN,NaN,17.977,0.070
59086.469,NaN,NaN,18.014,0.071
59086.477,NaN,NaN,17.970,0.058
59086.487,NaN,NaN,17.991,0.060
59088.389,NaN,NaN,17.943,0.121
59088.401,NaN,NaN,17.960,0.115
59090.585,NaN,NaN,18.184,0.091
59090.595,NaN,NaN,18.141,0.095
59090.601,NaN,NaN,18.105,0.100
59092.593,NaN,NaN,17.979,0.103
59096.434,NaN,NaN,17.963,0.098
59096.437,NaN,NaN,18.038,0.114
59096.442,NaN,NaN,18.118,0.131
59096.448,NaN,NaN,18.070,0.139
59096.449,NaN,NaN,17.942,0.113
59096.451,NaN,NaN,18.402,0.199
59096.457,NaN,NaN,18.359,0.185
59096.464,NaN,NaN,17.903,0.102
59096.531,NaN,NaN,18.081,0.110
59096.535,NaN,NaN,17.932,0.111
59096.538,NaN,NaN,18.243,0.128
59096.543,NaN,NaN,17.953,0.126
59100.613,NaN,NaN,18.202,0.118
59100.614,NaN,NaN,18.347,0.138
59100.631,NaN,NaN,18.079,0.130
59100.631,NaN,NaN,17.899,0.123
59100.634,NaN,NaN,18.181,0.192
59100.634,NaN,NaN,17.886,0.137
59104.467,NaN,NaN,18.055,0.081
59104.470,NaN,NaN,18.041,0.079
59104.474,NaN,NaN,17.989,0.066
59104.475,NaN,NaN,17.829,0.068
59104.478,NaN,NaN,18.132,0.083
59104.484,NaN,NaN,18.007,0.070
59104.486,NaN,NaN,17.958,0.080
59104.495,NaN,NaN,18.069,0.089
59104.576,NaN,NaN,17.979,0.071
59104.603,NaN,NaN,17.929,0.077
59104.628,NaN,NaN,17.989,0.088
59106.460,NaN,NaN,18.088,0.054
59106.464,NaN,NaN,18.120,0.070
59106.470,NaN,NaN,18.219,0.066
59106.500,NaN,NaN,18.021,0.063
59106.504,NaN,NaN,18.086,0.069
59106.539,NaN,NaN,17.991,0.063
59106.555,NaN,NaN,18.061,0.066
59106.558,NaN,NaN,18.049,0.063
59106.564,NaN,NaN,18.277,0.083
59106.568,NaN,NaN,18.044,0.059
59106.574,NaN,NaN,17.965,0.065
59108.574,18.814,0.135,NaN,NaN
59108.574,18.587,0.123,NaN,NaN
59108.602,18.591,0.094,NaN,NaN
59108.602,18.700,0.128,NaN,NaN
59108.605,18.483,0.095,NaN,NaN
59108.608,18.652,0.113,NaN,NaN
59108.627,18.577,0.120,NaN,NaN
