MJD,c,c_err,o,o_err
59038.545,NaN,NaN,19.342,0.291
59038.549,NaN,NaN,19.181,0.242
59038.570,NaN,NaN,19.262,0.286
59040.590,NaN,NaN,18.899,0.148
59040.596,NaN,NaN,19.153,0.197
59040.609,NaN,NaN,19.318,0.234
59040.615,NaN,NaN,18.854,0.163
59044.575,NaN,NaN,19.081,0.248
59044.598,NaN,NaN,19.136,0.174
59048.577,NaN,NaN,19.119,0.147
59048.580,NaN,NaN,19.609,0.203
59048.588,NaN,NaN,19.299,0.164
59048.607,NaN,NaN,19.225,0.119
59050.575,19.129,0.121,NaN,NaN
59050.578,19.167,0.145,NaN,NaN
59050.586,19.652,0.189,NaN,NaN
59050.606,18.814,0.096,NaN,NaN
59052.582,NaN,NaN,19.326,0.147
59052.605,NaN,NaN,19.373,0.154
59052.612,NaN,NaN,19.139,0.117
59058.524,19.568,0.170,NaN,NaN
59058.528,19.373,0.162,NaN,NaN
59058.534,19.241,0.139,NaN,NaN
59058.544,19.314,0.171,NaN,NaN
59060.506,NaN,NaN,19.039,0.127
59060.507,NaN,NaN,19.240,0.180
59060.523,NaN,NaN,19.208,0.140
59061.558,NaN,NaN,19.794,0.224
59061.560,NaN,NaN,19.255,0.152
59061.563,NaN,NaN,19.241,0.146
59061.574,NaN,NaN,19.269,0.134
59062.511,NaN,NaN,18.979,0.180
59064.558,NaN,NaN,18.662,0.152
59064.561,NaN,NaN,19.331,0.249
59074.560,NaN,NaN,19.619,0.262
59074.566,NaN,NaN,19.501,0.199
59074.570,NaN,NaN,19.257,0.161
59076.507,NaN,NaN,19.033,0.112
59076.514,NaN,NaN,19.211,0.129
59076.538,NaN,NaN,19.125,0.134
59078.496,19.855,0.267,NaN,NaN
59078.501,19.711,0.201,NaN,NaN
59078.506,19.818,0.224,NaN,NaN
59078.517,19.986,0.226,NaN,NaN
59080.511,NaN,NaN,19.612,0.207
59080.522,NaN,NaN,19.244,0.187
59082.510,19.757,0.214,NaN,NaN
59082.527,19.714,0.203,NaN,NaN
59084.486,NaN,NaN,19.851,0.221
59084.495,NaN,NaN,19.426,0.134
59084.499,NaN,NaN,19.524,0.177
59084.509,NaN,NaN,19.501,0.181
59086.495,19.746,0.229,NaN,NaN
59086.498,19.725,0.201,NaN,NaN
59086.502,19.672,0.235,NaN,NaN
59086.508,19.611,0.227,NaN,NaN
59088.522,NaN,NaN,19.968,0.274
59090.508,NaN,NaN,19.518,0.216
59090.510,NaN,NaN,19.477,0.230
59090.516,NaN,NaN,19.819,0.238
59090.528,NaN,NaN,19.717,0.273
59100.437,NaN,NaN,19.274,0.217
59100.466,NaN,NaN,19.540,0.227
59100.469,NaN,NaN,19.335,0.195
59102.454,NaN,NaN,19.519,0.179
59102.467,NaN,NaN,19.678,0.278
59104.461,NaN,NaN,20.056,0.272
59104.464,NaN,NaN,19.409,0.151
59104.466,NaN,NaN,19.767,0.233
59104.470,NaN,NaN,19.545,0.201
59104.493,NaN,NaN,19.854,0.275
59104.498,NaN,NaN,19.841,0.233
59106.463,20.170,0.261,NaN,NaN
59106.465,19.718,0.169,NaN,NaN
59108.412,NaN,NaN,19.160,0.143
59108.424,NaN,NaN,19.900,0.242
59108.429,NaN,NaN,19.711,0.247
59108.447,NaN,NaN,19.817,0.253
59108.452,NaN,NaN,19.582,0.186
59110.448,19.985,0.239,NaN,NaN
59110.452,20.041,0.277,NaN,NaN
59112.436,NaN,NaN,19.548,0.199
