MJD,c,c_err,o,o_err
59043.574,NaN,NaN,19.157,0.141
59043.576,NaN,NaN,19.338,0.173
59043.581,NaN,NaN,19.300,0.166
59043.587,NaN,NaN,19.032,0.127
59047.539,17.840,0.039,NaN,NaN
59047.540,17.754,0.035,NaN,NaN
59047.543,17.813,0.040,NaN,NaN
59047.568,17.851,0.040,NaN,NaN
59051.538,17.633,0.032,NaN,NaN
59051.558,17.693,0.035,NaN,NaN
59051.560,17.676,0.037,NaN,NaN
59051.565,17.591,0.033,NaN,NaN
59053.515,NaN,NaN,17.711,0.034
59053.518,NaN,NaN,17.665,0.030
59053.523,NaN,NaN,17.711,0.034
59053.534,NaN,NaN,17.718,0.035
59059.533,17.835,0.036,NaN,NaN
59059.534,17.760,0.031,NaN,NaN
59059.538,17.861,0.039,NaN,NaN
59059.544,17.839,0.031,NaN,NaN
59059.629,17.865,0.133,NaN,NaN
59061.482,NaN,NaN,17.839,0.045
59061.485,NaN,NaN,17.822,0.049
59061.489,NaN,NaN,17.753,0.050
59061.495,NaN,NaN,17.751,0.049
59065.491,NaN,NaN,17.732,0.057
59065.493,NaN,NaN,17.967,0.072
59065.496,NaN,NaN,17.777,0.067
59065.501,NaN,NaN,17.896,0.072
59069.491,NaN,NaN,17.834,0.059
59069.494,NaN,NaN,17.905,0.052
59069.500,NaN,NaN,17.899,0.061
59069.505,NaN,NaN,17.865,0.063
59071.497,NaN,NaN,17.918,0.052
59071.501,NaN,NaN,17.977,0.052
59071.503,NaN,NaN,17.916,0.051
59071.510,NaN,NaN,17.909,0.059
59073.604,NaN,NaN,18.017,0.071
59073.613,NaN,NaN,17.925,0.038
59073.625,NaN,NaN,17.821,0.055
59073.628,NaN,NaN,18.112,0.070
59075.534,NaN,NaN,17.964,0.041
59075.537,NaN,NaN,17.921,0.048
59075.569,NaN,NaN,17.960,0.051
59075.576,NaN,NaN,18.009,0.049
59077.500,NaN,NaN,18.076,0.043
59077.505,NaN,NaN,18.075,0.048
59077.508,NaN,NaN,17.958,0.038
59077.528,NaN,NaN,18.034,0.035
59079.479,18.235,0.045,NaN,NaN
59079.486,18.280,0.051,NaN,NaN
59079.489,18.397,0.062,NaN,NaN
59079.496,18.290,0.051,NaN,NaN
59083.432,18.436,0.056,NaN,NaN
59083.433,18.295,0.060,NaN,NaN
59083.436,18.490,0.054,NaN,NaN
59083.459,18.319,0.053,NaN,NaN
59085.430,NaN,NaN,18.250,0.074
59085.447,NaN,NaN,18.335,0.103
59085.448,NaN,NaN,18.141,0.077
59085.456,NaN,NaN,18.097,0.065
59087.453,18.409,0.064,NaN,NaN
59087.454,18.407,0.059,NaN,NaN
59087.458,18.472,0.060,NaN,NaN
59087.464,18.483,0.064,NaN,NaN
59089.523,NaN,NaN,18.116,0.038
59089.526,NaN,NaN,18.235,0.052
59089.552,NaN,NaN,18.155,0.059
59089.578,NaN,NaN,18.231,0.055
59093.420,NaN,NaN,18.149,0.099
59093.427,NaN,NaN,18.657,0.191
59093.429,NaN,NaN,18.298,0.121
59093.434,NaN,NaN,18.357,0.120
59095.425,NaN,NaN,17.964,0.125
59095.428,NaN,NaN,18.189,0.168
59095.432,NaN,NaN,18.332,0.186
59095.437,NaN,NaN,18.409,0.246
59101.414,NaN,NaN,18.270,0.049
59101.416,NaN,NaN,18.267,0.054
59101.422,NaN,NaN,18.342,0.076
59101.447,NaN,NaN,18.302,0.056
59103.503,NaN,NaN,18.366,0.064
59103.506,NaN,NaN,18.363,0.063
59103.512,NaN,NaN,18.338,0.066
59103.530,NaN,NaN,18.386,0.065
59105.455,NaN,NaN,18.242,0.085
59105.458,NaN,NaN,18.345,0.123
59105.464,NaN,NaN,18.387,0.137
59105.475,NaN,NaN,18.285,0.062
59107.469,19.024,0.113,NaN,NaN
59107.473,18.994,0.120,NaN,NaN
59107.480,18.847,0.103,NaN,NaN
59107.490,18.884,0.109,NaN,NaN
59109.359,NaN,NaN,18.512,0.068
59109.362,NaN,NaN,18.360,0.066
59109.374,NaN,NaN,18.374,0.069
59109.398,NaN,NaN,18.414,0.083
59111.389,19.074,0.206,NaN,NaN
59111.393,18.846,0.214,NaN,NaN
59111.395,18.752,0.171,NaN,NaN
59113.432,NaN,NaN,18.299,0.111
59113.439,NaN,NaN,18.376,0.086
59113.443,NaN,NaN,18.639,0.105
59113.454,NaN,NaN,18.503,0.095
59115.495,19.023,0.116,NaN,NaN
59115.498,18.822,0.084,NaN,NaN
59115.504,18.775,0.080,NaN,NaN
59115.515,18.962,0.101,NaN,NaN
59117.349,NaN,NaN,18.506,0.089
59117.352,NaN,NaN,18.575,0.092
59117.358,NaN,NaN,18.583,0.087
59117.372,NaN,NaN,18.670,0.092
59119.370,NaN,NaN,18.634,0.115
59119.372,NaN,NaN,18.581,0.102
59119.374,NaN,NaN,18.731,0.102
59119.380,NaN,NaN,18.492,0.097
59121.408,NaN,NaN,18.650,0.141
