MJD,c,c_err,o,o_err
59072.571,NaN,NaN,18.958,0.153
59072.575,NaN,NaN,18.796,0.124
59072.581,NaN,NaN,18.962,0.136
59072.616,NaN,NaN,18.645,0.103
59074.588,NaN,NaN,18.777,0.105
59074.592,NaN,NaN,18.775,0.086
59074.597,NaN,NaN,18.923,0.108
59074.612,NaN,NaN,18.861,0.096
59076.494,NaN,NaN,18.914,0.095
59076.498,NaN,NaN,18.964,0.111
59076.503,NaN,NaN,19.077,0.090
59076.514,NaN,NaN,18.790,0.095
59078.509,19.055,0.115,NaN,NaN
59078.515,19.217,0.117,NaN,NaN
59078.518,19.064,0.115,NaN,NaN
59078.528,19.098,0.099,NaN,NaN
59080.445,NaN,NaN,18.986,0.130
59080.475,NaN,NaN,19.078,0.108
59080.481,NaN,NaN,19.091,0.126
59080.489,NaN,NaN,19.127,0.118
59082.504,18.947,0.110,NaN,NaN
59082.512,19.192,0.119,NaN,NaN
59082.515,19.239,0.137,NaN,NaN
59082.520,19.137,0.127,NaN,NaN
59084.465,NaN,NaN,18.874,0.095
59084.470,NaN,NaN,19.072,0.098
59084.480,NaN,NaN,19.058,0.115
59084.495,NaN,NaN,18.956,0.099
59086.483,19.263,0.157,NaN,NaN
59086.486,19.250,0.120,NaN,NaN
59086.491,19.253,0.130,NaN,NaN
59086.497,19.205,0.134,NaN,NaN
59088.484,NaN,NaN,19.007,0.123
59088.486,NaN,NaN,19.094,0.126
59088.489,NaN,NaN,18.998,0.133
59088.495,NaN,NaN,19.197,0.122
59090.499,NaN,NaN,19.431,0.206
59090.505,NaN,NaN,19.480,0.201
59090.507,NaN,NaN,19.051,0.171
59090.514,NaN,NaN,19.127,0.157
59092.445,NaN,NaN,19.197,0.300
59092.449,NaN,NaN,19.010,0.283
59092.459,NaN,NaN,18.652,0.179
59100.413,NaN,NaN,19.514,0.231
59100.415,NaN,NaN,19.254,0.176
59100.426,NaN,NaN,19.301,0.186
59100.435,NaN,NaN,19.077,0.135
59101.449,NaN,NaN,19.096,0.147
59101.451,NaN,NaN,18.960,0.118
59101.453,NaN,NaN,19.126,0.141
59101.458,NaN,NaN,19.189,0.185
59102.458,NaN,NaN,19.328,0.163
59102.461,NaN,NaN,19.332,0.188
59102.464,NaN,NaN,19.463,0.162
59102.486,NaN,NaN,19.432,0.257
59104.448,NaN,NaN,19.409,0.143
59104.458,NaN,NaN,19.394,0.145
59104.460,NaN,NaN,19.272,0.110
59104.469,NaN,NaN,19.162,0.130
59105.431,19.865,0.252,NaN,NaN
59105.434,19.579,0.181,NaN,NaN
59105.440,19.577,0.186,NaN,NaN
59105.475,19.584,0.140,NaN,NaN
59106.502,18.746,0.143,NaN,NaN
59106.505,19.819,0.212,NaN,NaN
59106.540,20.088,0.260,NaN,NaN
59106.569,19.674,0.181,NaN,NaN
59108.477,NaN,NaN,19.459,0.154
59108.481,NaN,NaN,19.073,0.120
59108.508,NaN,NaN,19.182,0.143
59108.537,NaN,NaN,19.615,0.193
59110.395,19.692,0.188,NaN,NaN
59110.406,19.806,0.216,NaN,NaN
59110.433,19.547,0.163,NaN,NaN
59112.423,NaN,NaN,19.159,0.128
59112.425,NaN,NaN,19.013,0.089
59112.429,NaN,NaN,19.457,0.177
59112.439,NaN,NaN,19.354,0.158
59114.431,19.824,0.225,NaN,NaN
59114.433,19.486,0.194,NaN,NaN
59114.439,19.421,0.181,NaN,NaN
59114.444,20.013,0.296,NaN,NaN
59120.382,NaN,NaN,19.267,0.270
59120.404,NaN,NaN,19.490,0.282
59120.409,NaN,NaN,18.997,0.222
