MJD,c,c_err,o,o_err
59078.573,18.556,0.081,NaN,NaN
59078.576,19.003,0.097,NaN,NaN
59078.583,18.853,0.081,NaN,NaN
59078.594,19.038,0.100,NaN,NaN
59080.568,NaN,NaN,17.750,0.044
59080.572,NaN,NaN,17.809,0.038
59080.582,NaN,NaN,17.754,0.040
59080.592,NaN,NaN,17.976,0.051
59082.558,17.343,0.029,NaN,NaN
59082.561,17.260,0.023,NaN,NaN
59082.577,17.405,0.028,NaN,NaN
59084.570,NaN,NaN,17.198,0.024
59084.573,NaN,NaN,17.256,0.025
59084.580,NaN,NaN,17.243,0.026
59084.591,NaN,NaN,17.205,0.026
59086.577,17.250,0.022,NaN,NaN
59086.580,17.142,0.021,NaN,NaN
59086.586,17.115,0.022,NaN,NaN
59088.569,NaN,NaN,17.178,0.026
59088.576,NaN,NaN,17.147,0.024
59088.580,NaN,NaN,17.221,0.025
59090.560,NaN,NaN,17.076,0.024
59090.564,NaN,NaN,17.149,0.025
59090.570,NaN,NaN,17.197,0.027
59090.580,NaN,NaN,17.140,0.023
59091.560,NaN,NaN,17.154,0.032
59091.563,NaN,NaN,17.175,0.035
59091.569,NaN,NaN,16.974,0.038
59091.580,NaN,NaN,17.153,0.036
59092.576,NaN,NaN,17.232,0.033
59092.579,NaN,NaN,17.166,0.033
59092.587,NaN,NaN,17.237,0.032
59092.600,NaN,NaN,17.228,0.039
59094.501,NaN,NaN,17.244,0.075
59094.511,NaN,NaN,17.100,0.052
59096.542,NaN,NaN,17.224,0.045
59096.545,NaN,NaN,17.282,0.049
59096.551,NaN,NaN,17.192,0.044
59096.561,NaN,NaN,17.328,0.046
59100.543,NaN,NaN,17.182,0.034
59100.545,NaN,NaN,17.202,0.033
59100.549,NaN,NaN,17.225,0.039
59100.559,NaN,NaN,17.242,0.037
59102.558,NaN,NaN,17.308,0.035
59102.561,NaN,NaN,17.217,0.032
59102.564,NaN,NaN,17.363,0.035
59102.569,NaN,NaN,17.261,0.032
59104.546,NaN,NaN,17.322,0.026
59104.549,NaN,NaN,17.314,0.028
59106.548,17.744,0.036,NaN,NaN
59106.550,17.637,0.031,NaN,NaN
59106.552,17.577,0.029,NaN,NaN
59106.557,17.750,0.034,NaN,NaN
59108.498,NaN,NaN,17.315,0.027
59109.500,17.680,0.032,NaN,NaN
59109.534,17.744,0.030,NaN,NaN
59110.529,17.821,0.035,NaN,NaN
59110.531,17.740,0.035,NaN,NaN
59110.537,17.797,0.038,NaN,NaN
59112.506,NaN,NaN,17.413,0.033
59112.514,NaN,NaN,17.434,0.032
59112.523,NaN,NaN,17.321,0.030
