MJD,c,c_err,o,o_err
59071.572,NaN,NaN,19.424,0.278
59073.588,NaN,NaN,18.814,0.105
59073.591,NaN,NaN,19.084,0.157
59073.617,NaN,NaN,19.025,0.114
59073.620,NaN,NaN,19.139,0.155
59075.580,NaN,NaN,18.829,0.100
59075.592,NaN,NaN,19.252,0.187
59075.595,NaN,NaN,18.729,0.126
59075.611,NaN,NaN,19.453,0.165
59077.577,NaN,NaN,19.003,0.083
59077.582,NaN,NaN,18.866,0.082
59077.585,NaN,NaN,19.035,0.090
59077.596,NaN,NaN,18.781,0.072
59079.565,19.250,0.121,NaN,NaN
59079.566,19.123,0.117,NaN,NaN
59083.528,19.090,0.115,NaN,NaN
59083.531,19.374,0.124,NaN,NaN
59083.543,19.399,0.139,NaN,NaN
59083.548,19.083,0.123,NaN,NaN
59085.504,NaN,NaN,19.272,0.186
59085.507,NaN,NaN,18.717,0.118
59085.514,NaN,NaN,19.502,0.205
59085.523,NaN,NaN,18.710,0.092
59087.533,19.408,0.151,NaN,NaN
59087.536,19.301,0.150,NaN,NaN
59087.542,19.250,0.137,NaN,NaN
59087.547,19.614,0.196,NaN,NaN
59089.501,NaN,NaN,18.854,0.102
59089.503,NaN,NaN,18.862,0.091
59089.513,NaN,NaN,18.966,0.117
59089.537,NaN,NaN,19.352,0.118
59093.478,NaN,NaN,19.064,0.183
59093.488,NaN,NaN,18.687,0.158
59093.495,NaN,NaN,18.780,0.198
59093.497,NaN,NaN,19.290,0.286
59095.484,NaN,NaN,18.558,0.141
59095.488,NaN,NaN,19.173,0.255
59095.491,NaN,NaN,19.036,0.199
59095.494,NaN,NaN,18.658,0.150
59095.495,NaN,NaN,18.912,0.231
59095.497,NaN,NaN,18.867,0.172
59095.504,NaN,NaN,19.004,0.224
59101.520,NaN,NaN,19.019,0.127
59101.527,NaN,NaN,19.068,0.127
59101.550,NaN,NaN,19.020,0.146
59103.556,NaN,NaN,19.014,0.143
59103.561,NaN,NaN,19.105,0.140
59103.567,NaN,NaN,19.292,0.176
59103.574,NaN,NaN,19.246,0.185
59103.602,NaN,NaN,18.935,0.131
59103.609,NaN,NaN,19.042,0.157
59103.612,NaN,NaN,19.119,0.164
59105.520,NaN,NaN,18.750,0.074
59105.524,NaN,NaN,19.657,0.167
59105.530,NaN,NaN,19.588,0.171
59107.506,19.445,0.157,NaN,NaN
59107.508,19.326,0.149,NaN,NaN
59107.543,19.958,0.232,NaN,NaN
59107.561,19.409,0.140,NaN,NaN
59109.481,NaN,NaN,19.269,0.123
59109.483,NaN,NaN,19.300,0.139
59109.486,NaN,NaN,19.160,0.138
59109.523,NaN,NaN,19.292,0.150
59111.493,19.247,0.265,NaN,NaN
59111.495,19.281,0.207,NaN,NaN
59113.501,NaN,NaN,19.291,0.202
59113.507,NaN,NaN,19.285,0.150
59113.538,NaN,NaN,19.003,0.113
59115.559,19.318,0.158,NaN,NaN
59115.562,19.516,0.194,NaN,NaN
59115.568,19.568,0.206,NaN,NaN
59115.579,19.148,0.120,NaN,NaN
59117.494,NaN,NaN,19.433,0.147
59117.509,NaN,NaN,19.182,0.103
59117.542,NaN,NaN,19.342,0.155
59119.464,NaN,NaN,18.998,0.229
59119.477,NaN,NaN,18.792,0.214
59121.443,NaN,NaN,19.389,0.218
59121.444,NaN,NaN,19.095,0.185
59121.456,NaN,NaN,19.512,0.260
59123.466,NaN,NaN,18.898,0.172
59129.573,NaN,NaN,19.383,0.177
59129.586,NaN,NaN,19.383,0.191
59129.589,NaN,NaN,19.045,0.203
59129.617,NaN,NaN,19.438,0.228
59131.521,NaN,NaN,18.990,0.141
59131.526,NaN,NaN,19.136,0.165
59131.529,NaN,NaN,19.088,0.170
59131.542,NaN,NaN,18.866,0.124
59133.504,NaN,NaN,19.236,0.172
59133.508,NaN,NaN,19.068,0.132
59133.515,NaN,NaN,18.799,0.097
59133.530,NaN,NaN,19.513,0.157
59135.526,19.872,0.293,NaN,NaN
59135.536,19.730,0.265,NaN,NaN
59137.484,NaN,NaN,19.344,0.150
59137.487,NaN,NaN,18.935,0.106
59137.520,NaN,NaN,19.521,0.148
59137.531,NaN,NaN,19.637,0.197
59139.469,19.797,0.183,NaN,NaN
59139.473,19.214,0.124,NaN,NaN
59139.479,20.166,0.292,NaN,NaN
59141.400,NaN,NaN,18.949,0.114
59141.424,NaN,NaN,19.620,0.165
59141.436,NaN,NaN,19.420,0.140
59141.457,NaN,NaN,18.858,0.087
59143.395,19.665,0.278,NaN,NaN
59145.467,NaN,NaN,19.313,0.141
59145.476,NaN,NaN,19.204,0.111
59145.486,NaN,NaN,19.213,0.117
59147.448,NaN,NaN,19.665,0.220
59147.479,NaN,NaN,18.745,0.095
59147.481,NaN,NaN,19.281,0.169
59148.469,NaN,NaN,19.125,0.174
59148.473,NaN,NaN,19.339,0.184
59148.478,NaN,NaN,19.361,0.268
59163.469,19.593,0.208,NaN,NaN
59163.486,19.981,0.278,NaN,NaN
59205.288,NaN,NaN,19.580,0.219
59217.339,NaN,NaN,20.003,0.281
59267.267,NaN,NaN,19.537,0.271
