MJD,c,c_err,o,o_err
59083.414,18.365,0.060,NaN,NaN
59083.441,18.357,0.069,NaN,NaN
59083.445,18.412,0.077,NaN,NaN
59083.450,18.335,0.074,NaN,NaN
59085.365,NaN,NaN,18.258,0.072
59085.383,NaN,NaN,18.221,0.069
59085.396,NaN,NaN,18.102,0.060
59085.399,NaN,NaN,18.160,0.073
59087.387,NaN,NaN,18.082,0.069
59087.391,NaN,NaN,18.161,0.064
59087.399,NaN,NaN,17.994,0.060
59087.411,NaN,NaN,18.093,0.064
59089.399,NaN,NaN,17.838,0.053
59089.409,NaN,NaN,18.001,0.056
59089.415,NaN,NaN,18.011,0.056
59089.418,NaN,NaN,17.992,0.052
59093.408,NaN,NaN,18.040,0.129
59093.411,NaN,NaN,17.879,0.102
59093.443,NaN,NaN,17.865,0.095
59093.472,NaN,NaN,18.075,0.127
59095.373,NaN,NaN,17.945,0.077
59095.376,NaN,NaN,18.072,0.088
59095.383,NaN,NaN,17.910,0.069
59095.393,NaN,NaN,18.034,0.075
59096.422,NaN,NaN,18.055,0.085
59096.425,NaN,NaN,18.052,0.083
59096.433,NaN,NaN,17.946,0.072
59096.443,NaN,NaN,17.871,0.071
59097.419,NaN,NaN,17.903,0.162
59097.450,NaN,NaN,17.881,0.153
59098.396,NaN,NaN,17.858,0.052
59098.400,NaN,NaN,18.072,0.082
59098.406,NaN,NaN,18.041,0.082
59098.417,NaN,NaN,18.164,0.079
59101.351,NaN,NaN,18.001,0.049
59101.358,NaN,NaN,17.882,0.052
59101.363,NaN,NaN,17.960,0.046
59101.378,NaN,NaN,17.843,0.041
59103.363,18.260,0.053,NaN,NaN
59103.367,18.109,0.057,NaN,NaN
59103.372,18.226,0.049,NaN,NaN
59103.386,18.160,0.049,NaN,NaN
59105.376,NaN,NaN,17.981,0.068
59105.380,NaN,NaN,18.017,0.060
59105.392,NaN,NaN,18.018,0.066
59105.396,NaN,NaN,17.973,0.041
59105.398,NaN,NaN,17.891,0.080
59105.417,NaN,NaN,17.896,0.102
59105.419,NaN,NaN,18.144,0.142
59107.393,18.263,0.071,NaN,NaN
59107.397,18.297,0.063,NaN,NaN
59107.402,18.140,0.056,NaN,NaN
