MJD,c,c_err,o,o_err
59094.293,NaN,NaN,18.999,0.205
59094.297,NaN,NaN,18.923,0.238
59096.260,NaN,NaN,18.767,0.124
59096.263,NaN,NaN,18.811,0.104
59096.270,NaN,NaN,18.761,0.118
59096.282,NaN,NaN,18.458,0.102
59098.274,NaN,NaN,18.627,0.109
59098.284,NaN,NaN,18.478,0.079
59098.284,NaN,NaN,18.418,0.082
59098.287,NaN,NaN,18.633,0.100
59098.288,NaN,NaN,18.402,0.073
59098.289,NaN,NaN,18.467,0.099
59098.292,NaN,NaN,18.519,0.072
59098.293,NaN,NaN,18.725,0.148
59098.303,NaN,NaN,18.483,0.086
59100.297,18.541,0.071,NaN,NaN
59100.301,18.498,0.069,NaN,NaN
59100.307,18.585,0.078,NaN,NaN
59100.326,18.707,0.088,NaN,NaN
59102.252,NaN,NaN,18.718,0.115
59102.252,NaN,NaN,18.751,0.129
59102.255,NaN,NaN,18.768,0.140
59102.262,NaN,NaN,18.697,0.080
59102.263,NaN,NaN,18.363,0.086
59102.266,NaN,NaN,18.430,0.082
59102.269,NaN,NaN,18.605,0.087
59102.272,NaN,NaN,18.497,0.118
59102.274,NaN,NaN,18.627,0.160
59102.282,NaN,NaN,18.450,0.079
59104.278,18.520,0.078,NaN,NaN
59104.282,18.434,0.065,NaN,NaN
59104.288,18.601,0.070,NaN,NaN
59104.299,18.589,0.082,NaN,NaN
59106.263,NaN,NaN,18.504,0.086
59106.267,NaN,NaN,18.989,0.114
59106.274,NaN,NaN,18.394,0.072
59106.280,NaN,NaN,18.541,0.068
59106.285,NaN,NaN,18.439,0.069
59106.285,NaN,NaN,18.651,0.087
59106.289,NaN,NaN,18.543,0.064
59106.299,NaN,NaN,18.676,0.079
59108.296,18.838,0.094,NaN,NaN
59108.299,18.783,0.089,NaN,NaN
59108.306,18.868,0.089,NaN,NaN
59108.317,18.705,0.088,NaN,NaN
59110.224,NaN,NaN,18.774,0.209
59110.229,NaN,NaN,18.355,0.109
59110.232,NaN,NaN,18.644,0.100
59110.242,NaN,NaN,18.442,0.125
59110.245,NaN,NaN,19.020,0.294
59110.248,NaN,NaN,18.486,0.083
59110.253,NaN,NaN,18.738,0.158
59110.267,NaN,NaN,18.252,0.123
59112.253,18.558,0.229,NaN,NaN
59114.222,NaN,NaN,18.599,0.082
59114.228,NaN,NaN,18.614,0.087
59114.231,NaN,NaN,18.754,0.094
59114.243,NaN,NaN,18.582,0.084
59118.212,NaN,NaN,18.543,0.172
59118.216,NaN,NaN,18.474,0.114
59118.226,NaN,NaN,18.714,0.092
59118.232,NaN,NaN,18.407,0.088
59122.252,NaN,NaN,18.615,0.135
59122.255,NaN,NaN,18.458,0.102
59122.262,NaN,NaN,18.472,0.113
59122.273,NaN,NaN,18.543,0.131
59126.207,NaN,NaN,18.633,0.145
59126.210,NaN,NaN,18.786,0.105
59126.216,NaN,NaN,18.644,0.075
59126.226,NaN,NaN,18.443,0.064
59128.208,NaN,NaN,18.567,0.134
59128.212,NaN,NaN,18.609,0.111
59128.217,NaN,NaN,18.611,0.080
59130.261,NaN,NaN,18.543,0.070
59130.265,NaN,NaN,18.593,0.075
59130.271,NaN,NaN,18.604,0.086
59130.285,NaN,NaN,18.562,0.069
59132.222,18.995,0.142,NaN,NaN
59132.222,18.733,0.095,NaN,NaN
59132.226,18.920,0.121,NaN,NaN
59132.233,18.816,0.101,NaN,NaN
59132.235,18.916,0.118,NaN,NaN
59132.245,18.738,0.086,NaN,NaN
59134.246,NaN,NaN,18.259,0.121
59134.249,NaN,NaN,18.634,0.112
59134.256,NaN,NaN,18.427,0.132
59134.267,NaN,NaN,18.545,0.092
59136.211,18.855,0.126,NaN,NaN
59138.239,NaN,NaN,18.619,0.091
59138.242,NaN,NaN,18.457,0.079
59138.247,NaN,NaN,18.621,0.085
59138.258,NaN,NaN,18.610,0.095
59140.232,18.307,0.234,NaN,NaN
59140.242,19.068,0.192,NaN,NaN
59140.253,18.722,0.164,NaN,NaN
59148.197,NaN,NaN,18.564,0.144
59148.200,NaN,NaN,18.724,0.160
59148.206,NaN,NaN,18.361,0.086
59148.217,NaN,NaN,18.444,0.099
59154.210,NaN,NaN,18.423,0.105
59154.214,NaN,NaN,18.727,0.191
59154.222,NaN,NaN,18.404,0.132
59154.233,NaN,NaN,18.334,0.119
59156.203,NaN,NaN,18.579,0.105
59156.208,NaN,NaN,18.476,0.101
59156.212,NaN,NaN,18.573,0.110
59156.224,NaN,NaN,18.619,0.093
59162.194,NaN,NaN,18.286,0.081
59162.198,NaN,NaN,18.421,0.092
59162.204,NaN,NaN,18.599,0.094
59162.218,NaN,NaN,18.431,0.071
59256.645,20.376,0.284,NaN,NaN
59298.597,NaN,NaN,20.008,0.293
59298.616,NaN,NaN,19.670,0.275
59334.479,NaN,NaN,19.816,0.263
59362.503,NaN,NaN,19.652,0.256
