MJD,c,c_err,o,o_err
59102.533,NaN,NaN,18.916,0.153
59102.535,NaN,NaN,18.881,0.155
59102.537,NaN,NaN,18.630,0.114
59102.538,NaN,NaN,18.731,0.125
59102.540,NaN,NaN,18.599,0.095
59102.551,NaN,NaN,18.583,0.088
59104.453,NaN,NaN,18.537,0.077
59104.489,NaN,NaN,18.738,0.081
59104.494,NaN,NaN,18.565,0.062
59104.500,NaN,NaN,18.660,0.076
59106.469,18.711,0.075,NaN,NaN
59106.483,18.540,0.070,NaN,NaN
59106.507,18.760,0.075,NaN,NaN
59106.510,18.752,0.069,NaN,NaN
59106.516,18.666,0.061,NaN,NaN
59106.518,18.707,0.062,NaN,NaN
59106.521,18.564,0.055,NaN,NaN
59106.526,18.602,0.059,NaN,NaN
59108.487,NaN,NaN,18.579,0.074
59108.488,NaN,NaN,18.616,0.069
59108.491,NaN,NaN,18.728,0.072
59108.500,NaN,NaN,18.669,0.074
59110.475,18.849,0.093,NaN,NaN
59110.479,18.666,0.072,NaN,NaN
59110.481,18.678,0.066,NaN,NaN
59110.484,18.773,0.081,NaN,NaN
59110.487,18.853,0.087,NaN,NaN
59110.489,18.901,0.094,NaN,NaN
59110.490,18.802,0.080,NaN,NaN
59110.499,18.854,0.082,NaN,NaN
59112.482,NaN,NaN,18.919,0.099
59112.484,NaN,NaN,18.666,0.077
59112.490,NaN,NaN,19.002,0.109
59112.498,NaN,NaN,18.913,0.097
59114.486,18.900,0.105,NaN,NaN
59114.490,18.851,0.096,NaN,NaN
59114.492,19.037,0.109,NaN,NaN
59114.498,19.286,0.149,NaN,NaN
59120.448,NaN,NaN,18.833,0.128
59120.459,NaN,NaN,19.105,0.197
59120.462,NaN,NaN,19.085,0.133
59120.468,NaN,NaN,18.935,0.135
59128.558,NaN,NaN,19.369,0.184
59128.562,NaN,NaN,19.131,0.217
59128.600,NaN,NaN,19.164,0.223
59130.504,NaN,NaN,18.902,0.133
59130.508,NaN,NaN,19.385,0.155
59130.540,NaN,NaN,19.004,0.099
59130.546,NaN,NaN,19.031,0.131
59132.460,NaN,NaN,19.187,0.128
59132.462,NaN,NaN,19.328,0.200
59132.465,NaN,NaN,19.100,0.122
59132.471,NaN,NaN,18.955,0.093
59134.564,NaN,NaN,19.468,0.172
59134.568,NaN,NaN,19.116,0.117
59134.575,NaN,NaN,19.268,0.164
59134.592,NaN,NaN,19.545,0.195
59136.504,NaN,NaN,19.244,0.107
59136.509,NaN,NaN,19.289,0.109
59136.514,NaN,NaN,19.312,0.147
59136.549,NaN,NaN,19.448,0.143
59138.544,19.929,0.239,NaN,NaN
59140.363,NaN,NaN,19.268,0.130
59140.383,NaN,NaN,19.356,0.134
59140.408,NaN,NaN,19.220,0.121
59140.414,NaN,NaN,19.394,0.132
59142.343,19.752,0.197,NaN,NaN
59142.349,20.164,0.240,NaN,NaN
59142.386,19.960,0.232,NaN,NaN
59144.425,NaN,NaN,19.623,0.238
59144.430,NaN,NaN,19.766,0.282
59144.438,NaN,NaN,19.753,0.212
59144.448,NaN,NaN,19.635,0.166
59146.476,19.906,0.209,NaN,NaN
59147.477,NaN,NaN,19.772,0.233
59148.390,NaN,NaN,19.910,0.287
59148.404,NaN,NaN,19.297,0.151
59192.379,NaN,NaN,19.764,0.276
