MJD,c,c_err,o,o_err
59103.402,19.779,0.281,NaN,NaN
59103.403,18.620,0.071,NaN,NaN
59103.406,19.107,0.137,NaN,NaN
59103.407,18.696,0.073,NaN,NaN
59103.427,18.834,0.095,NaN,NaN
59103.434,19.024,0.137,NaN,NaN
59103.434,18.720,0.087,NaN,NaN
59104.397,NaN,NaN,18.222,0.049
59104.427,NaN,NaN,18.085,0.051
59106.389,17.520,0.029,NaN,NaN
59106.394,17.585,0.030,NaN,NaN
59106.408,17.559,0.032,NaN,NaN
59108.357,NaN,NaN,17.367,0.035
59108.391,NaN,NaN,17.463,0.035
59108.400,NaN,NaN,17.401,0.031
59110.349,17.450,0.029,NaN,NaN
59110.387,17.428,0.030,NaN,NaN
59110.413,17.501,0.031,NaN,NaN
59112.352,NaN,NaN,17.428,0.046
59112.355,NaN,NaN,17.621,0.048
59112.363,NaN,NaN,17.467,0.036
59112.398,NaN,NaN,17.467,0.030
59113.351,NaN,NaN,17.353,0.040
59113.373,NaN,NaN,17.464,0.048
59113.382,NaN,NaN,17.382,0.036
59115.404,17.393,0.028,NaN,NaN
59115.408,17.443,0.027,NaN,NaN
59115.444,17.534,0.028,NaN,NaN
59117.327,NaN,NaN,17.536,0.040
59117.333,NaN,NaN,17.383,0.036
59117.341,NaN,NaN,17.632,0.047
59117.345,NaN,NaN,17.380,0.032
59119.337,NaN,NaN,17.494,0.041
59119.346,NaN,NaN,17.440,0.040
59119.367,NaN,NaN,17.546,0.046
59123.385,NaN,NaN,17.567,0.116
59125.362,NaN,NaN,17.606,0.056
59125.367,NaN,NaN,17.536,0.045
59125.384,NaN,NaN,17.535,0.053
59125.402,NaN,NaN,17.579,0.051
59126.349,NaN,NaN,17.580,0.054
59126.352,NaN,NaN,17.532,0.053
59126.358,NaN,NaN,17.716,0.066
59126.369,NaN,NaN,17.565,0.051
59127.355,NaN,NaN,17.604,0.084
59128.424,NaN,NaN,17.712,0.043
59128.427,NaN,NaN,17.611,0.045
59128.437,NaN,NaN,17.567,0.043
59128.448,NaN,NaN,17.481,0.040
59129.406,NaN,NaN,17.581,0.037
59129.409,NaN,NaN,17.573,0.039
59129.416,NaN,NaN,17.607,0.044
59129.429,NaN,NaN,17.758,0.047
