MJD,c,c_err,o,o_err
59098.510,NaN,NaN,19.806,0.280
59101.497,NaN,NaN,20.182,0.267
59103.461,NaN,NaN,19.317,0.144
59103.464,NaN,NaN,20.039,0.275
59103.482,NaN,NaN,19.240,0.142
59103.492,NaN,NaN,19.830,0.247
59103.502,NaN,NaN,19.948,0.269
59105.450,NaN,NaN,19.499,0.194
59105.454,NaN,NaN,19.279,0.190
59105.460,NaN,NaN,19.439,0.264
59105.473,NaN,NaN,19.157,0.129
59107.458,18.986,0.131,NaN,NaN
59107.461,18.842,0.108,NaN,NaN
59107.467,19.650,0.240,NaN,NaN
59107.478,18.924,0.106,NaN,NaN
59109.354,NaN,NaN,18.872,0.083
59109.357,NaN,NaN,18.928,0.072
59109.360,NaN,NaN,18.648,0.067
59111.392,18.720,0.179,NaN,NaN
59111.393,18.465,0.161,NaN,NaN
59111.406,18.552,0.247,NaN,NaN
59111.409,18.583,0.273,NaN,NaN
59113.421,NaN,NaN,18.743,0.138
59113.433,NaN,NaN,18.336,0.115
59113.436,NaN,NaN,18.593,0.132
59113.445,NaN,NaN,18.756,0.132
59115.481,18.496,0.071,NaN,NaN
59115.485,18.608,0.065,NaN,NaN
59115.492,18.795,0.091,NaN,NaN
59115.505,18.762,0.083,NaN,NaN
59117.348,NaN,NaN,18.862,0.123
59117.360,NaN,NaN,18.716,0.084
59117.363,NaN,NaN,19.029,0.124
59118.302,NaN,NaN,18.384,0.103
59118.304,NaN,NaN,18.595,0.147
59118.326,NaN,NaN,18.782,0.139
59118.333,NaN,NaN,18.633,0.109
59119.407,NaN,NaN,18.418,0.095
59119.434,NaN,NaN,18.737,0.145
59119.437,NaN,NaN,18.591,0.122
59119.443,NaN,NaN,18.397,0.122
59125.407,NaN,NaN,18.632,0.143
59125.420,NaN,NaN,18.300,0.130
59125.423,NaN,NaN,18.613,0.145
59125.428,NaN,NaN,18.463,0.140
59127.396,NaN,NaN,18.522,0.252
59129.417,NaN,NaN,18.387,0.064
59129.420,NaN,NaN,18.768,0.103
59129.426,NaN,NaN,18.517,0.070
59129.439,NaN,NaN,18.682,0.083
59131.444,NaN,NaN,18.549,0.103
59131.448,NaN,NaN,18.312,0.069
59131.454,NaN,NaN,18.322,0.074
59131.464,NaN,NaN,18.367,0.074
59133.372,NaN,NaN,18.471,0.059
59133.380,NaN,NaN,18.319,0.077
59133.383,NaN,NaN,18.265,0.077
59133.398,NaN,NaN,18.834,0.105
59135.430,19.138,0.147,NaN,NaN
59135.433,18.802,0.100,NaN,NaN
59135.440,18.652,0.078,NaN,NaN
59135.450,18.674,0.082,NaN,NaN
59137.392,NaN,NaN,18.471,0.102
59137.400,NaN,NaN,18.347,0.065
59137.423,NaN,NaN,18.744,0.131
59139.361,18.999,0.101,NaN,NaN
59139.364,18.908,0.093,NaN,NaN
59139.370,18.948,0.080,NaN,NaN
59139.380,18.905,0.081,NaN,NaN
59141.348,NaN,NaN,18.643,0.076
59141.369,NaN,NaN,18.533,0.077
59143.327,18.967,0.159,NaN,NaN
59143.330,19.060,0.150,NaN,NaN
59143.338,19.208,0.128,NaN,NaN
59143.349,18.867,0.085,NaN,NaN
59145.364,NaN,NaN,18.696,0.072
59145.367,NaN,NaN,18.447,0.073
59145.374,NaN,NaN,18.535,0.064
59145.391,NaN,NaN,18.533,0.061
59147.343,NaN,NaN,18.133,0.099
59147.346,NaN,NaN,18.160,0.065
59147.353,NaN,NaN,18.300,0.074
59147.365,NaN,NaN,18.882,0.151
59153.422,NaN,NaN,18.725,0.219
59153.432,NaN,NaN,18.441,0.182
59154.400,NaN,NaN,18.550,0.182
59154.407,NaN,NaN,18.414,0.227
59154.410,NaN,NaN,18.083,0.161
59156.331,NaN,NaN,18.630,0.129
59156.336,NaN,NaN,18.530,0.087
59156.340,NaN,NaN,18.451,0.086
59156.350,NaN,NaN,18.600,0.117
59157.329,NaN,NaN,18.671,0.281
59157.332,NaN,NaN,18.702,0.228
59157.361,NaN,NaN,18.867,0.141
59161.369,NaN,NaN,18.740,0.082
59163.365,18.924,0.107,NaN,NaN
59163.368,19.061,0.110,NaN,NaN
59163.375,18.859,0.098,NaN,NaN
59163.395,19.235,0.141,NaN,NaN
59165.334,NaN,NaN,18.658,0.089
59169.302,NaN,NaN,18.901,0.096
59169.305,NaN,NaN,18.623,0.085
59169.325,NaN,NaN,18.631,0.070
59169.336,NaN,NaN,18.873,0.093
59179.361,NaN,NaN,18.816,0.204
59179.368,NaN,NaN,18.469,0.159
59180.284,NaN,NaN,18.669,0.122
59180.287,NaN,NaN,18.474,0.110
59180.294,NaN,NaN,18.782,0.161
59180.303,NaN,NaN,18.737,0.138
59181.295,NaN,NaN,18.494,0.253
59183.315,NaN,NaN,18.595,0.156
59185.302,NaN,NaN,18.587,0.132
59185.311,NaN,NaN,18.697,0.143
59185.324,NaN,NaN,18.777,0.166
59185.329,NaN,NaN,18.802,0.167
59185.332,NaN,NaN,18.902,0.127
59185.341,NaN,NaN,18.748,0.120
59185.355,NaN,NaN,19.308,0.287
59187.329,NaN,NaN,18.740,0.143
59187.333,NaN,NaN,18.760,0.127
59187.339,NaN,NaN,18.357,0.104
59187.353,NaN,NaN,18.704,0.152
59189.232,NaN,NaN,18.470,0.089
59189.234,NaN,NaN,18.834,0.079
59189.244,NaN,NaN,18.471,0.065
59189.248,NaN,NaN,18.755,0.097
59189.251,NaN,NaN,18.665,0.087
59189.257,NaN,NaN,18.853,0.108
59189.263,NaN,NaN,18.764,0.091
59191.222,19.632,0.167,NaN,NaN
59191.226,19.346,0.152,NaN,NaN
59191.232,19.734,0.168,NaN,NaN
59191.242,19.360,0.124,NaN,NaN
59193.279,NaN,NaN,18.518,0.076
59193.283,NaN,NaN,19.013,0.129
59193.291,NaN,NaN,18.627,0.081
59193.295,NaN,NaN,18.842,0.102
59193.301,NaN,NaN,18.661,0.089
59193.310,NaN,NaN,19.085,0.131
59193.312,NaN,NaN,19.068,0.149
59193.317,NaN,NaN,18.771,0.108
59195.309,19.474,0.158,NaN,NaN
59195.312,19.458,0.156,NaN,NaN
59195.319,19.349,0.142,NaN,NaN
59195.337,19.323,0.141,NaN,NaN
59197.263,19.362,0.136,NaN,NaN
59197.264,19.808,0.207,NaN,NaN
59197.266,20.102,0.279,NaN,NaN
59197.272,19.514,0.141,NaN,NaN
59197.273,19.693,0.197,NaN,NaN
59197.275,19.376,0.121,NaN,NaN
59197.289,19.833,0.169,NaN,NaN
59199.217,18.940,0.155,NaN,NaN
59199.220,19.379,0.210,NaN,NaN
59199.228,19.150,0.144,NaN,NaN
59199.241,19.397,0.169,NaN,NaN
59205.212,NaN,NaN,18.916,0.132
59205.215,NaN,NaN,19.008,0.140
59205.220,NaN,NaN,19.214,0.195
59205.230,NaN,NaN,19.259,0.203
59207.251,NaN,NaN,18.447,0.096
59207.257,NaN,NaN,19.223,0.224
59207.260,NaN,NaN,19.348,0.218
59209.262,NaN,NaN,18.777,0.157
59209.266,NaN,NaN,19.037,0.220
59209.272,NaN,NaN,18.857,0.161
59209.286,NaN,NaN,19.350,0.291
59211.269,NaN,NaN,18.983,0.193
59211.272,NaN,NaN,19.233,0.245
59211.290,NaN,NaN,19.085,0.236
59217.258,NaN,NaN,18.959,0.095
