MJD,c,c_err,o,o_err
59105.298,NaN,NaN,18.147,0.072
59105.302,NaN,NaN,18.226,0.072
59105.309,NaN,NaN,18.125,0.086
59105.321,NaN,NaN,18.309,0.070
59107.333,17.953,0.046,NaN,NaN
59107.337,18.055,0.053,NaN,NaN
59107.342,17.968,0.040,NaN,NaN
59109.245,NaN,NaN,17.837,0.043
59109.248,NaN,NaN,17.798,0.036
59109.261,NaN,NaN,17.791,0.043
59109.272,NaN,NaN,17.862,0.048
59111.249,17.736,0.101,NaN,NaN
59111.281,17.781,0.049,NaN,NaN
59113.269,NaN,NaN,17.688,0.041
59113.273,NaN,NaN,17.733,0.048
59113.281,NaN,NaN,17.834,0.050
59113.300,NaN,NaN,17.704,0.063
59115.330,NaN,NaN,17.787,0.064
59115.334,NaN,NaN,17.859,0.059
59115.349,NaN,NaN,17.704,0.058
59115.359,NaN,NaN,17.721,0.049
59117.227,NaN,NaN,17.853,0.058
59117.235,NaN,NaN,17.921,0.059
59117.257,NaN,NaN,17.727,0.048
59117.272,NaN,NaN,17.912,0.065
59119.229,NaN,NaN,17.701,0.059
59119.233,NaN,NaN,17.936,0.072
59119.243,NaN,NaN,17.784,0.057
59119.249,NaN,NaN,17.891,0.065
59121.283,NaN,NaN,18.123,0.118
59121.284,NaN,NaN,17.853,0.074
59121.289,NaN,NaN,17.731,0.055
59121.295,NaN,NaN,17.657,0.058
59121.301,NaN,NaN,17.820,0.072
59121.306,NaN,NaN,17.807,0.069
59123.280,NaN,NaN,17.646,0.069
59123.285,NaN,NaN,18.067,0.116
59123.296,NaN,NaN,17.857,0.085
59123.301,NaN,NaN,17.786,0.092
59125.241,NaN,NaN,17.897,0.058
59125.245,NaN,NaN,17.638,0.050
59125.252,NaN,NaN,17.701,0.070
59125.252,NaN,NaN,17.723,0.055
59125.268,NaN,NaN,17.799,0.066
59125.271,NaN,NaN,17.808,0.065
59127.221,NaN,NaN,17.924,0.059
59127.226,NaN,NaN,17.874,0.058
59127.229,NaN,NaN,17.872,0.056
59129.269,NaN,NaN,17.723,0.050
59129.272,NaN,NaN,17.768,0.040
59129.282,NaN,NaN,18.019,0.055
59129.288,NaN,NaN,17.990,0.075
59131.259,18.343,0.059,NaN,NaN
59131.262,18.091,0.051,NaN,NaN
59131.268,18.165,0.056,NaN,NaN
59131.283,18.063,0.055,NaN,NaN
59133.253,NaN,NaN,17.897,0.053
59133.259,NaN,NaN,17.790,0.055
59133.263,NaN,NaN,18.019,0.071
59133.274,NaN,NaN,17.709,0.054
59137.250,NaN,NaN,17.891,0.050
59137.254,NaN,NaN,18.077,0.059
59137.259,NaN,NaN,18.049,0.070
59137.271,NaN,NaN,18.055,0.059
59139.259,18.171,0.049,NaN,NaN
59139.262,18.159,0.053,NaN,NaN
59139.269,18.259,0.058,NaN,NaN
59139.279,18.298,0.058,NaN,NaN
59143.200,NaN,NaN,17.703,0.070
59143.205,NaN,NaN,17.787,0.058
59143.213,NaN,NaN,17.794,0.050
59143.217,NaN,NaN,17.690,0.040
59145.257,NaN,NaN,17.879,0.060
59145.260,NaN,NaN,17.902,0.056
59145.268,NaN,NaN,17.874,0.054
59145.278,NaN,NaN,17.770,0.051
59147.228,NaN,NaN,18.064,0.081
59147.231,NaN,NaN,18.189,0.080
59147.236,NaN,NaN,17.967,0.090
59147.265,NaN,NaN,18.114,0.108
59153.222,NaN,NaN,18.053,0.112
59153.225,NaN,NaN,17.820,0.086
59153.231,NaN,NaN,18.221,0.135
59153.238,NaN,NaN,18.023,0.168
59153.241,NaN,NaN,17.864,0.109
59153.241,NaN,NaN,18.068,0.159
59155.224,NaN,NaN,17.883,0.122
59155.228,NaN,NaN,17.741,0.079
59155.233,NaN,NaN,17.909,0.131
59155.244,NaN,NaN,17.784,0.142
59165.205,NaN,NaN,17.833,0.071
59165.208,NaN,NaN,17.958,0.092
59165.214,NaN,NaN,17.992,0.095
59165.225,NaN,NaN,17.913,0.103
59169.192,NaN,NaN,18.009,0.093
59169.196,NaN,NaN,17.720,0.051
59169.203,NaN,NaN,17.911,0.059
59169.215,NaN,NaN,18.181,0.092
59253.656,19.617,0.212,NaN,NaN
59261.633,20.156,0.297,NaN,NaN
59293.588,NaN,NaN,19.557,0.187
59297.603,NaN,NaN,20.463,0.290
59305.597,NaN,NaN,19.622,0.297
59319.542,NaN,NaN,19.957,0.276
59323.511,NaN,NaN,19.713,0.245
59331.541,NaN,NaN,18.990,0.255
59345.525,NaN,NaN,19.902,0.228
59369.521,NaN,NaN,20.079,0.297
