MJD,c,c_err,o,o_err
59115.516,19.227,0.117,NaN,NaN
59115.519,19.100,0.121,NaN,NaN
59115.524,19.018,0.119,NaN,NaN
59115.536,19.165,0.147,NaN,NaN
59117.354,NaN,NaN,19.259,0.229
59117.407,NaN,NaN,19.357,0.215
59117.409,NaN,NaN,18.960,0.116
59117.436,NaN,NaN,19.045,0.152
59117.455,NaN,NaN,19.282,0.130
59119.393,NaN,NaN,19.146,0.183
59119.395,NaN,NaN,19.086,0.149
59119.413,NaN,NaN,18.991,0.166
59121.501,NaN,NaN,18.765,0.158
59121.524,NaN,NaN,18.897,0.227
59121.527,NaN,NaN,19.001,0.155
59121.535,NaN,NaN,19.032,0.189
59127.466,NaN,NaN,18.727,0.197
59127.475,NaN,NaN,18.910,0.155
59127.478,NaN,NaN,18.820,0.179
59129.533,NaN,NaN,18.693,0.118
59129.540,NaN,NaN,19.065,0.147
59129.545,NaN,NaN,18.946,0.190
59129.568,NaN,NaN,18.913,0.160
59131.468,NaN,NaN,19.341,0.181
59131.471,NaN,NaN,19.137,0.173
59131.477,NaN,NaN,18.931,0.130
59131.492,NaN,NaN,19.078,0.133
59133.466,NaN,NaN,18.749,0.093
59133.480,NaN,NaN,19.101,0.152
59133.493,NaN,NaN,18.819,0.137
59133.506,NaN,NaN,19.071,0.140
59135.457,19.411,0.172,NaN,NaN
59135.460,19.177,0.137,NaN,NaN
59135.479,18.921,0.103,NaN,NaN
59137.414,NaN,NaN,18.742,0.100
59137.418,NaN,NaN,18.984,0.124
59137.427,NaN,NaN,18.927,0.159
59137.450,NaN,NaN,18.939,0.107
59139.435,19.361,0.121,NaN,NaN
59139.438,19.316,0.117,NaN,NaN
59139.452,19.153,0.110,NaN,NaN
59139.458,19.128,0.118,NaN,NaN
59141.415,NaN,NaN,19.094,0.098
59141.418,NaN,NaN,18.987,0.113
59141.445,NaN,NaN,18.854,0.083
59141.451,NaN,NaN,18.903,0.098
59143.367,19.122,0.129,NaN,NaN
59143.370,19.146,0.097,NaN,NaN
59143.378,19.120,0.122,NaN,NaN
59143.385,19.308,0.188,NaN,NaN
59145.416,NaN,NaN,19.362,0.115
59145.420,NaN,NaN,19.032,0.088
59145.433,NaN,NaN,19.100,0.091
59145.439,NaN,NaN,19.131,0.115
59147.397,NaN,NaN,18.975,0.178
59147.407,NaN,NaN,18.777,0.113
59147.411,NaN,NaN,19.169,0.181
59147.417,NaN,NaN,19.405,0.229
59157.410,NaN,NaN,19.205,0.151
59163.434,19.457,0.175,NaN,NaN
59163.437,19.948,0.272,NaN,NaN
59163.444,19.518,0.183,NaN,NaN
59163.466,19.659,0.228,NaN,NaN
59169.365,NaN,NaN,19.028,0.124
59169.368,NaN,NaN,18.972,0.116
59169.374,NaN,NaN,19.245,0.185
59169.386,NaN,NaN,19.215,0.132
59185.394,NaN,NaN,19.101,0.156
59185.398,NaN,NaN,19.551,0.282
59185.407,NaN,NaN,19.423,0.256
59185.420,NaN,NaN,19.331,0.228
59187.383,NaN,NaN,19.661,0.277
59187.386,NaN,NaN,19.338,0.173
59187.392,NaN,NaN,19.257,0.203
59187.404,NaN,NaN,19.275,0.218
59189.285,NaN,NaN,19.120,0.105
59189.297,NaN,NaN,19.323,0.131
59189.301,NaN,NaN,19.209,0.112
59189.306,NaN,NaN,19.545,0.159
59191.293,19.669,0.151,NaN,NaN
59191.304,19.641,0.154,NaN,NaN
59191.309,19.945,0.249,NaN,NaN
59193.324,NaN,NaN,19.336,0.128
59193.329,NaN,NaN,19.235,0.117
59193.332,NaN,NaN,19.610,0.183
59193.344,NaN,NaN,19.397,0.152
59195.329,20.048,0.274,NaN,NaN
59195.349,20.222,0.299,NaN,NaN
59197.306,19.739,0.161,NaN,NaN
59197.315,19.910,0.257,NaN,NaN
59199.297,19.866,0.237,NaN,NaN
59199.319,19.897,0.248,NaN,NaN
59205.249,NaN,NaN,20.199,0.295
59205.252,NaN,NaN,19.511,0.228
59205.271,NaN,NaN,19.857,0.237
