MJD,c,c_err,o,o_err
59118.250,NaN,NaN,19.315,0.186
59118.253,NaN,NaN,19.501,0.198
59118.260,NaN,NaN,19.133,0.148
59122.282,NaN,NaN,18.580,0.111
59122.285,NaN,NaN,18.824,0.139
59122.291,NaN,NaN,18.681,0.128
59122.306,NaN,NaN,18.872,0.165
59126.236,NaN,NaN,18.764,0.138
59126.240,NaN,NaN,18.658,0.227
59126.248,NaN,NaN,18.489,0.125
59126.258,NaN,NaN,18.672,0.142
59130.299,NaN,NaN,18.680,0.083
59130.302,NaN,NaN,18.653,0.077
59130.308,NaN,NaN,18.565,0.077
59130.318,NaN,NaN,18.724,0.082
59132.256,19.170,0.137,NaN,NaN
59132.262,19.018,0.106,NaN,NaN
59132.265,18.748,0.111,NaN,NaN
59132.275,18.787,0.096,NaN,NaN
59134.273,NaN,NaN,18.965,0.116
59134.276,NaN,NaN,18.796,0.117
59134.282,NaN,NaN,19.063,0.163
59134.295,NaN,NaN,18.599,0.083
59136.220,18.810,0.107,NaN,NaN
59136.254,19.049,0.125,NaN,NaN
59138.262,NaN,NaN,18.953,0.092
59138.267,NaN,NaN,18.868,0.096
59138.270,NaN,NaN,18.733,0.090
59138.282,NaN,NaN,18.788,0.099
59140.251,19.376,0.241,NaN,NaN
59140.258,18.797,0.153,NaN,NaN
59142.210,NaN,NaN,18.872,0.157
59144.200,NaN,NaN,19.089,0.237
59144.204,NaN,NaN,19.178,0.183
59144.211,NaN,NaN,18.770,0.129
59144.221,NaN,NaN,19.634,0.226
59146.264,NaN,NaN,19.355,0.180
59146.269,NaN,NaN,19.155,0.133
59146.276,NaN,NaN,18.834,0.113
59146.286,NaN,NaN,19.381,0.157
59148.226,NaN,NaN,18.717,0.126
59148.229,NaN,NaN,19.187,0.223
59148.232,NaN,NaN,19.221,0.244
59148.236,NaN,NaN,18.989,0.182
59148.239,NaN,NaN,19.044,0.155
59148.247,NaN,NaN,19.406,0.231
59148.250,NaN,NaN,19.363,0.291
59154.237,NaN,NaN,19.189,0.228
59154.241,NaN,NaN,19.111,0.205
59154.246,NaN,NaN,19.027,0.214
59154.257,NaN,NaN,19.262,0.258
59156.241,NaN,NaN,19.453,0.242
59156.251,NaN,NaN,18.893,0.206
59156.261,NaN,NaN,19.080,0.190
59162.226,NaN,NaN,19.212,0.105
59162.230,NaN,NaN,19.204,0.133
59162.236,NaN,NaN,19.279,0.160
