MJD,c,c_err,o,o_err
59114.440,NaN,NaN,20.064,0.291
59120.508,NaN,NaN,18.208,0.087
59120.511,NaN,NaN,18.545,0.097
59120.516,NaN,NaN,18.497,0.111
59120.528,NaN,NaN,18.555,0.121
59121.450,NaN,NaN,18.503,0.103
59121.451,NaN,NaN,18.393,0.119
59121.455,NaN,NaN,18.704,0.157
59121.479,NaN,NaN,18.250,0.099
59122.489,NaN,NaN,18.438,0.123
59122.492,NaN,NaN,18.300,0.101
59122.498,NaN,NaN,18.701,0.151
59122.533,NaN,NaN,18.241,0.109
59123.498,NaN,NaN,18.394,0.143
59123.501,NaN,NaN,18.423,0.173
59123.528,NaN,NaN,18.499,0.172
59123.557,NaN,NaN,18.214,0.114
59124.626,NaN,NaN,18.194,0.193
59127.523,NaN,NaN,18.108,0.120
59127.550,NaN,NaN,18.083,0.129
59127.570,NaN,NaN,18.167,0.098
59127.574,NaN,NaN,18.140,0.114
59129.548,NaN,NaN,18.295,0.095
59129.552,NaN,NaN,18.173,0.079
59129.571,NaN,NaN,18.192,0.101
59129.584,NaN,NaN,18.195,0.084
59131.519,NaN,NaN,18.336,0.084
59131.525,NaN,NaN,18.122,0.078
59131.528,NaN,NaN,18.281,0.084
59131.540,NaN,NaN,18.103,0.078
59132.484,NaN,NaN,18.216,0.068
59132.487,NaN,NaN,18.247,0.075
59132.493,NaN,NaN,18.178,0.070
59132.528,NaN,NaN,18.290,0.100
59133.495,NaN,NaN,18.161,0.100
59133.505,NaN,NaN,18.067,0.083
59133.509,NaN,NaN,18.207,0.090
59133.525,NaN,NaN,18.306,0.080
59136.476,18.266,0.066,NaN,NaN
59136.521,18.345,0.067,NaN,NaN
59136.527,18.169,0.060,NaN,NaN
59136.535,18.260,0.076,NaN,NaN
59137.464,NaN,NaN,18.119,0.064
59137.475,NaN,NaN,18.149,0.078
59137.485,NaN,NaN,18.159,0.074
59137.488,NaN,NaN,18.072,0.058
59139.455,18.375,0.059,NaN,NaN
59139.459,18.178,0.065,NaN,NaN
59139.472,18.204,0.061,NaN,NaN
59139.481,18.155,0.052,NaN,NaN
59140.435,18.200,0.054,NaN,NaN
59140.439,18.173,0.065,NaN,NaN
59140.445,18.451,0.079,NaN,NaN
59140.455,18.263,0.074,NaN,NaN
59141.395,NaN,NaN,18.162,0.061
59141.398,NaN,NaN,18.075,0.062
59141.403,NaN,NaN,18.023,0.062
59141.426,NaN,NaN,18.014,0.062
59144.444,18.276,0.065,NaN,NaN
59144.448,18.213,0.051,NaN,NaN
59144.483,18.296,0.058,NaN,NaN
59144.490,18.413,0.083,NaN,NaN
59146.444,NaN,NaN,18.294,0.077
59146.447,NaN,NaN,18.096,0.060
59146.454,NaN,NaN,18.197,0.065
59146.464,NaN,NaN,18.064,0.052
59147.432,NaN,NaN,18.165,0.076
59147.435,NaN,NaN,18.200,0.083
59147.441,NaN,NaN,18.192,0.083
59147.467,NaN,NaN,18.170,0.101
59148.413,NaN,NaN,18.027,0.078
59148.416,NaN,NaN,18.234,0.134
59148.422,NaN,NaN,18.250,0.132
59148.433,NaN,NaN,18.056,0.085
59156.451,NaN,NaN,18.017,0.132
59156.454,NaN,NaN,18.177,0.141
59156.460,NaN,NaN,18.414,0.144
59156.472,NaN,NaN,17.859,0.125
59157.448,NaN,NaN,18.098,0.087
59157.453,NaN,NaN,18.119,0.100
59157.477,NaN,NaN,18.001,0.117
59157.485,NaN,NaN,17.887,0.125
59160.409,NaN,NaN,17.949,0.162
59162.408,NaN,NaN,18.249,0.069
59162.412,NaN,NaN,18.041,0.055
59162.418,NaN,NaN,18.048,0.065
59162.428,NaN,NaN,18.037,0.070
59169.389,NaN,NaN,18.143,0.105
59170.377,NaN,NaN,17.993,0.061
59170.409,NaN,NaN,18.005,0.049
59170.413,NaN,NaN,18.059,0.058
59179.341,NaN,NaN,17.970,0.117
59179.355,NaN,NaN,18.015,0.087
59179.359,NaN,NaN,18.063,0.075
59179.365,NaN,NaN,18.159,0.112
59183.403,NaN,NaN,17.983,0.163
59183.411,NaN,NaN,17.819,0.118
59184.350,NaN,NaN,18.215,0.128
59184.353,NaN,NaN,18.144,0.120
59184.360,NaN,NaN,18.104,0.126
59184.372,NaN,NaN,18.144,0.106
59185.412,NaN,NaN,17.934,0.077
59185.425,NaN,NaN,18.064,0.097
59185.429,NaN,NaN,18.005,0.094
59185.437,NaN,NaN,18.185,0.105
59186.395,NaN,NaN,17.866,0.066
59186.398,NaN,NaN,18.142,0.099
59186.405,NaN,NaN,18.001,0.070
59186.420,NaN,NaN,17.860,0.076
59187.413,NaN,NaN,17.978,0.091
59187.418,NaN,NaN,18.285,0.110
59187.426,NaN,NaN,17.971,0.090
59187.429,NaN,NaN,18.005,0.088
59189.326,NaN,NaN,17.963,0.052
59189.342,NaN,NaN,18.069,0.064
59189.345,NaN,NaN,18.007,0.050
59189.362,NaN,NaN,17.862,0.059
59190.306,NaN,NaN,18.026,0.059
59190.310,NaN,NaN,18.070,0.062
59190.315,NaN,NaN,17.964,0.055
59190.328,NaN,NaN,18.009,0.067
59191.308,18.808,0.115,NaN,NaN
59191.311,18.617,0.093,NaN,NaN
59191.323,18.457,0.079,NaN,NaN
59191.328,18.490,0.081,NaN,NaN
59194.345,18.567,0.088,NaN,NaN
59194.348,18.471,0.071,NaN,NaN
59194.354,18.482,0.088,NaN,NaN
59194.365,18.507,0.084,NaN,NaN
59200.300,18.526,0.081,NaN,NaN
59200.303,18.536,0.080,NaN,NaN
59200.311,18.635,0.091,NaN,NaN
59200.323,18.402,0.062,NaN,NaN
59205.284,NaN,NaN,18.021,0.062
59205.287,NaN,NaN,18.161,0.083
59205.311,NaN,NaN,18.155,0.079
59205.322,NaN,NaN,18.056,0.069
59208.285,NaN,NaN,18.239,0.104
59208.288,NaN,NaN,18.294,0.129
59208.294,NaN,NaN,18.079,0.087
59208.308,NaN,NaN,18.066,0.111
59209.329,NaN,NaN,18.197,0.174
59209.338,NaN,NaN,18.213,0.155
59209.342,NaN,NaN,18.025,0.129
59209.370,NaN,NaN,18.151,0.136
59210.393,NaN,NaN,17.962,0.147
59210.397,NaN,NaN,17.890,0.135
59212.345,NaN,NaN,18.092,0.101
59212.348,NaN,NaN,18.078,0.095
59212.355,NaN,NaN,18.557,0.183
59212.372,NaN,NaN,17.989,0.101
59214.278,NaN,NaN,18.059,0.085
59214.281,NaN,NaN,18.438,0.142
59214.287,NaN,NaN,18.343,0.137
59214.308,NaN,NaN,18.044,0.103
59216.278,NaN,NaN,18.059,0.083
59216.281,NaN,NaN,18.169,0.081
59216.298,NaN,NaN,18.003,0.074
59217.359,NaN,NaN,18.204,0.107
59217.363,NaN,NaN,18.247,0.104
59217.378,NaN,NaN,18.373,0.125
59217.392,NaN,NaN,18.255,0.104
59218.292,18.567,0.100,NaN,NaN
59218.299,18.538,0.073,NaN,NaN
59218.303,18.603,0.087,NaN,NaN
59218.313,19.011,0.124,NaN,NaN
59218.354,18.677,0.107,NaN,NaN
59219.358,18.748,0.114,NaN,NaN
59219.361,18.912,0.132,NaN,NaN
59219.380,19.094,0.169,NaN,NaN
59219.391,19.353,0.230,NaN,NaN
59220.292,18.837,0.113,NaN,NaN
59220.296,18.933,0.095,NaN,NaN
59220.303,18.848,0.121,NaN,NaN
59220.314,18.801,0.098,NaN,NaN
59222.269,18.836,0.102,NaN,NaN
59222.272,18.880,0.113,NaN,NaN
59222.279,18.774,0.106,NaN,NaN
59222.290,18.605,0.084,NaN,NaN
59226.283,19.041,0.108,NaN,NaN
59226.287,19.087,0.126,NaN,NaN
59226.293,18.861,0.100,NaN,NaN
59226.307,18.940,0.111,NaN,NaN
59228.333,18.983,0.143,NaN,NaN
59228.337,19.332,0.169,NaN,NaN
59228.344,19.118,0.151,NaN,NaN
59228.357,19.005,0.122,NaN,NaN
59230.245,19.375,0.159,NaN,NaN
59230.250,19.315,0.138,NaN,NaN
59230.254,19.077,0.085,NaN,NaN
59230.275,19.084,0.112,NaN,NaN
59235.294,NaN,NaN,18.989,0.241
