MJD,c,c_err,o,o_err
59120.628,NaN,NaN,18.537,0.089
59122.613,NaN,NaN,18.394,0.130
59122.619,NaN,NaN,18.282,0.100
59122.632,NaN,NaN,18.009,0.069
59122.637,NaN,NaN,18.290,0.090
59126.563,NaN,NaN,18.004,0.077
59126.566,NaN,NaN,18.211,0.105
59126.572,NaN,NaN,18.120,0.084
59126.582,NaN,NaN,17.899,0.078
59128.609,NaN,NaN,17.878,0.071
59128.615,NaN,NaN,17.898,0.068
59128.620,NaN,NaN,17.969,0.071
59128.625,NaN,NaN,18.109,0.080
59130.564,NaN,NaN,17.928,0.053
59130.570,NaN,NaN,17.857,0.062
59130.582,NaN,NaN,17.956,0.060
59130.586,NaN,NaN,17.697,0.049
59132.605,NaN,NaN,17.755,0.051
59132.609,NaN,NaN,18.004,0.062
59132.626,NaN,NaN,17.960,0.066
59132.636,NaN,NaN,17.809,0.055
59136.606,17.903,0.041,NaN,NaN
59136.610,18.028,0.044,NaN,NaN
59136.627,17.974,0.044,NaN,NaN
59136.641,17.848,0.043,NaN,NaN
59138.621,NaN,NaN,17.586,0.061
59138.629,NaN,NaN,18.581,0.145
59140.609,18.023,0.066,NaN,NaN
59140.625,18.131,0.125,NaN,NaN
59142.534,NaN,NaN,18.668,0.267
59142.539,NaN,NaN,18.054,0.086
59142.547,NaN,NaN,17.813,0.075
59144.553,18.047,0.044,NaN,NaN
59144.557,18.067,0.041,NaN,NaN
59144.563,18.025,0.044,NaN,NaN
59144.573,18.051,0.045,NaN,NaN
59146.593,NaN,NaN,17.716,0.034
59148.600,17.688,0.104,NaN,NaN
59148.602,17.955,0.161,NaN,NaN
59150.646,NaN,NaN,18.079,0.056
59154.554,NaN,NaN,18.328,0.088
59154.556,NaN,NaN,17.758,0.062
59154.559,NaN,NaN,17.839,0.068
59154.568,NaN,NaN,17.805,0.080
59156.534,NaN,NaN,18.248,0.113
59156.548,NaN,NaN,17.858,0.096
59156.551,NaN,NaN,18.019,0.091
59156.557,NaN,NaN,17.733,0.081
59162.539,NaN,NaN,18.091,0.061
59162.541,NaN,NaN,18.100,0.061
59162.550,NaN,NaN,18.062,0.065
59162.555,NaN,NaN,17.865,0.050
59168.595,19.087,0.129,NaN,NaN
59168.626,18.445,0.071,NaN,NaN
59168.635,18.425,0.061,NaN,NaN
59176.602,18.639,0.103,NaN,NaN
59176.605,18.719,0.195,NaN,NaN
59176.613,18.585,0.097,NaN,NaN
59176.626,18.305,0.076,NaN,NaN
59180.495,NaN,NaN,17.902,0.081
59180.498,NaN,NaN,17.862,0.059
59180.523,NaN,NaN,17.792,0.053
59180.524,NaN,NaN,18.022,0.069
59180.526,NaN,NaN,17.963,0.071
59180.527,NaN,NaN,17.907,0.053
59180.530,NaN,NaN,17.893,0.070
59180.535,NaN,NaN,17.716,0.068
59182.437,NaN,NaN,18.234,0.113
59182.441,NaN,NaN,18.132,0.121
59182.446,NaN,NaN,17.968,0.103
59182.457,NaN,NaN,18.023,0.095
59184.402,NaN,NaN,18.057,0.138
59184.408,NaN,NaN,17.791,0.103
59184.421,NaN,NaN,17.818,0.143
59190.470,NaN,NaN,18.407,0.071
59190.478,NaN,NaN,17.911,0.049
59190.484,NaN,NaN,18.078,0.055
59192.495,NaN,NaN,18.023,0.056
59192.498,NaN,NaN,17.669,0.044
59192.503,NaN,NaN,17.742,0.046
59192.507,NaN,NaN,18.180,0.059
59192.545,NaN,NaN,17.946,0.043
59192.573,NaN,NaN,18.024,0.063
59194.472,18.525,0.064,NaN,NaN
59200.370,18.716,0.081,NaN,NaN
59200.376,18.544,0.080,NaN,NaN
59200.403,18.539,0.064,NaN,NaN
59200.408,18.780,0.073,NaN,NaN
59204.629,18.895,0.117,NaN,NaN
59204.639,19.400,0.186,NaN,NaN
59204.654,18.304,0.061,NaN,NaN
59206.428,NaN,NaN,18.124,0.066
59206.432,NaN,NaN,18.626,0.096
59206.439,NaN,NaN,18.238,0.063
59206.456,NaN,NaN,18.038,0.054
59208.524,NaN,NaN,18.054,0.082
59216.353,NaN,NaN,18.204,0.102
59216.371,NaN,NaN,18.009,0.090
59216.374,NaN,NaN,18.475,0.125
59216.394,NaN,NaN,18.086,0.093
59218.471,NaN,NaN,18.607,0.120
59218.475,NaN,NaN,18.267,0.078
59218.480,NaN,NaN,18.310,0.087
59218.491,NaN,NaN,18.236,0.071
59222.397,18.907,0.090,NaN,NaN
59222.400,18.599,0.061,NaN,NaN
59222.407,18.675,0.070,NaN,NaN
59222.412,18.895,0.080,NaN,NaN
59226.435,18.578,0.055,NaN,NaN
59226.438,18.884,0.072,NaN,NaN
59226.444,18.771,0.076,NaN,NaN
59228.484,18.712,0.080,NaN,NaN
59228.487,18.800,0.088,NaN,NaN
59228.493,19.067,0.102,NaN,NaN
59230.358,18.884,0.090,NaN,NaN
59230.361,18.942,0.091,NaN,NaN
59230.367,19.032,0.103,NaN,NaN
59230.394,18.500,0.062,NaN,NaN
59238.359,NaN,NaN,18.322,0.088
59238.361,NaN,NaN,19.072,0.168
59238.364,NaN,NaN,18.755,0.147
59238.372,NaN,NaN,18.512,0.152
59244.439,NaN,NaN,19.168,0.281
59244.443,NaN,NaN,18.813,0.215
59244.449,NaN,NaN,18.753,0.177
59246.377,NaN,NaN,19.111,0.132
59246.386,NaN,NaN,18.426,0.085
59246.396,NaN,NaN,18.700,0.107
59250.356,19.316,0.118,NaN,NaN
59250.360,19.099,0.094,NaN,NaN
59250.366,19.469,0.123,NaN,NaN
59250.379,19.686,0.187,NaN,NaN
59252.418,19.272,0.129,NaN,NaN
59252.431,19.879,0.202,NaN,NaN
59254.370,20.089,0.237,NaN,NaN
59254.379,19.964,0.207,NaN,NaN
59254.394,19.553,0.159,NaN,NaN
59256.372,20.104,0.245,NaN,NaN
59256.376,19.444,0.133,NaN,NaN
59256.383,19.963,0.253,NaN,NaN
59258.391,20.257,0.252,NaN,NaN
59288.323,19.842,0.231,NaN,NaN
59304.265,NaN,NaN,19.636,0.259
59310.265,20.173,0.240,NaN,NaN
59318.242,20.017,0.238,NaN,NaN
