MJD,c,c_err,o,o_err
59122.614,NaN,NaN,18.373,0.112
59122.620,NaN,NaN,18.302,0.095
59122.634,NaN,NaN,18.608,0.119
59122.640,NaN,NaN,18.427,0.134
59126.573,NaN,NaN,18.059,0.070
59126.577,NaN,NaN,18.292,0.090
59126.582,NaN,NaN,18.235,0.096
59126.597,NaN,NaN,18.051,0.082
59128.610,NaN,NaN,18.155,0.090
59128.615,NaN,NaN,18.177,0.088
59128.619,NaN,NaN,18.301,0.093
59128.628,NaN,NaN,18.211,0.088
59130.605,NaN,NaN,18.194,0.078
59130.624,NaN,NaN,18.150,0.063
59130.634,NaN,NaN,18.224,0.090
59132.587,NaN,NaN,18.227,0.107
59132.605,NaN,NaN,18.055,0.080
59132.620,NaN,NaN,18.346,0.099
59132.627,NaN,NaN,18.055,0.075
59138.604,NaN,NaN,18.080,0.070
59138.608,NaN,NaN,18.082,0.127
59138.619,NaN,NaN,17.806,0.102
59138.630,NaN,NaN,18.232,0.130
59140.615,18.337,0.063,NaN,NaN
59140.624,18.283,0.079,NaN,NaN
59140.628,18.267,0.118,NaN,NaN
59142.540,NaN,NaN,18.389,0.112
59142.544,NaN,NaN,17.849,0.066
59142.549,NaN,NaN,18.076,0.089
59142.560,NaN,NaN,18.268,0.108
59144.565,18.210,0.052,NaN,NaN
59144.569,18.348,0.051,NaN,NaN
59144.576,18.296,0.057,NaN,NaN
59146.600,NaN,NaN,18.128,0.042
59146.608,NaN,NaN,18.155,0.054
59146.611,NaN,NaN,18.149,0.051
59146.630,NaN,NaN,18.145,0.044
59150.615,NaN,NaN,18.120,0.046
59150.625,NaN,NaN,17.987,0.051
59150.631,NaN,NaN,18.100,0.043
59150.636,NaN,NaN,18.080,0.050
59154.508,NaN,NaN,18.093,0.102
59154.514,NaN,NaN,17.896,0.082
59154.518,NaN,NaN,18.080,0.090
59154.530,NaN,NaN,17.890,0.079
59156.533,NaN,NaN,17.960,0.126
59156.545,NaN,NaN,18.021,0.115
59156.549,NaN,NaN,17.905,0.097
59156.554,NaN,NaN,18.105,0.119
59156.556,NaN,NaN,17.864,0.071
59156.560,NaN,NaN,18.024,0.094
59156.566,NaN,NaN,17.912,0.068
59156.576,NaN,NaN,17.829,0.072
59162.564,NaN,NaN,18.023,0.059
59162.567,NaN,NaN,17.985,0.057
59162.570,NaN,NaN,17.903,0.060
59162.579,NaN,NaN,17.980,0.051
59170.616,NaN,NaN,17.972,0.141
59176.619,18.298,0.073,NaN,NaN
59176.624,18.370,0.101,NaN,NaN
59176.628,18.344,0.078,NaN,NaN
59176.637,18.480,0.166,NaN,NaN
59180.537,NaN,NaN,17.965,0.069
59180.539,NaN,NaN,18.074,0.113
59180.542,NaN,NaN,17.886,0.094
59182.464,NaN,NaN,17.985,0.081
59182.468,NaN,NaN,18.261,0.111
59182.476,NaN,NaN,18.054,0.098
59182.490,NaN,NaN,18.111,0.093
59184.422,NaN,NaN,17.924,0.102
59184.425,NaN,NaN,17.884,0.112
59184.431,NaN,NaN,17.992,0.113
59184.444,NaN,NaN,17.801,0.080
59190.443,NaN,NaN,18.054,0.057
59190.448,NaN,NaN,18.056,0.050
59190.451,NaN,NaN,17.984,0.047
59190.461,NaN,NaN,17.821,0.040
59192.497,NaN,NaN,17.870,0.045
59192.500,NaN,NaN,18.004,0.057
59192.502,NaN,NaN,17.903,0.044
59192.512,NaN,NaN,17.951,0.050
59194.511,18.568,0.076,NaN,NaN
59194.513,18.626,0.075,NaN,NaN
59194.516,19.396,0.180,NaN,NaN
59194.542,18.294,0.055,NaN,NaN
59194.569,18.370,0.070,NaN,NaN
59194.597,18.549,0.073,NaN,NaN
59194.622,18.378,0.070,NaN,NaN
59200.458,18.407,0.070,NaN,NaN
59200.462,18.620,0.079,NaN,NaN
59200.465,18.550,0.085,NaN,NaN
59200.488,18.488,0.073,NaN,NaN
59202.637,18.492,0.054,NaN,NaN
59202.650,18.641,0.067,NaN,NaN
59202.654,18.588,0.060,NaN,NaN
59202.658,18.553,0.068,NaN,NaN
59206.441,NaN,NaN,17.979,0.054
59206.446,NaN,NaN,18.042,0.059
59206.463,NaN,NaN,18.049,0.056
59206.467,NaN,NaN,18.079,0.056
59208.460,NaN,NaN,18.051,0.066
59208.462,NaN,NaN,18.099,0.080
59208.465,NaN,NaN,17.850,0.063
59208.471,NaN,NaN,18.147,0.090
59216.450,NaN,NaN,18.059,0.110
59216.451,NaN,NaN,18.271,0.109
59216.456,NaN,NaN,18.112,0.110
59216.468,NaN,NaN,18.153,0.142
59218.484,NaN,NaN,18.247,0.072
59218.488,NaN,NaN,18.233,0.071
59218.493,NaN,NaN,18.108,0.068
59218.493,NaN,NaN,18.373,0.086
59218.496,NaN,NaN,18.178,0.070
59218.502,NaN,NaN,18.167,0.064
59218.512,NaN,NaN,18.136,0.061
59220.498,NaN,NaN,18.291,0.068
59220.502,NaN,NaN,18.395,0.061
59220.507,NaN,NaN,18.337,0.074
59220.518,NaN,NaN,18.353,0.071
59222.368,18.903,0.088,NaN,NaN
59222.374,18.597,0.066,NaN,NaN
59222.377,19.143,0.115,NaN,NaN
59222.395,18.585,0.073,NaN,NaN
59222.410,18.809,0.095,NaN,NaN
59222.412,18.642,0.070,NaN,NaN
59222.416,19.084,0.083,NaN,NaN
59222.433,18.877,0.090,NaN,NaN
59226.456,19.005,0.098,NaN,NaN
59226.459,18.778,0.071,NaN,NaN
59226.494,18.737,0.083,NaN,NaN
59226.499,18.686,0.074,NaN,NaN
59228.487,19.106,0.122,NaN,NaN
59228.490,18.749,0.091,NaN,NaN
59228.496,18.809,0.085,NaN,NaN
59228.509,19.300,0.136,NaN,NaN
59230.357,19.301,0.128,NaN,NaN
59230.361,19.165,0.128,NaN,NaN
59230.366,19.059,0.114,NaN,NaN
59230.372,19.281,0.139,NaN,NaN
59238.334,NaN,NaN,18.724,0.247
59238.356,NaN,NaN,18.498,0.115
59238.362,NaN,NaN,18.460,0.095
59244.453,NaN,NaN,18.945,0.203
59244.456,NaN,NaN,18.910,0.208
59244.472,NaN,NaN,19.155,0.247
59246.391,NaN,NaN,19.111,0.127
59246.394,NaN,NaN,19.155,0.142
59246.426,NaN,NaN,19.288,0.163
59246.432,NaN,NaN,19.876,0.259
59254.404,19.723,0.186,NaN,NaN
59254.529,20.071,0.264,NaN,NaN
59256.462,19.804,0.210,NaN,NaN
59266.478,NaN,NaN,19.596,0.290
59266.497,NaN,NaN,19.800,0.262
59270.349,NaN,NaN,19.077,0.220
59292.328,NaN,NaN,19.652,0.206
59318.266,20.202,0.295,NaN,NaN
59318.271,20.466,0.292,NaN,NaN
