MJD,c,c_err,o,o_err
59123.419,NaN,NaN,19.003,0.209
59125.354,NaN,NaN,17.966,0.070
59125.356,NaN,NaN,18.051,0.076
59125.375,NaN,NaN,17.864,0.066
59125.394,NaN,NaN,18.008,0.073
59127.378,NaN,NaN,17.440,0.064
59129.391,NaN,NaN,17.428,0.033
59129.394,NaN,NaN,17.497,0.039
59129.418,NaN,NaN,17.410,0.033
59129.424,NaN,NaN,17.470,0.036
59131.403,NaN,NaN,17.463,0.037
59131.407,NaN,NaN,17.528,0.041
59131.414,NaN,NaN,17.466,0.036
59131.425,NaN,NaN,17.550,0.038
59133.395,NaN,NaN,17.491,0.035
59133.418,NaN,NaN,17.662,0.038
59133.421,NaN,NaN,17.501,0.032
59133.440,NaN,NaN,17.652,0.066
59137.314,NaN,NaN,17.420,0.025
59137.326,NaN,NaN,17.446,0.028
59137.338,NaN,NaN,17.420,0.031
59137.351,NaN,NaN,17.392,0.025
59139.366,17.408,0.025,NaN,NaN
59139.370,17.349,0.027,NaN,NaN
59139.387,17.441,0.031,NaN,NaN
59139.404,17.429,0.028,NaN,NaN
59141.302,NaN,NaN,17.356,0.026
59141.306,NaN,NaN,17.381,0.026
59141.315,NaN,NaN,17.369,0.029
59141.328,NaN,NaN,17.360,0.027
59143.296,NaN,NaN,17.334,0.031
59143.301,NaN,NaN,17.400,0.034
59143.306,NaN,NaN,17.340,0.036
59143.317,NaN,NaN,17.447,0.073
59145.354,NaN,NaN,17.377,0.026
59145.378,NaN,NaN,17.341,0.027
59145.383,NaN,NaN,17.350,0.029
59145.387,NaN,NaN,17.451,0.031
59147.342,NaN,NaN,17.306,0.036
59147.345,NaN,NaN,17.405,0.039
59147.357,NaN,NaN,17.327,0.038
59147.363,NaN,NaN,17.282,0.038
59153.312,NaN,NaN,17.343,0.045
59153.320,NaN,NaN,17.486,0.053
59153.324,NaN,NaN,17.353,0.045
59153.338,NaN,NaN,17.393,0.055
59157.285,NaN,NaN,17.459,0.029
59157.291,NaN,NaN,17.425,0.033
59157.313,NaN,NaN,17.393,0.054
59157.315,NaN,NaN,17.427,0.081
59161.335,NaN,NaN,17.454,0.036
59161.338,NaN,NaN,17.386,0.030
59161.343,NaN,NaN,17.505,0.029
59161.355,NaN,NaN,17.562,0.030
59163.331,17.596,0.034,NaN,NaN
59163.335,17.544,0.033,NaN,NaN
59163.341,17.596,0.035,NaN,NaN
59163.355,17.619,0.042,NaN,NaN
59165.318,NaN,NaN,17.515,0.032
59165.322,NaN,NaN,17.529,0.031
59165.328,NaN,NaN,17.526,0.030
59169.312,NaN,NaN,17.559,0.036
59169.315,NaN,NaN,17.522,0.033
59169.336,NaN,NaN,17.575,0.038
59169.346,NaN,NaN,17.504,0.038
59179.293,NaN,NaN,17.712,0.059
59179.296,NaN,NaN,17.667,0.051
59179.303,NaN,NaN,17.686,0.070
59181.214,NaN,NaN,17.664,0.047
59184.231,NaN,NaN,17.746,0.062
59184.235,NaN,NaN,17.661,0.045
59184.241,NaN,NaN,17.837,0.063
59184.252,NaN,NaN,17.625,0.060
59185.283,NaN,NaN,17.681,0.063
59185.286,NaN,NaN,17.588,0.049
59185.293,NaN,NaN,18.039,0.072
59185.303,NaN,NaN,17.805,0.082
59186.300,NaN,NaN,17.706,0.057
59186.304,NaN,NaN,17.757,0.074
59186.312,NaN,NaN,17.758,0.080
59186.324,NaN,NaN,17.692,0.077
59187.271,NaN,NaN,17.700,0.047
59187.276,NaN,NaN,17.737,0.051
59187.279,NaN,NaN,17.741,0.046
59187.292,NaN,NaN,17.616,0.052
59187.306,NaN,NaN,17.908,0.090
59187.310,NaN,NaN,18.219,0.132
59189.208,NaN,NaN,17.725,0.037
59189.216,NaN,NaN,17.841,0.044
59189.219,NaN,NaN,17.783,0.045
59189.239,NaN,NaN,17.725,0.040
59191.194,18.080,0.076,NaN,NaN
59191.199,18.087,0.058,NaN,NaN
59191.211,18.232,0.054,NaN,NaN
59191.217,18.115,0.048,NaN,NaN
59191.234,18.407,0.107,NaN,NaN
59191.237,18.281,0.082,NaN,NaN
59193.270,NaN,NaN,17.869,0.054
59193.275,NaN,NaN,17.873,0.048
59193.288,NaN,NaN,17.858,0.060
59193.292,NaN,NaN,17.894,0.060
59195.250,18.238,0.052,NaN,NaN
59195.254,18.140,0.057,NaN,NaN
59195.261,18.350,0.072,NaN,NaN
59195.272,18.257,0.060,NaN,NaN
59209.228,NaN,NaN,18.114,0.085
59209.232,NaN,NaN,18.200,0.093
59209.237,NaN,NaN,17.937,0.097
59209.237,NaN,NaN,18.063,0.081
59209.242,NaN,NaN,18.095,0.102
59209.249,NaN,NaN,18.092,0.105
59211.234,NaN,NaN,17.961,0.075
59211.238,NaN,NaN,18.174,0.096
59211.244,NaN,NaN,18.261,0.109
59211.255,NaN,NaN,18.068,0.119
59211.256,NaN,NaN,18.136,0.114
59217.222,NaN,NaN,18.251,0.056
59217.228,NaN,NaN,18.286,0.056
59217.232,NaN,NaN,18.279,0.072
59217.242,NaN,NaN,18.259,0.054
59219.240,18.711,0.110,NaN,NaN
59219.243,18.996,0.148,NaN,NaN
59219.250,18.630,0.115,NaN,NaN
59219.260,18.878,0.126,NaN,NaN
59227.211,19.317,0.286,NaN,NaN
59227.214,19.071,0.131,NaN,NaN
59227.220,19.138,0.124,NaN,NaN
59227.231,19.138,0.132,NaN,NaN
