MJD,c,c_err,o,o_err
59128.520,NaN,NaN,18.762,0.173
59128.543,NaN,NaN,19.260,0.199
59129.483,NaN,NaN,18.871,0.154
59129.487,NaN,NaN,19.582,0.286
59129.519,NaN,NaN,19.144,0.224
59129.524,NaN,NaN,19.027,0.220
59130.467,NaN,NaN,19.036,0.131
59130.478,NaN,NaN,19.221,0.150
59130.491,NaN,NaN,18.954,0.123
59132.418,NaN,NaN,18.923,0.082
59132.420,NaN,NaN,18.866,0.080
59132.423,NaN,NaN,18.925,0.100
59132.435,NaN,NaN,18.961,0.122
59134.548,NaN,NaN,18.884,0.131
59134.551,NaN,NaN,18.713,0.113
59134.558,NaN,NaN,19.210,0.193
59134.568,NaN,NaN,18.830,0.143
59136.438,NaN,NaN,18.912,0.103
59136.441,NaN,NaN,18.851,0.092
59136.452,NaN,NaN,18.937,0.094
59136.457,NaN,NaN,18.922,0.108
59138.433,18.337,0.150,NaN,NaN
59138.434,18.559,0.208,NaN,NaN
59138.441,19.052,0.143,NaN,NaN
59138.445,19.199,0.203,NaN,NaN
59140.443,NaN,NaN,18.799,0.097
59140.448,NaN,NaN,18.859,0.084
59140.451,NaN,NaN,18.552,0.078
59140.483,NaN,NaN,18.785,0.087
59142.448,18.926,0.144,NaN,NaN
59142.448,19.132,0.143,NaN,NaN
59142.452,19.100,0.132,NaN,NaN
59142.452,19.007,0.144,NaN,NaN
59142.487,18.986,0.122,NaN,NaN
59142.487,19.057,0.158,NaN,NaN
59142.516,18.895,0.141,NaN,NaN
59144.359,NaN,NaN,19.236,0.278
59144.387,NaN,NaN,19.129,0.152
59144.390,NaN,NaN,19.278,0.204
59144.398,NaN,NaN,19.192,0.139
59146.414,NaN,NaN,18.757,0.105
59146.424,NaN,NaN,18.939,0.126
59146.439,NaN,NaN,18.923,0.108
59146.451,19.058,0.121,NaN,NaN
59148.368,NaN,NaN,18.693,0.118
59148.370,NaN,NaN,18.700,0.121
59148.373,NaN,NaN,18.912,0.124
59148.381,NaN,NaN,18.940,0.125
59156.395,NaN,NaN,18.949,0.153
59156.400,NaN,NaN,18.714,0.126
59156.404,NaN,NaN,18.760,0.131
59156.416,NaN,NaN,18.871,0.132
59157.478,NaN,NaN,19.083,0.217
59157.488,NaN,NaN,19.073,0.224
59157.498,NaN,NaN,19.288,0.290
59157.509,NaN,NaN,19.110,0.279
59158.432,NaN,NaN,19.088,0.169
59158.435,NaN,NaN,18.532,0.102
59158.471,NaN,NaN,18.317,0.162
59160.390,NaN,NaN,18.734,0.102
59160.394,NaN,NaN,18.932,0.139
59160.401,NaN,NaN,18.749,0.109
59160.418,NaN,NaN,19.050,0.129
59161.368,19.181,0.140,NaN,NaN
59161.374,19.222,0.128,NaN,NaN
59161.392,19.316,0.147,NaN,NaN
59161.401,19.645,0.204,NaN,NaN
59170.335,19.554,0.141,NaN,NaN
59170.338,19.660,0.190,NaN,NaN
