MJD,c,c_err,o,o_err
59117.478,19.938,0.267,NaN,NaN
59119.481,NaN,NaN,19.632,0.238
59120.489,NaN,NaN,19.599,0.271
59123.414,NaN,NaN,19.008,0.275
59128.537,NaN,NaN,19.207,0.293
59128.552,NaN,NaN,19.345,0.241
59129.450,NaN,NaN,19.269,0.232
59129.461,NaN,NaN,19.125,0.185
59130.554,NaN,NaN,19.281,0.170
59130.558,NaN,NaN,19.228,0.201
59130.588,NaN,NaN,19.224,0.196
59130.595,NaN,NaN,18.980,0.200
59132.425,NaN,NaN,19.240,0.126
59132.429,NaN,NaN,19.055,0.105
59132.439,NaN,NaN,19.086,0.130
59133.478,NaN,NaN,18.945,0.119
59133.480,NaN,NaN,19.463,0.170
59133.484,NaN,NaN,19.103,0.139
59133.504,NaN,NaN,19.142,0.137
59134.580,NaN,NaN,19.434,0.212
59134.584,NaN,NaN,19.376,0.282
59134.589,NaN,NaN,18.605,0.220
59136.502,NaN,NaN,19.228,0.139
59136.505,NaN,NaN,19.228,0.160
59136.511,NaN,NaN,19.210,0.121
59136.546,NaN,NaN,18.896,0.100
59138.543,19.107,0.100,NaN,NaN
59139.403,NaN,NaN,19.039,0.133
59139.409,NaN,NaN,19.086,0.141
59139.414,NaN,NaN,19.342,0.162
59139.427,NaN,NaN,19.138,0.149
59140.456,NaN,NaN,18.923,0.103
59140.458,NaN,NaN,19.005,0.112
59140.460,NaN,NaN,18.996,0.117
59140.466,NaN,NaN,19.033,0.113
59142.424,19.196,0.150,NaN,NaN
59142.426,19.261,0.157,NaN,NaN
59142.429,19.043,0.116,NaN,NaN
59142.434,19.075,0.124,NaN,NaN
59143.351,NaN,NaN,18.478,0.189
59144.432,NaN,NaN,18.807,0.123
59144.434,NaN,NaN,19.257,0.170
59144.439,NaN,NaN,19.278,0.149
59144.446,NaN,NaN,19.101,0.116
59146.467,19.133,0.121,NaN,NaN
59146.472,19.168,0.146,NaN,NaN
59146.482,19.105,0.126,NaN,NaN
59146.487,19.100,0.118,NaN,NaN
59147.412,NaN,NaN,19.410,0.217
59147.414,NaN,NaN,19.186,0.172
59147.418,NaN,NaN,18.990,0.150
59147.423,NaN,NaN,19.136,0.139
59148.421,NaN,NaN,18.856,0.117
59148.422,NaN,NaN,19.319,0.144
59148.428,NaN,NaN,19.213,0.162
59148.434,NaN,NaN,19.070,0.187
59156.437,NaN,NaN,19.133,0.262
59156.441,NaN,NaN,19.101,0.175
59156.447,NaN,NaN,18.994,0.194
59156.480,NaN,NaN,19.141,0.210
59157.464,NaN,NaN,18.864,0.186
59157.467,NaN,NaN,18.827,0.153
59157.469,NaN,NaN,18.896,0.231
59157.474,NaN,NaN,19.119,0.200
59157.480,NaN,NaN,18.968,0.236
59157.485,NaN,NaN,19.194,0.210
59158.400,NaN,NaN,18.296,0.223
59158.441,NaN,NaN,19.349,0.277
59160.436,NaN,NaN,18.680,0.128
59160.460,NaN,NaN,19.061,0.138
59161.466,NaN,NaN,19.118,0.235
59161.468,NaN,NaN,19.101,0.210
59161.469,NaN,NaN,19.025,0.162
59161.471,NaN,NaN,19.470,0.203
59161.475,NaN,NaN,19.028,0.162
59161.477,NaN,NaN,19.316,0.230
59161.489,NaN,NaN,19.086,0.193
59164.568,NaN,NaN,19.622,0.241
59164.586,NaN,NaN,18.896,0.200
59170.378,19.388,0.141,NaN,NaN
59170.418,19.400,0.191,NaN,NaN
59170.426,19.556,0.199,NaN,NaN
59173.404,19.844,0.240,NaN,NaN
59173.444,19.615,0.214,NaN,NaN
59178.512,NaN,NaN,19.249,0.273
59179.366,NaN,NaN,19.362,0.254
59184.453,NaN,NaN,19.073,0.275
59186.392,NaN,NaN,19.630,0.256
59186.402,NaN,NaN,19.533,0.284
59186.416,NaN,NaN,19.402,0.282
59187.411,NaN,NaN,19.531,0.279
59189.388,NaN,NaN,19.615,0.269
59192.369,NaN,NaN,19.788,0.281
59192.378,NaN,NaN,19.711,0.245
59192.389,NaN,NaN,19.475,0.217
59193.353,20.013,0.300,NaN,NaN
59194.362,20.080,0.250,NaN,NaN
59194.380,19.838,0.209,NaN,NaN
59196.412,19.335,0.252,NaN,NaN
59200.333,20.084,0.266,NaN,NaN
59204.286,NaN,NaN,19.913,0.294
59216.334,NaN,NaN,19.433,0.234
59216.340,NaN,NaN,19.593,0.231
59217.306,NaN,NaN,19.701,0.199
59217.315,NaN,NaN,20.110,0.299
59219.354,20.077,0.290,NaN,NaN
59228.338,20.094,0.279,NaN,NaN
