MJD,c,c_err,o,o_err
59141.575,NaN,NaN,18.487,0.153
59141.579,NaN,NaN,18.658,0.080
59141.584,NaN,NaN,18.580,0.069
59141.600,NaN,NaN,18.460,0.067
59145.607,NaN,NaN,18.527,0.072
59145.616,NaN,NaN,18.579,0.078
59145.625,NaN,NaN,18.403,0.062
59145.628,NaN,NaN,18.483,0.072
59147.608,18.514,0.075,NaN,NaN
59147.611,18.564,0.068,NaN,NaN
59147.617,18.382,0.057,NaN,NaN
59147.623,18.425,0.075,NaN,NaN
59153.558,NaN,NaN,18.308,0.125
59153.568,NaN,NaN,18.327,0.117
59153.571,NaN,NaN,18.370,0.095
59153.581,NaN,NaN,18.560,0.111
59157.518,NaN,NaN,18.477,0.136
59157.522,NaN,NaN,18.536,0.127
59157.528,NaN,NaN,18.333,0.122
59157.538,NaN,NaN,18.465,0.103
59163.569,NaN,NaN,18.503,0.084
59163.573,NaN,NaN,18.414,0.071
59163.579,NaN,NaN,18.468,0.071
59163.608,NaN,NaN,18.410,0.087
59175.574,18.847,0.099,NaN,NaN
59175.577,18.705,0.093,NaN,NaN
59175.579,18.567,0.092,NaN,NaN
59175.584,18.687,0.102,NaN,NaN
59179.536,NaN,NaN,18.406,0.092
59179.537,NaN,NaN,18.395,0.088
59179.543,NaN,NaN,18.490,0.095
59179.559,NaN,NaN,18.095,0.066
59181.444,NaN,NaN,18.378,0.110
59181.449,NaN,NaN,18.052,0.075
59181.452,NaN,NaN,18.100,0.081
59181.463,NaN,NaN,18.417,0.130
59183.466,NaN,NaN,18.273,0.187
59184.488,NaN,NaN,18.214,0.121
59184.496,NaN,NaN,18.241,0.140
59184.500,NaN,NaN,18.329,0.138
59184.508,NaN,NaN,18.505,0.160
59189.476,NaN,NaN,18.388,0.094
59189.489,NaN,NaN,18.315,0.073
59189.510,NaN,NaN,18.341,0.082
59189.513,NaN,NaN,18.266,0.085
59191.471,NaN,NaN,18.201,0.068
59191.505,NaN,NaN,18.296,0.079
59191.508,NaN,NaN,18.133,0.067
59191.511,NaN,NaN,18.431,0.089
59193.517,NaN,NaN,18.526,0.068
59193.521,NaN,NaN,18.440,0.068
59193.527,NaN,NaN,18.287,0.060
59193.550,NaN,NaN,18.234,0.054
59195.511,18.729,0.082,NaN,NaN
59195.532,18.843,0.082,NaN,NaN
59195.534,18.910,0.075,NaN,NaN
59195.547,18.681,0.075,NaN,NaN
59197.460,18.815,0.082,NaN,NaN
59197.463,18.662,0.073,NaN,NaN
59197.466,18.934,0.083,NaN,NaN
59197.471,18.768,0.068,NaN,NaN
59205.478,18.535,0.061,NaN,NaN
59205.480,18.806,0.079,NaN,NaN
59205.484,18.542,0.071,NaN,NaN
59205.520,18.868,0.085,NaN,NaN
59206.448,NaN,NaN,18.348,0.074
59206.452,NaN,NaN,18.380,0.074
59206.462,NaN,NaN,18.184,0.054
59206.475,NaN,NaN,18.147,0.057
59207.443,NaN,NaN,18.284,0.083
59207.446,NaN,NaN,18.347,0.083
59207.451,NaN,NaN,18.262,0.088
59207.464,NaN,NaN,18.240,0.074
59209.461,NaN,NaN,18.234,0.082
59209.484,NaN,NaN,18.287,0.083
59209.489,NaN,NaN,18.237,0.074
59209.500,NaN,NaN,18.126,0.066
59217.517,NaN,NaN,18.434,0.101
59217.523,NaN,NaN,18.063,0.075
59217.539,NaN,NaN,18.356,0.099
59217.546,NaN,NaN,18.189,0.072
59219.512,NaN,NaN,18.383,0.109
59219.515,NaN,NaN,18.431,0.102
59219.523,NaN,NaN,18.234,0.092
59219.533,NaN,NaN,18.051,0.068
59221.426,18.946,0.074,NaN,NaN
59221.432,18.921,0.081,NaN,NaN
59221.435,18.808,0.072,NaN,NaN
59221.454,18.897,0.085,NaN,NaN
59223.437,19.086,0.146,NaN,NaN
59223.439,18.738,0.113,NaN,NaN
59223.443,19.060,0.115,NaN,NaN
59223.459,19.298,0.254,NaN,NaN
59227.623,19.085,0.136,NaN,NaN
59227.626,18.933,0.109,NaN,NaN
59227.632,19.021,0.108,NaN,NaN
59229.392,19.232,0.166,NaN,NaN
59229.469,19.224,0.120,NaN,NaN
59229.472,19.068,0.119,NaN,NaN
59229.472,18.974,0.094,NaN,NaN
59229.493,19.117,0.118,NaN,NaN
59229.494,19.553,0.166,NaN,NaN
59229.501,18.814,0.102,NaN,NaN
59229.506,19.126,0.116,NaN,NaN
59229.509,19.158,0.096,NaN,NaN
59231.401,18.963,0.101,NaN,NaN
59231.403,19.003,0.102,NaN,NaN
59231.432,19.309,0.125,NaN,NaN
59231.461,19.257,0.126,NaN,NaN
59235.463,19.602,0.172,NaN,NaN
59235.474,19.645,0.227,NaN,NaN
59235.491,19.434,0.174,NaN,NaN
59245.465,NaN,NaN,19.299,0.285
59245.469,NaN,NaN,19.228,0.290
59245.479,NaN,NaN,19.160,0.196
59251.442,19.849,0.233,NaN,NaN
59257.393,20.446,0.272,NaN,NaN
59267.315,NaN,NaN,19.243,0.239
59292.343,NaN,NaN,19.935,0.295
59293.328,NaN,NaN,19.878,0.230
59303.350,NaN,NaN,19.420,0.291
59307.379,NaN,NaN,19.630,0.271
59309.295,20.131,0.229,NaN,NaN
59321.250,NaN,NaN,19.988,0.295
59321.256,NaN,NaN,19.723,0.284
59335.260,NaN,NaN,19.995,0.296
