MJD,c,c_err,o,o_err
59132.610,NaN,NaN,18.686,0.269
59132.627,NaN,NaN,18.313,0.139
59136.604,NaN,NaN,18.407,0.071
59136.626,NaN,NaN,18.432,0.079
59136.631,NaN,NaN,18.450,0.081
59136.637,NaN,NaN,18.239,0.104
59138.615,18.541,0.157,NaN,NaN
59138.635,18.210,0.211,NaN,NaN
59138.644,18.179,0.116,NaN,NaN
59140.585,NaN,NaN,18.274,0.079
59140.590,NaN,NaN,18.057,0.057
59140.595,NaN,NaN,18.218,0.059
59140.610,NaN,NaN,18.341,0.069
59142.570,18.533,0.069,NaN,NaN
59142.574,18.428,0.071,NaN,NaN
59142.580,18.277,0.063,NaN,NaN
59142.595,18.472,0.074,NaN,NaN
59144.569,NaN,NaN,18.200,0.064
59144.572,NaN,NaN,18.133,0.059
59144.577,NaN,NaN,18.269,0.066
59144.589,NaN,NaN,19.022,0.267
59148.578,NaN,NaN,18.200,0.139
59154.610,NaN,NaN,18.261,0.171
59154.617,NaN,NaN,18.799,0.256
59154.636,NaN,NaN,18.751,0.299
59156.547,NaN,NaN,18.648,0.117
59156.550,NaN,NaN,18.680,0.139
59156.556,NaN,NaN,18.680,0.154
59156.567,NaN,NaN,19.030,0.171
59158.554,NaN,NaN,18.479,0.138
59158.561,NaN,NaN,18.861,0.190
59158.573,NaN,NaN,18.716,0.168
59160.582,NaN,NaN,18.597,0.128
59160.588,NaN,NaN,18.758,0.131
59160.591,NaN,NaN,18.563,0.125
59160.602,NaN,NaN,18.945,0.147
59170.559,18.909,0.121,NaN,NaN
59170.562,19.217,0.134,NaN,NaN
59170.565,19.690,0.187,NaN,NaN
59170.571,19.565,0.152,NaN,NaN
59178.567,19.783,0.177,NaN,NaN
59178.569,19.557,0.136,NaN,NaN
59178.571,19.420,0.128,NaN,NaN
59178.576,19.888,0.237,NaN,NaN
59180.492,NaN,NaN,19.079,0.198
59180.495,NaN,NaN,19.349,0.224
59180.502,NaN,NaN,19.201,0.179
59182.504,NaN,NaN,18.816,0.182
59182.506,NaN,NaN,18.784,0.158
59182.509,NaN,NaN,18.734,0.196
59182.514,NaN,NaN,18.731,0.190
59184.543,NaN,NaN,19.003,0.239
59184.545,NaN,NaN,18.690,0.198
59184.550,NaN,NaN,18.561,0.145
59184.555,NaN,NaN,19.225,0.254
59186.530,NaN,NaN,18.770,0.276
59186.538,NaN,NaN,18.586,0.208
59190.539,NaN,NaN,19.129,0.161
59190.540,NaN,NaN,18.808,0.119
59190.556,NaN,NaN,18.789,0.144
59192.578,NaN,NaN,19.238,0.164
59192.613,NaN,NaN,18.824,0.134
59192.641,NaN,NaN,18.944,0.148
59192.661,NaN,NaN,18.747,0.157
59194.509,20.268,0.257,NaN,NaN
59194.513,19.765,0.169,NaN,NaN
59194.515,20.085,0.242,NaN,NaN
59194.546,19.960,0.185,NaN,NaN
59196.549,19.566,0.194,NaN,NaN
59204.515,20.101,0.299,NaN,NaN
59204.532,20.055,0.298,NaN,NaN
59206.495,20.247,0.270,NaN,NaN
59220.545,NaN,NaN,19.550,0.166
59230.443,20.038,0.250,NaN,NaN
59280.395,NaN,NaN,20.087,0.293
59336.293,NaN,NaN,19.825,0.251
