MJD,c,c_err,o,o_err
59140.442,18.723,0.110,NaN,NaN
59140.446,19.078,0.148,NaN,NaN
59140.451,18.770,0.104,NaN,NaN
59140.461,18.657,0.113,NaN,NaN
59142.342,NaN,NaN,18.873,0.158
59142.348,NaN,NaN,18.893,0.120
59142.351,NaN,NaN,19.014,0.165
59142.372,NaN,NaN,18.850,0.132
59144.446,18.449,0.068,NaN,NaN
59144.450,18.633,0.068,NaN,NaN
59144.484,18.393,0.057,NaN,NaN
59144.490,18.725,0.083,NaN,NaN
59146.444,NaN,NaN,18.661,0.082
59146.447,NaN,NaN,18.691,0.087
59146.453,NaN,NaN,18.622,0.088
59146.464,NaN,NaN,18.725,0.096
59148.427,NaN,NaN,18.597,0.116
59148.430,NaN,NaN,18.985,0.200
59148.436,NaN,NaN,18.365,0.110
59148.446,NaN,NaN,18.538,0.139
59154.429,NaN,NaN,18.515,0.161
59154.432,NaN,NaN,18.514,0.132
59154.439,NaN,NaN,18.782,0.235
59154.451,NaN,NaN,18.544,0.164
59156.450,NaN,NaN,18.851,0.230
59156.453,NaN,NaN,18.887,0.178
59156.459,NaN,NaN,18.573,0.157
59156.471,NaN,NaN,18.410,0.119
59162.421,NaN,NaN,18.601,0.086
59162.424,NaN,NaN,18.566,0.095
59162.430,NaN,NaN,18.573,0.074
59162.440,NaN,NaN,18.557,0.093
59170.378,NaN,NaN,18.528,0.089
59170.410,NaN,NaN,18.364,0.089
59170.413,NaN,NaN,18.609,0.101
59170.419,NaN,NaN,18.537,0.085
59170.424,NaN,NaN,18.727,0.115
59170.427,NaN,NaN,18.587,0.103
59170.433,NaN,NaN,18.583,0.092
59170.443,NaN,NaN,18.615,0.094
59180.377,NaN,NaN,18.460,0.229
59180.381,NaN,NaN,18.224,0.152
59180.387,NaN,NaN,18.618,0.233
59180.399,NaN,NaN,18.485,0.273
59182.331,NaN,NaN,18.855,0.222
59182.334,NaN,NaN,18.879,0.237
59182.366,NaN,NaN,18.523,0.174
59182.371,NaN,NaN,18.225,0.129
59184.363,NaN,NaN,18.535,0.274
59184.366,NaN,NaN,18.385,0.243
59184.372,NaN,NaN,18.420,0.234
59184.383,NaN,NaN,18.563,0.267
59185.426,NaN,NaN,18.676,0.131
59185.429,NaN,NaN,18.354,0.117
59185.440,NaN,NaN,18.415,0.133
59185.448,NaN,NaN,19.229,0.286
59186.400,NaN,NaN,18.693,0.175
59186.406,NaN,NaN,18.696,0.134
59186.409,NaN,NaN,18.475,0.103
59186.421,NaN,NaN,18.560,0.127
59190.314,NaN,NaN,18.401,0.073
59190.318,NaN,NaN,18.751,0.104
59190.323,NaN,NaN,18.685,0.102
59190.359,NaN,NaN,18.707,0.112
59192.304,18.822,0.084,NaN,NaN
59192.337,19.180,0.124,NaN,NaN
59192.340,18.994,0.087,NaN,NaN
59192.347,19.061,0.104,NaN,NaN
59194.347,19.117,0.129,NaN,NaN
59194.350,19.215,0.145,NaN,NaN
59194.357,18.726,0.098,NaN,NaN
59194.370,18.962,0.096,NaN,NaN
59200.305,18.832,0.085,NaN,NaN
59200.309,19.338,0.126,NaN,NaN
59200.314,19.162,0.129,NaN,NaN
59200.327,18.918,0.093,NaN,NaN
59206.281,NaN,NaN,18.659,0.117
59206.284,NaN,NaN,18.374,0.091
59206.290,NaN,NaN,18.731,0.124
59206.301,NaN,NaN,18.786,0.124
59208.297,NaN,NaN,18.688,0.138
59208.300,NaN,NaN,18.563,0.124
59208.307,NaN,NaN,18.517,0.135
59208.318,NaN,NaN,18.773,0.148
59210.401,NaN,NaN,18.704,0.245
59214.288,NaN,NaN,18.407,0.115
59214.292,NaN,NaN,19.027,0.211
59214.298,NaN,NaN,18.708,0.184
59214.310,NaN,NaN,18.657,0.150
59216.280,NaN,NaN,18.473,0.112
59216.283,NaN,NaN,18.520,0.122
59216.290,NaN,NaN,18.574,0.129
59216.300,NaN,NaN,18.798,0.151
59218.293,19.073,0.103,NaN,NaN
59218.300,19.069,0.095,NaN,NaN
59218.304,19.148,0.101,NaN,NaN
59218.314,19.130,0.101,NaN,NaN
59220.312,19.006,0.092,NaN,NaN
59220.315,18.971,0.103,NaN,NaN
59220.323,19.072,0.097,NaN,NaN
59220.334,19.009,0.115,NaN,NaN
59222.271,19.159,0.119,NaN,NaN
59222.274,18.814,0.074,NaN,NaN
59222.281,19.100,0.104,NaN,NaN
59222.292,18.843,0.079,NaN,NaN
59226.299,19.258,0.138,NaN,NaN
59226.302,19.037,0.108,NaN,NaN
59226.309,19.336,0.123,NaN,NaN
59226.320,19.058,0.114,NaN,NaN
59228.339,19.030,0.107,NaN,NaN
59228.342,19.384,0.161,NaN,NaN
59228.347,19.240,0.162,NaN,NaN
59228.358,19.132,0.135,NaN,NaN
59230.256,19.064,0.109,NaN,NaN
59230.259,19.315,0.152,NaN,NaN
59230.265,18.909,0.092,NaN,NaN
59230.275,19.020,0.114,NaN,NaN
59238.239,NaN,NaN,18.698,0.221
59238.243,NaN,NaN,18.736,0.127
59238.249,NaN,NaN,19.106,0.175
59242.318,NaN,NaN,18.290,0.165
59244.304,NaN,NaN,18.523,0.148
59244.308,NaN,NaN,18.804,0.179
59244.313,NaN,NaN,18.863,0.225
59244.326,NaN,NaN,18.670,0.172
59246.227,NaN,NaN,18.988,0.134
59246.236,NaN,NaN,18.931,0.084
59246.247,NaN,NaN,18.863,0.107
