MJD,c,c_err,o,o_err
59164.516,NaN,NaN,18.749,0.135
59164.518,NaN,NaN,18.962,0.172
59164.522,NaN,NaN,18.848,0.137
59164.529,NaN,NaN,18.828,0.120
59178.507,NaN,NaN,17.256,0.032
59178.525,NaN,NaN,17.285,0.031
59179.471,NaN,NaN,17.309,0.086
59179.474,NaN,NaN,17.318,0.043
59179.479,NaN,NaN,17.344,0.037
59179.489,NaN,NaN,17.317,0.087
59180.426,NaN,NaN,17.394,0.049
59180.429,NaN,NaN,17.340,0.044
59180.436,NaN,NaN,17.325,0.043
59180.446,NaN,NaN,17.354,0.040
59181.546,NaN,NaN,17.455,0.055
59181.550,NaN,NaN,17.415,0.044
59181.556,NaN,NaN,17.494,0.053
59181.567,NaN,NaN,17.344,0.054
59182.418,NaN,NaN,17.376,0.063
59182.421,NaN,NaN,17.464,0.073
59182.424,NaN,NaN,17.421,0.063
59182.431,NaN,NaN,17.609,0.078
59183.385,NaN,NaN,17.507,0.097
59183.389,NaN,NaN,17.358,0.083
59183.417,NaN,NaN,17.480,0.086
59184.491,NaN,NaN,17.542,0.072
59184.494,NaN,NaN,17.813,0.094
59184.528,NaN,NaN,17.524,0.069
59184.556,NaN,NaN,17.418,0.078
59186.511,NaN,NaN,17.707,0.067
59186.515,NaN,NaN,17.713,0.088
59186.522,NaN,NaN,17.731,0.065
59186.556,NaN,NaN,17.639,0.077
59187.445,NaN,NaN,17.508,0.052
59187.447,NaN,NaN,17.710,0.071
59187.450,NaN,NaN,17.580,0.059
59187.455,NaN,NaN,17.554,0.047
59189.453,NaN,NaN,17.612,0.047
59189.455,NaN,NaN,17.546,0.048
59189.459,NaN,NaN,17.618,0.038
59189.484,NaN,NaN,17.676,0.048
59191.386,NaN,NaN,17.716,0.046
59191.392,NaN,NaN,17.712,0.043
59191.396,NaN,NaN,17.747,0.040
59191.426,NaN,NaN,17.769,0.043
59192.478,NaN,NaN,17.737,0.045
59192.481,NaN,NaN,17.704,0.046
59192.488,NaN,NaN,17.636,0.042
59192.498,NaN,NaN,17.823,0.057
59193.434,18.142,0.041,NaN,NaN
59193.438,18.067,0.041,NaN,NaN
59193.473,18.024,0.042,NaN,NaN
59193.481,18.120,0.057,NaN,NaN
59194.484,18.162,0.050,NaN,NaN
59194.488,18.117,0.047,NaN,NaN
59194.523,18.017,0.043,NaN,NaN
59194.529,18.153,0.048,NaN,NaN
59195.426,18.181,0.053,NaN,NaN
59195.429,18.129,0.044,NaN,NaN
59195.432,18.159,0.044,NaN,NaN
59195.441,18.150,0.045,NaN,NaN
59196.488,18.205,0.055,NaN,NaN
59196.491,18.195,0.054,NaN,NaN
59196.498,18.088,0.048,NaN,NaN
59196.510,18.067,0.050,NaN,NaN
59197.484,18.198,0.048,NaN,NaN
59197.519,18.284,0.050,NaN,NaN
