MJD,c,c_err,o,o_err
59170.470,NaN,NaN,17.996,0.048
59170.473,NaN,NaN,17.947,0.046
59170.484,NaN,NaN,17.926,0.047
59176.400,NaN,NaN,17.692,0.120
59176.412,NaN,NaN,17.968,0.135
59178.474,NaN,NaN,17.919,0.048
59178.480,NaN,NaN,17.957,0.055
59178.483,NaN,NaN,17.913,0.050
59178.496,NaN,NaN,17.884,0.054
59180.430,NaN,NaN,18.238,0.127
59180.433,NaN,NaN,17.817,0.078
59180.440,NaN,NaN,17.772,0.073
59180.451,NaN,NaN,17.907,0.091
59185.462,NaN,NaN,17.767,0.067
59185.486,NaN,NaN,17.804,0.085
59185.499,NaN,NaN,18.043,0.097
59185.510,NaN,NaN,17.869,0.090
59186.458,NaN,NaN,17.958,0.075
59186.461,NaN,NaN,17.949,0.084
59186.467,NaN,NaN,17.788,0.062
59186.477,NaN,NaN,18.059,0.081
59190.347,NaN,NaN,17.893,0.045
59190.350,NaN,NaN,17.749,0.036
59190.353,NaN,NaN,17.883,0.037
59190.358,NaN,NaN,17.798,0.039
59192.329,18.629,0.069,NaN,NaN
59192.331,18.631,0.069,NaN,NaN
59192.354,18.746,0.080,NaN,NaN
59192.359,18.927,0.087,NaN,NaN
59194.399,18.705,0.084,NaN,NaN
59194.403,18.673,0.082,NaN,NaN
59194.409,18.510,0.065,NaN,NaN
59194.421,18.692,0.078,NaN,NaN
59200.356,18.845,0.101,NaN,NaN
59200.390,18.579,0.073,NaN,NaN
59200.393,18.674,0.071,NaN,NaN
59200.400,18.816,0.084,NaN,NaN
59202.541,18.682,0.105,NaN,NaN
59202.545,18.665,0.120,NaN,NaN
59202.550,18.871,0.108,NaN,NaN
59202.563,18.686,0.094,NaN,NaN
59206.356,NaN,NaN,18.020,0.058
59206.360,NaN,NaN,17.953,0.056
59206.394,NaN,NaN,18.028,0.060
59206.422,NaN,NaN,18.029,0.064
59207.282,NaN,NaN,17.824,0.050
59207.306,NaN,NaN,17.846,0.052
59207.308,NaN,NaN,17.916,0.064
59207.319,NaN,NaN,18.033,0.059
59208.344,NaN,NaN,17.884,0.075
59208.348,NaN,NaN,18.016,0.109
59208.382,NaN,NaN,18.210,0.124
59208.390,NaN,NaN,17.802,0.059
59214.344,NaN,NaN,17.845,0.075
59214.348,NaN,NaN,17.965,0.100
59214.353,NaN,NaN,17.996,0.081
59214.357,NaN,NaN,18.047,0.076
59214.360,NaN,NaN,18.182,0.105
59214.364,NaN,NaN,17.673,0.059
59214.366,NaN,NaN,18.035,0.088
59214.376,NaN,NaN,18.050,0.081
59216.322,NaN,NaN,17.964,0.056
59216.326,NaN,NaN,18.007,0.061
59216.331,NaN,NaN,17.916,0.067
59216.344,NaN,NaN,17.814,0.064
59218.393,NaN,NaN,18.026,0.058
59218.396,NaN,NaN,17.975,0.066
59218.402,NaN,NaN,17.908,0.051
59218.415,NaN,NaN,17.899,0.054
59220.318,18.911,0.090,NaN,NaN
59220.322,18.737,0.077,NaN,NaN
59220.328,18.871,0.082,NaN,NaN
59220.339,18.962,0.101,NaN,NaN
59222.314,18.800,0.077,NaN,NaN
59222.318,18.880,0.073,NaN,NaN
59222.325,18.780,0.080,NaN,NaN
59222.335,18.776,0.085,NaN,NaN
59226.341,18.989,0.087,NaN,NaN
59226.345,19.051,0.099,NaN,NaN
59226.351,19.013,0.100,NaN,NaN
59226.364,18.982,0.081,NaN,NaN
59228.381,18.922,0.098,NaN,NaN
59228.385,18.915,0.102,NaN,NaN
59228.392,18.862,0.103,NaN,NaN
59228.405,19.156,0.129,NaN,NaN
59230.295,18.939,0.088,NaN,NaN
59230.299,18.900,0.085,NaN,NaN
59230.304,18.888,0.075,NaN,NaN
59230.316,19.038,0.100,NaN,NaN
59242.374,NaN,NaN,18.572,0.239
59242.386,NaN,NaN,18.020,0.144
59244.333,NaN,NaN,17.885,0.062
59244.337,NaN,NaN,18.055,0.065
59244.344,NaN,NaN,17.946,0.067
59244.354,NaN,NaN,17.902,0.070
59246.284,NaN,NaN,18.011,0.043
59246.288,NaN,NaN,18.044,0.044
59246.295,NaN,NaN,18.008,0.045
59246.305,NaN,NaN,18.028,0.047
59250.288,19.212,0.087,NaN,NaN
59250.292,19.041,0.099,NaN,NaN
59250.298,18.962,0.079,NaN,NaN
59250.323,18.976,0.105,NaN,NaN
59252.312,19.177,0.118,NaN,NaN
59252.315,19.019,0.093,NaN,NaN
59252.323,19.324,0.137,NaN,NaN
59252.337,18.984,0.112,NaN,NaN
59254.257,19.180,0.295,NaN,NaN
59254.281,19.283,0.117,NaN,NaN
59254.284,19.511,0.151,NaN,NaN
59254.289,19.530,0.160,NaN,NaN
59254.299,19.244,0.120,NaN,NaN
59256.262,19.524,0.164,NaN,NaN
59256.265,19.319,0.154,NaN,NaN
59256.270,19.745,0.184,NaN,NaN
59256.282,19.268,0.145,NaN,NaN
59258.295,19.530,0.152,NaN,NaN
59258.299,19.668,0.157,NaN,NaN
59258.304,19.645,0.149,NaN,NaN
59258.314,19.356,0.115,NaN,NaN
59262.248,NaN,NaN,18.526,0.060
59262.252,NaN,NaN,18.527,0.062
59262.257,NaN,NaN,18.566,0.065
59262.270,NaN,NaN,18.554,0.073
59276.232,NaN,NaN,19.561,0.299
59448.555,NaN,NaN,19.184,0.233
59448.572,NaN,NaN,19.262,0.297
