MJD,c,c_err,o,o_err
59175.616,19.155,0.124,NaN,NaN
59175.619,19.334,0.156,NaN,NaN
59175.624,19.722,0.281,NaN,NaN
59175.640,19.289,0.134,NaN,NaN
59179.527,NaN,NaN,19.262,0.192
59179.530,NaN,NaN,19.119,0.147
59179.535,NaN,NaN,19.211,0.164
59179.540,NaN,NaN,19.184,0.161
59180.485,NaN,NaN,19.245,0.148
59180.490,NaN,NaN,19.380,0.185
59180.501,NaN,NaN,19.287,0.198
59180.506,NaN,NaN,19.392,0.195
59181.455,NaN,NaN,19.654,0.293
59189.467,NaN,NaN,19.280,0.210
59189.470,NaN,NaN,19.353,0.176
59189.486,NaN,NaN,19.138,0.188
59191.461,NaN,NaN,19.050,0.136
59191.464,NaN,NaN,19.432,0.191
59191.469,NaN,NaN,19.308,0.153
59191.476,NaN,NaN,19.061,0.133
59193.540,NaN,NaN,19.368,0.149
59193.544,NaN,NaN,18.923,0.103
59193.554,NaN,NaN,19.306,0.139
59193.582,NaN,NaN,19.345,0.174
59195.543,19.228,0.123,NaN,NaN
59195.546,19.198,0.120,NaN,NaN
59195.550,19.073,0.203,NaN,NaN
59195.552,19.231,0.142,NaN,NaN
59195.571,19.377,0.165,NaN,NaN
59195.571,19.214,0.131,NaN,NaN
59197.457,19.386,0.143,NaN,NaN
59197.459,19.376,0.122,NaN,NaN
59197.462,19.314,0.140,NaN,NaN
59197.467,19.426,0.132,NaN,NaN
59205.535,19.273,0.117,NaN,NaN
59205.538,19.245,0.130,NaN,NaN
59205.569,19.791,0.198,NaN,NaN
59205.598,19.124,0.119,NaN,NaN
59207.438,NaN,NaN,19.201,0.152
59207.440,NaN,NaN,18.991,0.171
59207.443,NaN,NaN,19.244,0.165
59207.453,NaN,NaN,18.957,0.167
59208.414,NaN,NaN,18.911,0.151
59208.431,NaN,NaN,19.131,0.169
59208.434,NaN,NaN,19.131,0.160
59208.454,NaN,NaN,19.060,0.136
59209.436,NaN,NaN,19.193,0.190
59209.438,NaN,NaN,19.046,0.189
59209.453,NaN,NaN,19.434,0.269
59217.520,NaN,NaN,19.354,0.240
59217.524,NaN,NaN,19.185,0.178
59217.531,NaN,NaN,19.351,0.204
59217.541,NaN,NaN,19.056,0.142
59219.501,NaN,NaN,19.655,0.271
59219.506,NaN,NaN,19.005,0.144
59219.509,NaN,NaN,19.113,0.165
59219.519,NaN,NaN,19.296,0.228
59221.392,19.531,0.137,NaN,NaN
59221.423,19.526,0.123,NaN,NaN
59221.428,19.313,0.128,NaN,NaN
59221.438,19.692,0.156,NaN,NaN
59223.478,19.540,0.206,NaN,NaN
59223.480,19.154,0.206,NaN,NaN
59227.604,19.443,0.176,NaN,NaN
59227.608,19.350,0.193,NaN,NaN
59227.616,19.393,0.162,NaN,NaN
59227.631,19.813,0.247,NaN,NaN
59229.466,19.426,0.124,NaN,NaN
59229.484,19.509,0.143,NaN,NaN
59229.491,19.501,0.157,NaN,NaN
59229.501,19.574,0.204,NaN,NaN
59231.409,19.757,0.201,NaN,NaN
59231.412,19.817,0.167,NaN,NaN
59231.433,19.615,0.183,NaN,NaN
59231.461,19.717,0.178,NaN,NaN
59235.426,NaN,NaN,18.709,0.159
59235.442,NaN,NaN,19.158,0.181
59235.454,NaN,NaN,19.332,0.149
59235.458,NaN,NaN,19.041,0.113
59245.445,NaN,NaN,18.971,0.164
59245.448,NaN,NaN,18.792,0.136
59245.455,NaN,NaN,19.530,0.297
59245.466,NaN,NaN,18.769,0.172
59251.401,19.903,0.281,NaN,NaN
59251.405,20.023,0.271,NaN,NaN
59251.410,19.259,0.158,NaN,NaN
59251.421,19.204,0.104,NaN,NaN
59253.366,19.876,0.213,NaN,NaN
59253.369,19.890,0.198,NaN,NaN
59253.401,19.587,0.151,NaN,NaN
59253.406,19.434,0.128,NaN,NaN
59255.382,19.817,0.241,NaN,NaN
59255.387,20.033,0.247,NaN,NaN
59255.390,19.763,0.197,NaN,NaN
59255.410,19.737,0.204,NaN,NaN
59257.400,19.444,0.109,NaN,NaN
59257.412,19.721,0.167,NaN,NaN
59257.417,19.826,0.182,NaN,NaN
59257.433,20.085,0.211,NaN,NaN
59261.352,19.762,0.142,NaN,NaN
59261.355,19.931,0.153,NaN,NaN
59261.385,19.737,0.169,NaN,NaN
59261.391,19.596,0.133,NaN,NaN
59267.310,NaN,NaN,18.976,0.180
59267.312,NaN,NaN,19.116,0.178
59267.315,NaN,NaN,19.001,0.206
59277.364,19.923,0.169,NaN,NaN
59277.369,19.689,0.156,NaN,NaN
59277.382,19.988,0.185,NaN,NaN
59287.293,19.888,0.254,NaN,NaN
59319.251,NaN,NaN,19.659,0.249
