MJD,c,c_err,o,o_err
59178.646,NaN,NaN,18.934,0.118
59181.516,NaN,NaN,18.684,0.179
59181.519,NaN,NaN,18.439,0.145
59181.527,NaN,NaN,18.316,0.154
59181.538,NaN,NaN,18.305,0.113
59181.548,NaN,NaN,18.517,0.162
59181.552,NaN,NaN,18.639,0.180
59181.558,NaN,NaN,19.020,0.234
59181.568,NaN,NaN,18.340,0.137
59182.526,NaN,NaN,18.731,0.175
59182.529,NaN,NaN,18.640,0.162
59182.535,NaN,NaN,18.516,0.160
59182.545,NaN,NaN,18.265,0.122
59182.551,NaN,NaN,18.401,0.160
59182.556,NaN,NaN,18.265,0.120
59182.568,NaN,NaN,18.920,0.227
59182.571,NaN,NaN,18.471,0.113
59184.543,NaN,NaN,18.152,0.114
59184.552,NaN,NaN,18.088,0.111
59184.566,NaN,NaN,18.099,0.085
59185.614,NaN,NaN,18.500,0.121
59185.618,NaN,NaN,18.502,0.112
59185.638,NaN,NaN,18.754,0.134
59185.644,NaN,NaN,18.830,0.150
59186.581,NaN,NaN,18.511,0.149
59186.585,NaN,NaN,18.622,0.185
59186.591,NaN,NaN,18.778,0.176
59186.601,NaN,NaN,18.504,0.122
59190.550,NaN,NaN,18.962,0.148
59190.559,NaN,NaN,18.771,0.126
59192.571,NaN,NaN,18.820,0.129
59192.577,NaN,NaN,18.693,0.125
59194.601,18.859,0.082,NaN,NaN
59194.604,18.843,0.087,NaN,NaN
59194.617,18.854,0.087,NaN,NaN
59200.580,19.572,0.187,NaN,NaN
59206.503,19.611,0.164,NaN,NaN
59206.509,19.743,0.179,NaN,NaN
59206.519,19.474,0.147,NaN,NaN
59206.523,19.161,0.108,NaN,NaN
59208.571,19.656,0.207,NaN,NaN
59208.574,19.388,0.143,NaN,NaN
59208.583,19.123,0.123,NaN,NaN
59209.559,NaN,NaN,19.277,0.216
59209.577,NaN,NaN,18.902,0.121
59209.579,NaN,NaN,18.747,0.107
59212.505,NaN,NaN,18.653,0.137
59212.513,NaN,NaN,18.601,0.161
59212.533,NaN,NaN,18.952,0.174
59212.538,NaN,NaN,18.688,0.165
59214.469,NaN,NaN,18.583,0.200
59218.548,NaN,NaN,18.872,0.148
59218.579,NaN,NaN,18.783,0.132
59220.599,NaN,NaN,18.771,0.118
59220.634,NaN,NaN,19.153,0.153
59222.488,19.220,0.112,NaN,NaN
59222.511,19.203,0.115,NaN,NaN
59226.464,19.225,0.106,NaN,NaN
59226.484,19.689,0.181,NaN,NaN
59228.606,19.321,0.134,NaN,NaN
59230.510,19.874,0.241,NaN,NaN
59230.512,20.076,0.284,NaN,NaN
59230.517,19.670,0.182,NaN,NaN
59230.526,19.436,0.137,NaN,NaN
59238.478,NaN,NaN,19.087,0.207
59238.483,NaN,NaN,18.755,0.127
59246.491,NaN,NaN,19.317,0.216
59246.493,NaN,NaN,19.487,0.262
59246.508,NaN,NaN,19.047,0.186
59250.565,NaN,NaN,19.049,0.158
59252.503,19.783,0.215,NaN,NaN
59252.506,19.805,0.201,NaN,NaN
59252.516,19.645,0.157,NaN,NaN
59252.522,19.847,0.238,NaN,NaN
59254.510,19.729,0.189,NaN,NaN
59254.535,19.772,0.191,NaN,NaN
59254.538,19.674,0.158,NaN,NaN
59256.407,20.352,0.297,NaN,NaN
59256.432,20.080,0.259,NaN,NaN
59262.420,20.247,0.286,NaN,NaN
59269.326,NaN,NaN,18.871,0.197
59269.357,NaN,NaN,19.322,0.289
