MJD,c,c_err,o,o_err
59179.364,NaN,NaN,18.806,0.222
59179.369,NaN,NaN,18.638,0.194
59180.284,NaN,NaN,18.937,0.173
59180.287,NaN,NaN,18.694,0.172
59180.294,NaN,NaN,19.111,0.204
59180.303,NaN,NaN,18.679,0.170
59182.287,NaN,NaN,18.767,0.182
59182.291,NaN,NaN,18.972,0.218
59182.319,NaN,NaN,18.715,0.210
59183.306,NaN,NaN,18.643,0.232
59184.353,NaN,NaN,18.773,0.186
59184.358,NaN,NaN,19.166,0.276
59184.362,NaN,NaN,18.953,0.229
59185.298,NaN,NaN,18.977,0.173
59185.301,NaN,NaN,18.798,0.140
59185.308,NaN,NaN,18.765,0.149
59185.319,NaN,NaN,19.168,0.181
59187.329,NaN,NaN,18.649,0.121
59187.334,NaN,NaN,18.478,0.119
59187.338,NaN,NaN,18.617,0.108
59187.352,NaN,NaN,18.933,0.181
59189.232,NaN,NaN,18.746,0.086
59189.235,NaN,NaN,18.646,0.085
59189.261,NaN,NaN,18.763,0.080
59189.278,NaN,NaN,18.613,0.102
59191.231,18.805,0.097,NaN,NaN
59191.234,18.888,0.084,NaN,NaN
59191.240,18.888,0.086,NaN,NaN
59191.254,18.742,0.084,NaN,NaN
59193.279,NaN,NaN,18.627,0.090
59193.283,NaN,NaN,18.543,0.110
59193.283,NaN,NaN,18.561,0.079
59193.291,NaN,NaN,18.502,0.084
59193.304,NaN,NaN,18.578,0.102
59193.310,NaN,NaN,18.759,0.119
59195.309,18.809,0.086,NaN,NaN
59195.312,18.669,0.079,NaN,NaN
59195.319,18.737,0.081,NaN,NaN
59195.337,18.756,0.097,NaN,NaN
59197.263,18.864,0.093,NaN,NaN
59197.266,18.749,0.095,NaN,NaN
59197.273,18.819,0.098,NaN,NaN
59197.289,18.798,0.097,NaN,NaN
59199.217,18.597,0.120,NaN,NaN
59199.220,18.899,0.150,NaN,NaN
59199.228,18.613,0.082,NaN,NaN
59199.241,18.958,0.104,NaN,NaN
59205.211,NaN,NaN,18.580,0.111
59205.214,NaN,NaN,18.620,0.135
59205.239,NaN,NaN,18.741,0.098
59205.257,NaN,NaN,18.761,0.123
59207.251,NaN,NaN,18.804,0.136
59207.257,NaN,NaN,18.407,0.099
59207.260,NaN,NaN,18.546,0.125
59209.262,NaN,NaN,18.464,0.077
59209.266,NaN,NaN,18.617,0.123
59209.272,NaN,NaN,18.548,0.108
59209.286,NaN,NaN,18.493,0.134
59211.268,NaN,NaN,18.642,0.152
59211.271,NaN,NaN,18.692,0.191
59211.277,NaN,NaN,18.835,0.210
59211.289,NaN,NaN,18.769,0.232
59217.258,NaN,NaN,18.753,0.100
59217.261,NaN,NaN,18.780,0.083
59217.267,NaN,NaN,18.730,0.121
59217.277,NaN,NaN,18.895,0.140
59219.261,19.169,0.130,NaN,NaN
59219.265,19.320,0.143,NaN,NaN
59219.271,19.168,0.145,NaN,NaN
59219.282,18.945,0.107,NaN,NaN
59223.228,19.396,0.187,NaN,NaN
59227.241,19.182,0.145,NaN,NaN
59227.244,19.236,0.141,NaN,NaN
59227.250,19.248,0.152,NaN,NaN
59227.261,19.381,0.159,NaN,NaN
59243.228,NaN,NaN,18.716,0.277
59397.556,NaN,NaN,19.938,0.298
