MJD,c,c_err,o,o_err
59182.610,NaN,NaN,18.096,0.102
59182.613,NaN,NaN,18.247,0.115
59182.621,NaN,NaN,18.587,0.179
59182.631,NaN,NaN,18.595,0.156
59184.632,NaN,NaN,18.191,0.127
59184.651,NaN,NaN,17.994,0.101
59184.656,NaN,NaN,18.200,0.144
59184.662,NaN,NaN,18.321,0.191
59190.613,NaN,NaN,18.029,0.065
59190.617,NaN,NaN,18.054,0.072
59190.623,NaN,NaN,17.953,0.051
59190.643,NaN,NaN,18.114,0.065
59192.633,NaN,NaN,18.121,0.067
59192.649,NaN,NaN,18.017,0.067
59192.655,NaN,NaN,18.210,0.069
59192.663,NaN,NaN,18.091,0.131
59206.579,18.438,0.070,NaN,NaN
59206.583,18.522,0.065,NaN,NaN
59206.602,18.428,0.057,NaN,NaN
59208.641,18.570,0.075,NaN,NaN
59208.655,18.583,0.055,NaN,NaN
59208.660,18.480,0.069,NaN,NaN
59208.669,18.562,0.129,NaN,NaN
59212.639,NaN,NaN,18.430,0.262
59214.579,NaN,NaN,18.756,0.194
59214.583,NaN,NaN,18.640,0.132
59214.589,NaN,NaN,18.361,0.127
59214.600,NaN,NaN,18.515,0.130
59216.563,NaN,NaN,18.658,0.164
59216.566,NaN,NaN,18.284,0.114
59216.572,NaN,NaN,18.791,0.192
59216.583,NaN,NaN,18.881,0.244
59220.648,NaN,NaN,18.509,0.089
59220.658,NaN,NaN,18.598,0.098
59220.668,NaN,NaN,18.398,0.093
59220.672,NaN,NaN,18.940,0.269
59222.585,NaN,NaN,18.428,0.068
59222.588,NaN,NaN,18.708,0.112
59222.593,NaN,NaN,18.512,0.082
59222.604,NaN,NaN,18.594,0.072
59226.609,19.049,0.115,NaN,NaN
59226.614,18.831,0.104,NaN,NaN
59226.617,19.167,0.106,NaN,NaN
59226.630,19.033,0.107,NaN,NaN
59226.635,19.077,0.105,NaN,NaN
59226.640,18.774,0.076,NaN,NaN
59226.659,18.824,0.087,NaN,NaN
59226.666,18.863,0.133,NaN,NaN
59228.637,19.404,0.139,NaN,NaN
59228.653,19.226,0.122,NaN,NaN
59228.657,19.012,0.099,NaN,NaN
59228.665,19.109,0.136,NaN,NaN
59230.574,19.070,0.105,NaN,NaN
59230.576,19.093,0.109,NaN,NaN
59230.580,19.189,0.119,NaN,NaN
59230.590,19.000,0.096,NaN,NaN
59230.593,18.924,0.100,NaN,NaN
59230.595,18.909,0.098,NaN,NaN
59230.601,18.966,0.107,NaN,NaN
59230.614,19.021,0.103,NaN,NaN
59238.583,19.413,0.118,NaN,NaN
59238.585,19.362,0.123,NaN,NaN
59238.589,19.467,0.129,NaN,NaN
59238.595,19.694,0.144,NaN,NaN
59242.579,NaN,NaN,18.501,0.209
59242.593,NaN,NaN,18.773,0.215
59244.580,NaN,NaN,18.833,0.198
59244.590,NaN,NaN,19.060,0.237
59244.593,NaN,NaN,18.785,0.232
59244.598,NaN,NaN,18.864,0.260
59246.569,NaN,NaN,18.615,0.124
59246.571,NaN,NaN,18.782,0.146
59246.574,NaN,NaN,18.887,0.140
59246.581,NaN,NaN,18.688,0.124
59250.628,NaN,NaN,18.862,0.089
59250.631,NaN,NaN,18.858,0.089
59250.637,NaN,NaN,18.895,0.096
59250.659,NaN,NaN,18.881,0.119
59252.573,NaN,NaN,18.970,0.090
59252.576,NaN,NaN,19.043,0.101
59252.578,NaN,NaN,18.935,0.100
59252.584,NaN,NaN,18.819,0.098
59254.574,19.634,0.150,NaN,NaN
59254.576,19.774,0.164,NaN,NaN
59254.578,19.756,0.197,NaN,NaN
59254.586,19.637,0.232,NaN,NaN
59256.522,19.587,0.168,NaN,NaN
59256.524,19.363,0.126,NaN,NaN
59256.527,19.447,0.124,NaN,NaN
59256.532,19.614,0.144,NaN,NaN
59258.548,19.508,0.130,NaN,NaN
59258.550,19.593,0.143,NaN,NaN
59258.560,20.126,0.227,NaN,NaN
59258.563,19.554,0.120,NaN,NaN
59262.484,19.655,0.142,NaN,NaN
59262.487,19.945,0.235,NaN,NaN
59262.490,20.245,0.263,NaN,NaN
59262.499,20.128,0.236,NaN,NaN
59266.619,19.931,0.281,NaN,NaN
59266.629,20.099,0.241,NaN,NaN
59266.632,19.750,0.178,NaN,NaN
59266.638,19.898,0.216,NaN,NaN
59270.501,NaN,NaN,19.148,0.211
59270.507,NaN,NaN,19.201,0.289
59270.512,NaN,NaN,19.326,0.293
59288.483,20.082,0.252,NaN,NaN
59294.591,NaN,NaN,20.158,0.233
59308.420,NaN,NaN,19.587,0.264
59314.476,20.345,0.249,NaN,NaN
59350.373,NaN,NaN,20.157,0.294
59364.355,NaN,NaN,20.079,0.249
59414.254,NaN,NaN,19.650,0.276
