MJD,c,c_err,o,o_err
59204.586,19.011,0.106,NaN,NaN
59204.589,18.872,0.093,NaN,NaN
59204.600,19.221,0.100,NaN,NaN
59204.608,19.216,0.135,NaN,NaN
59206.626,18.914,0.091,NaN,NaN
59206.631,19.128,0.127,NaN,NaN
59206.635,18.943,0.090,NaN,NaN
59206.659,18.898,0.101,NaN,NaN
59207.596,19.279,0.138,NaN,NaN
59207.598,18.834,0.080,NaN,NaN
59207.605,19.074,0.107,NaN,NaN
59207.617,19.080,0.113,NaN,NaN
59208.621,19.100,0.117,NaN,NaN
59208.624,18.996,0.104,NaN,NaN
59208.630,18.990,0.114,NaN,NaN
59208.653,19.037,0.104,NaN,NaN
59209.600,NaN,NaN,18.968,0.137
59209.624,NaN,NaN,19.039,0.142
59209.627,NaN,NaN,19.112,0.148
59209.644,NaN,NaN,19.012,0.113
59216.551,NaN,NaN,18.966,0.258
59220.478,NaN,NaN,19.108,0.256
59220.491,NaN,NaN,19.422,0.273
59220.520,NaN,NaN,19.032,0.206
59220.531,NaN,NaN,19.034,0.168
59222.588,NaN,NaN,19.012,0.106
59222.591,NaN,NaN,19.045,0.152
59222.597,NaN,NaN,19.237,0.128
59222.605,NaN,NaN,18.945,0.099
59226.557,19.475,0.223,NaN,NaN
59226.562,19.337,0.176,NaN,NaN
59226.564,19.499,0.177,NaN,NaN
59226.574,19.422,0.226,NaN,NaN
59229.622,19.539,0.138,NaN,NaN
59229.625,19.425,0.110,NaN,NaN
59229.656,19.679,0.142,NaN,NaN
59229.665,19.434,0.162,NaN,NaN
59230.503,19.737,0.274,NaN,NaN
59230.506,19.061,0.150,NaN,NaN
59231.525,19.056,0.188,NaN,NaN
59232.452,19.261,0.237,NaN,NaN
59232.465,19.098,0.153,NaN,NaN
59232.523,19.498,0.205,NaN,NaN
59232.534,19.595,0.204,NaN,NaN
59232.536,19.260,0.165,NaN,NaN
59232.542,19.458,0.193,NaN,NaN
59234.559,19.483,0.179,NaN,NaN
59234.564,19.502,0.150,NaN,NaN
59243.546,NaN,NaN,18.980,0.217
59243.549,NaN,NaN,18.971,0.282
59243.552,NaN,NaN,18.966,0.235
59243.569,NaN,NaN,19.078,0.251
59248.593,NaN,NaN,19.375,0.209
59248.599,NaN,NaN,19.464,0.239
59248.603,NaN,NaN,19.055,0.189
59251.558,NaN,NaN,19.166,0.135
59251.575,NaN,NaN,19.419,0.141
59251.577,NaN,NaN,19.886,0.282
59251.578,NaN,NaN,19.218,0.124
59251.581,NaN,NaN,19.653,0.218
59251.584,NaN,NaN,19.629,0.209
59252.582,NaN,NaN,19.368,0.182
59252.586,NaN,NaN,19.488,0.204
59252.591,NaN,NaN,19.283,0.145
59252.602,NaN,NaN,19.527,0.241
59253.538,19.869,0.186,NaN,NaN
59253.665,19.613,0.230,NaN,NaN
59255.492,19.590,0.148,NaN,NaN
59255.499,19.968,0.225,NaN,NaN
59255.500,19.717,0.189,NaN,NaN
59255.501,20.030,0.281,NaN,NaN
59255.502,20.112,0.279,NaN,NaN
59257.517,19.687,0.168,NaN,NaN
59257.542,19.760,0.159,NaN,NaN
59257.571,19.835,0.199,NaN,NaN
59257.582,19.923,0.183,NaN,NaN
59258.404,19.714,0.182,NaN,NaN
59261.484,20.254,0.278,NaN,NaN
59261.486,20.029,0.268,NaN,NaN
59261.505,19.853,0.186,NaN,NaN
59262.472,19.670,0.134,NaN,NaN
59262.479,20.013,0.229,NaN,NaN
59262.482,19.686,0.189,NaN,NaN
59262.492,19.630,0.143,NaN,NaN
59268.404,NaN,NaN,19.705,0.274
59268.432,NaN,NaN,19.372,0.197
59268.442,NaN,NaN,19.745,0.285
59268.448,NaN,NaN,19.661,0.222
59269.391,NaN,NaN,19.466,0.276
59269.394,NaN,NaN,19.586,0.294
59269.407,NaN,NaN,19.353,0.254
59276.520,NaN,NaN,19.586,0.249
59276.523,NaN,NaN,19.465,0.227
59277.544,NaN,NaN,19.574,0.220
59277.556,NaN,NaN,19.251,0.169
59278.558,NaN,NaN,18.926,0.241
59280.459,NaN,NaN,19.758,0.183
59280.462,NaN,NaN,19.611,0.211
59280.467,NaN,NaN,19.662,0.181
59280.473,NaN,NaN,19.374,0.165
59280.497,NaN,NaN,19.424,0.207
59280.532,NaN,NaN,19.548,0.190
59280.536,NaN,NaN,19.377,0.160
59284.577,NaN,NaN,19.573,0.188
59284.583,NaN,NaN,19.382,0.137
59288.377,NaN,NaN,19.753,0.196
59288.378,NaN,NaN,19.934,0.267
59288.395,NaN,NaN,19.456,0.146
59288.400,NaN,NaN,19.944,0.274
59291.398,20.260,0.269,NaN,NaN
59291.433,20.032,0.281,NaN,NaN
59291.436,19.885,0.230,NaN,NaN
59291.439,20.279,0.277,NaN,NaN
59292.467,NaN,NaN,20.014,0.268
59292.470,NaN,NaN,19.886,0.250
59292.512,NaN,NaN,19.715,0.183
59293.383,NaN,NaN,19.602,0.190
59293.385,NaN,NaN,19.499,0.165
59293.388,NaN,NaN,19.884,0.234
59293.390,NaN,NaN,19.633,0.281
59293.424,NaN,NaN,19.587,0.137
59297.428,NaN,NaN,19.383,0.258
59305.499,NaN,NaN,19.565,0.257
59305.508,NaN,NaN,19.526,0.232
59313.416,20.211,0.256,NaN,NaN
