MJD,c,c_err,o,o_err
59206.525,17.355,0.027,NaN,NaN
59206.528,17.282,0.027,NaN,NaN
59206.530,17.269,0.028,NaN,NaN
59206.536,17.238,0.028,NaN,NaN
59206.545,17.239,0.026,NaN,NaN
59206.548,17.284,0.027,NaN,NaN
59206.553,17.279,0.028,NaN,NaN
59206.559,17.363,0.030,NaN,NaN
59208.588,17.246,0.031,NaN,NaN
59208.589,17.270,0.031,NaN,NaN
59208.593,17.233,0.030,NaN,NaN
59208.600,17.197,0.027,NaN,NaN
59212.588,NaN,NaN,17.197,0.061
59212.590,NaN,NaN,17.096,0.051
59212.592,NaN,NaN,17.173,0.056
59212.598,NaN,NaN,17.289,0.063
59214.488,NaN,NaN,17.183,0.056
59214.494,NaN,NaN,17.118,0.049
59214.497,NaN,NaN,17.227,0.051
59214.503,NaN,NaN,17.183,0.057
59216.514,NaN,NaN,17.385,0.086
59216.519,NaN,NaN,17.051,0.053
59216.524,NaN,NaN,17.176,0.069
59216.530,NaN,NaN,17.183,0.055
59218.542,NaN,NaN,17.184,0.039
59218.544,NaN,NaN,17.083,0.037
59218.547,NaN,NaN,17.111,0.035
59218.552,NaN,NaN,17.160,0.034
59218.589,NaN,NaN,17.184,0.034
59218.592,NaN,NaN,17.159,0.037
59218.595,NaN,NaN,17.183,0.043
59218.601,NaN,NaN,17.254,0.038
59220.593,NaN,NaN,17.292,0.035
59220.597,NaN,NaN,17.127,0.033
59220.606,NaN,NaN,17.078,0.032
59220.612,NaN,NaN,17.203,0.033
59220.632,NaN,NaN,17.163,0.033
59220.638,NaN,NaN,17.177,0.032
59220.640,NaN,NaN,17.192,0.030
59222.528,NaN,NaN,17.345,0.035
59222.530,NaN,NaN,17.204,0.031
59222.533,NaN,NaN,17.167,0.031
59222.540,NaN,NaN,17.128,0.028
59222.543,NaN,NaN,17.213,0.033
59222.545,NaN,NaN,17.111,0.034
59222.548,NaN,NaN,17.197,0.034
59222.553,NaN,NaN,17.194,0.034
59226.513,17.496,0.037,NaN,NaN
59226.515,17.487,0.048,NaN,NaN
59226.520,17.334,0.028,NaN,NaN
59226.525,17.429,0.029,NaN,NaN
59226.553,17.516,0.034,NaN,NaN
59226.555,17.517,0.034,NaN,NaN
59226.558,17.502,0.033,NaN,NaN
59226.564,17.430,0.032,NaN,NaN
59228.550,17.514,0.039,NaN,NaN
59228.553,17.596,0.040,NaN,NaN
59228.559,17.518,0.035,NaN,NaN
59228.594,17.462,0.035,NaN,NaN
59228.609,17.484,0.038,NaN,NaN
59228.643,17.412,0.031,NaN,NaN
59228.670,17.464,0.047,NaN,NaN
59230.347,17.557,0.038,NaN,NaN
59230.352,17.525,0.043,NaN,NaN
59230.357,17.447,0.033,NaN,NaN
59230.371,17.493,0.034,NaN,NaN
59230.496,17.498,0.034,NaN,NaN
59230.497,17.549,0.044,NaN,NaN
59230.500,17.432,0.029,NaN,NaN
59230.505,17.458,0.033,NaN,NaN
59238.319,NaN,NaN,17.570,0.096
59242.502,NaN,NaN,17.383,0.078
59242.504,NaN,NaN,17.328,0.071
59242.515,NaN,NaN,17.421,0.077
59242.521,NaN,NaN,17.486,0.071
59244.559,NaN,NaN,17.341,0.067
59244.587,NaN,NaN,17.387,0.081
59244.616,NaN,NaN,17.440,0.077
59244.640,NaN,NaN,17.610,0.107
59246.502,NaN,NaN,17.658,0.065
59246.507,NaN,NaN,17.421,0.048
59246.511,NaN,NaN,17.548,0.046
59246.516,NaN,NaN,17.603,0.054
59250.543,NaN,NaN,17.704,0.049
59250.546,NaN,NaN,17.684,0.045
59250.553,NaN,NaN,17.705,0.044
59250.564,NaN,NaN,17.781,0.056
59252.491,18.206,0.062,NaN,NaN
59252.494,18.196,0.062,NaN,NaN
59252.501,18.001,0.053,NaN,NaN
59252.514,18.345,0.076,NaN,NaN
59252.534,18.067,0.063,NaN,NaN
59252.537,18.062,0.064,NaN,NaN
59252.547,18.257,0.087,NaN,NaN
59252.553,18.414,0.078,NaN,NaN
59254.509,18.282,0.062,NaN,NaN
59254.534,18.229,0.059,NaN,NaN
59254.537,18.199,0.051,NaN,NaN
59254.542,18.327,0.061,NaN,NaN
59256.438,18.337,0.057,NaN,NaN
59256.441,18.314,0.056,NaN,NaN
59256.443,18.107,0.061,NaN,NaN
59256.444,18.310,0.058,NaN,NaN
59256.446,18.174,0.066,NaN,NaN
59256.451,18.538,0.075,NaN,NaN
59256.451,18.284,0.072,NaN,NaN
59258.523,18.419,0.068,NaN,NaN
59258.557,18.763,0.089,NaN,NaN
59258.585,18.637,0.093,NaN,NaN
59258.610,18.415,0.069,NaN,NaN
59262.413,18.359,0.052,NaN,NaN
59262.417,18.446,0.073,NaN,NaN
59262.422,18.355,0.065,NaN,NaN
59262.428,18.620,0.071,NaN,NaN
59266.662,18.428,0.118,NaN,NaN
59270.406,NaN,NaN,17.962,0.129
59270.409,NaN,NaN,17.824,0.108
59270.412,NaN,NaN,18.019,0.129
59270.417,NaN,NaN,17.671,0.072
59278.409,18.551,0.269,NaN,NaN
59278.412,18.530,0.238,NaN,NaN
59288.459,18.742,0.069,NaN,NaN
59288.462,18.782,0.091,NaN,NaN
59288.490,18.602,0.082,NaN,NaN
59288.495,18.773,0.093,NaN,NaN
59294.481,NaN,NaN,18.251,0.058
59294.484,NaN,NaN,18.227,0.055
59294.489,NaN,NaN,18.106,0.052
59294.506,NaN,NaN,18.213,0.051
59298.473,NaN,NaN,18.115,0.101
59298.477,NaN,NaN,18.371,0.156
59298.484,NaN,NaN,18.094,0.104
59298.518,NaN,NaN,18.187,0.115
59300.429,NaN,NaN,18.545,0.214
59304.354,NaN,NaN,18.566,0.168
59304.357,NaN,NaN,18.238,0.112
59304.362,NaN,NaN,18.533,0.149
59304.398,NaN,NaN,18.317,0.130
59304.441,NaN,NaN,18.053,0.161
59306.476,NaN,NaN,18.577,0.125
59306.480,NaN,NaN,18.686,0.157
59306.488,NaN,NaN,18.998,0.207
59306.504,NaN,NaN,18.394,0.106
59308.468,NaN,NaN,18.213,0.122
59308.476,NaN,NaN,18.352,0.147
59308.494,NaN,NaN,18.762,0.208
59310.351,18.980,0.113,NaN,NaN
59310.354,19.684,0.199,NaN,NaN
59310.386,19.624,0.201,NaN,NaN
59310.394,19.192,0.116,NaN,NaN
59314.420,19.492,0.204,NaN,NaN
59314.426,19.132,0.162,NaN,NaN
59314.437,19.275,0.202,NaN,NaN
59318.334,19.306,0.159,NaN,NaN
59318.337,19.471,0.181,NaN,NaN
59318.368,19.591,0.229,NaN,NaN
59318.433,19.434,0.176,NaN,NaN
59318.436,19.683,0.204,NaN,NaN
59320.335,NaN,NaN,19.114,0.148
59320.338,NaN,NaN,19.061,0.139
59320.344,NaN,NaN,19.058,0.124
59320.355,NaN,NaN,19.070,0.123
59322.319,NaN,NaN,19.165,0.152
59322.354,NaN,NaN,19.050,0.163
59322.357,NaN,NaN,19.298,0.172
59322.385,NaN,NaN,18.958,0.140
59324.426,NaN,NaN,19.192,0.218
59324.462,NaN,NaN,19.341,0.198
59324.467,NaN,NaN,18.742,0.147
59324.470,NaN,NaN,18.992,0.156
59324.485,NaN,NaN,19.034,0.135
59324.488,NaN,NaN,19.158,0.212
59324.519,NaN,NaN,19.540,0.293
59324.524,NaN,NaN,19.225,0.219
59326.346,NaN,NaN,19.090,0.296
