MJD,c,c_err,o,o_err
59220.532,NaN,NaN,18.555,0.119
59220.547,NaN,NaN,18.600,0.116
59220.550,NaN,NaN,18.601,0.119
59220.556,NaN,NaN,18.630,0.118
59220.565,NaN,NaN,18.941,0.212
59221.490,NaN,NaN,18.777,0.177
59221.501,NaN,NaN,18.376,0.091
59221.536,NaN,NaN,18.776,0.093
59222.592,NaN,NaN,18.645,0.083
59222.596,NaN,NaN,18.492,0.087
59222.601,NaN,NaN,18.675,0.087
59222.611,NaN,NaN,18.657,0.091
59222.625,NaN,NaN,18.569,0.112
59222.648,NaN,NaN,18.547,0.096
59222.654,NaN,NaN,18.552,0.083
59224.537,18.553,0.069,NaN,NaN
59224.540,18.583,0.070,NaN,NaN
59224.566,18.554,0.067,NaN,NaN
59224.569,18.676,0.068,NaN,NaN
59226.539,18.781,0.075,NaN,NaN
59226.542,18.531,0.063,NaN,NaN
59226.559,18.589,0.063,NaN,NaN
59226.566,18.603,0.073,NaN,NaN
59228.554,18.741,0.084,NaN,NaN
59228.557,18.619,0.071,NaN,NaN
59228.560,18.798,0.086,NaN,NaN
59228.568,18.577,0.070,NaN,NaN
59230.530,18.706,0.076,NaN,NaN
59230.531,18.621,0.067,NaN,NaN
59230.537,18.578,0.075,NaN,NaN
59230.543,18.853,0.086,NaN,NaN
59232.511,18.661,0.080,NaN,NaN
59232.514,18.613,0.074,NaN,NaN
59232.518,18.518,0.068,NaN,NaN
59232.528,18.691,0.084,NaN,NaN
59234.562,18.792,0.079,NaN,NaN
59234.567,18.694,0.078,NaN,NaN
59234.571,18.844,0.117,NaN,NaN
59248.571,NaN,NaN,18.953,0.161
59248.574,NaN,NaN,18.467,0.092
59248.582,NaN,NaN,18.855,0.168
59248.597,NaN,NaN,18.642,0.154
59252.522,18.847,0.075,NaN,NaN
59252.525,18.915,0.086,NaN,NaN
59252.531,19.215,0.113,NaN,NaN
59252.543,19.127,0.119,NaN,NaN
59254.658,18.812,0.103,NaN,NaN
59256.518,19.001,0.093,NaN,NaN
59256.524,18.983,0.094,NaN,NaN
59256.527,18.881,0.083,NaN,NaN
59256.561,19.036,0.106,NaN,NaN
59258.457,18.823,0.098,NaN,NaN
59258.459,18.981,0.102,NaN,NaN
59258.465,19.048,0.115,NaN,NaN
59258.471,19.065,0.106,NaN,NaN
59260.498,18.846,0.081,NaN,NaN
59260.503,19.110,0.112,NaN,NaN
59260.506,18.871,0.092,NaN,NaN
59260.542,19.045,0.109,NaN,NaN
59261.536,19.047,0.118,NaN,NaN
59261.539,18.949,0.101,NaN,NaN
59261.567,19.383,0.132,NaN,NaN
59261.595,19.005,0.111,NaN,NaN
59262.473,18.992,0.094,NaN,NaN
59262.476,18.830,0.090,NaN,NaN
59262.481,19.236,0.114,NaN,NaN
59262.487,18.957,0.097,NaN,NaN
59268.412,NaN,NaN,18.460,0.107
59268.416,NaN,NaN,18.652,0.122
59268.423,NaN,NaN,18.433,0.092
59268.437,NaN,NaN,18.561,0.103
59276.483,NaN,NaN,18.729,0.107
59276.486,NaN,NaN,18.619,0.120
59276.492,NaN,NaN,18.341,0.075
59276.502,NaN,NaN,18.582,0.109
59278.505,NaN,NaN,18.677,0.290
59280.454,NaN,NaN,18.505,0.073
59280.488,NaN,NaN,18.555,0.077
59280.491,NaN,NaN,18.518,0.082
59280.499,NaN,NaN,18.696,0.090
59288.398,NaN,NaN,18.547,0.082
59288.400,NaN,NaN,18.771,0.081
59288.408,NaN,NaN,18.660,0.080
59288.427,NaN,NaN,18.674,0.073
59292.382,NaN,NaN,18.781,0.079
59292.390,NaN,NaN,18.622,0.077
59292.395,NaN,NaN,18.767,0.085
59304.426,NaN,NaN,18.849,0.151
59304.433,NaN,NaN,19.072,0.180
59304.447,NaN,NaN,18.683,0.127
59306.454,NaN,NaN,18.638,0.113
59306.458,NaN,NaN,18.812,0.144
59306.464,NaN,NaN,18.574,0.115
59306.487,NaN,NaN,18.860,0.163
59308.379,19.088,0.106,NaN,NaN
59308.408,19.412,0.142,NaN,NaN
59308.416,19.315,0.118,NaN,NaN
59312.370,19.244,0.119,NaN,NaN
59312.380,18.764,0.108,NaN,NaN
59312.408,19.199,0.111,NaN,NaN
59312.413,19.485,0.155,NaN,NaN
59312.415,19.333,0.120,NaN,NaN
59312.418,19.193,0.090,NaN,NaN
59312.425,19.727,0.165,NaN,NaN
59312.439,19.273,0.109,NaN,NaN
59320.353,17.972,0.075,NaN,NaN
59320.368,18.416,0.086,NaN,NaN
59322.349,NaN,NaN,19.049,0.174
59322.352,NaN,NaN,19.242,0.185
59322.357,NaN,NaN,19.315,0.253
59322.358,NaN,NaN,19.004,0.166
59322.391,NaN,NaN,19.276,0.209
59324.351,NaN,NaN,18.975,0.107
59324.359,NaN,NaN,18.964,0.111
59324.362,NaN,NaN,19.275,0.136
59324.372,NaN,NaN,19.135,0.119
59335.373,NaN,NaN,20.021,0.251
59350.315,19.779,0.245,NaN,NaN
