MJD,c,c_err,o,o_err
59231.243,18.470,0.070,NaN,NaN
59231.247,18.381,0.070,NaN,NaN
59231.259,18.328,0.066,NaN,NaN
59231.271,18.424,0.078,NaN,NaN
59235.293,NaN,NaN,18.112,0.088
59235.303,NaN,NaN,17.781,0.085
59245.219,NaN,NaN,17.723,0.042
59245.243,NaN,NaN,17.831,0.042
59245.247,NaN,NaN,17.653,0.044
59245.248,NaN,NaN,17.656,0.051
59245.263,NaN,NaN,17.638,0.033
59251.281,18.241,0.069,NaN,NaN
59251.285,18.111,0.058,NaN,NaN
59251.290,18.064,0.064,NaN,NaN
59251.302,18.097,0.063,NaN,NaN
59253.223,18.179,0.064,NaN,NaN
59253.227,18.185,0.057,NaN,NaN
59253.235,18.246,0.065,NaN,NaN
59253.245,18.015,0.045,NaN,NaN
59255.217,18.297,0.167,NaN,NaN
59255.220,18.182,0.110,NaN,NaN
59255.227,18.155,0.066,NaN,NaN
59255.238,18.097,0.065,NaN,NaN
59257.252,18.078,0.052,NaN,NaN
59257.255,18.169,0.056,NaN,NaN
59257.261,18.338,0.065,NaN,NaN
59257.273,18.185,0.062,NaN,NaN
59267.241,NaN,NaN,17.581,0.059
59267.244,NaN,NaN,17.661,0.058
59267.250,NaN,NaN,17.798,0.066
59267.261,NaN,NaN,17.684,0.072
59407.571,18.996,0.221,NaN,NaN
59409.562,NaN,NaN,19.787,0.245
59409.564,NaN,NaN,20.013,0.238
59413.620,NaN,NaN,19.396,0.259
59425.593,NaN,NaN,19.304,0.208
59429.580,NaN,NaN,19.801,0.222
59429.585,NaN,NaN,19.703,0.208
59443.552,NaN,NaN,19.592,0.220
59457.566,NaN,NaN,19.839,0.238
59519.422,20.159,0.275,NaN,NaN
