MJD,c,c_err,o,o_err
59231.518,19.589,0.177,NaN,NaN
59231.520,19.328,0.118,NaN,NaN
59231.524,19.569,0.164,NaN,NaN
59231.529,19.250,0.111,NaN,NaN
59251.557,NaN,NaN,18.471,0.069
59251.560,NaN,NaN,18.603,0.074
59251.568,NaN,NaN,18.520,0.066
59251.578,NaN,NaN,18.704,0.097
59253.484,18.501,0.062,NaN,NaN
59253.487,18.525,0.073,NaN,NaN
59253.510,18.590,0.072,NaN,NaN
59253.528,18.593,0.063,NaN,NaN
59255.468,18.483,0.071,NaN,NaN
59255.471,18.536,0.074,NaN,NaN
59255.474,18.547,0.084,NaN,NaN
59255.483,18.563,0.072,NaN,NaN
59257.536,18.502,0.057,NaN,NaN
59257.543,18.726,0.074,NaN,NaN
59257.573,18.770,0.070,NaN,NaN
59257.579,18.707,0.102,NaN,NaN
59261.457,18.687,0.067,NaN,NaN
59261.459,18.645,0.066,NaN,NaN
59261.463,18.732,0.096,NaN,NaN
59261.468,18.719,0.081,NaN,NaN
59267.497,NaN,NaN,18.793,0.116
59267.501,NaN,NaN,18.656,0.114
59267.509,NaN,NaN,18.811,0.113
59267.522,NaN,NaN,18.646,0.099
59267.538,NaN,NaN,18.597,0.096
59269.376,NaN,NaN,19.103,0.233
59269.380,NaN,NaN,19.095,0.196
59269.385,NaN,NaN,18.677,0.147
59269.393,NaN,NaN,18.704,0.120
59277.487,NaN,NaN,18.853,0.103
59277.490,NaN,NaN,18.671,0.092
59277.497,NaN,NaN,18.770,0.103
59277.547,NaN,NaN,18.962,0.169
59291.383,19.241,0.108,NaN,NaN
59291.386,19.132,0.105,NaN,NaN
59291.388,19.106,0.097,NaN,NaN
59291.395,19.213,0.108,NaN,NaN
59293.447,NaN,NaN,18.894,0.081
59293.459,NaN,NaN,18.949,0.099
59293.462,NaN,NaN,18.935,0.088
59293.488,NaN,NaN,19.020,0.098
59297.352,NaN,NaN,18.767,0.127
59297.354,NaN,NaN,19.076,0.149
59297.357,NaN,NaN,19.410,0.235
59297.362,NaN,NaN,18.861,0.158
59303.401,NaN,NaN,18.906,0.168
59303.409,NaN,NaN,18.667,0.213
59303.412,NaN,NaN,18.823,0.192
59303.422,NaN,NaN,18.810,0.191
59305.553,NaN,NaN,19.037,0.272
59305.569,NaN,NaN,18.519,0.172
59307.430,NaN,NaN,18.888,0.128
59309.444,19.472,0.117,NaN,NaN
59309.447,19.311,0.105,NaN,NaN
59309.460,19.192,0.114,NaN,NaN
59309.488,19.252,0.109,NaN,NaN
59313.377,19.294,0.112,NaN,NaN
59313.380,19.292,0.105,NaN,NaN
59313.393,19.260,0.129,NaN,NaN
59313.414,19.230,0.098,NaN,NaN
59319.362,NaN,NaN,18.942,0.102
59319.366,NaN,NaN,18.780,0.094
59319.373,NaN,NaN,19.083,0.127
59319.406,NaN,NaN,19.038,0.135
59321.376,19.422,0.109,NaN,NaN
59321.409,19.284,0.113,NaN,NaN
59321.428,19.409,0.153,NaN,NaN
59321.452,19.038,0.104,NaN,NaN
59323.317,NaN,NaN,19.051,0.156
59323.319,NaN,NaN,19.145,0.152
59323.321,NaN,NaN,18.949,0.123
59323.327,NaN,NaN,19.147,0.152
59323.344,NaN,NaN,18.977,0.147
59323.351,NaN,NaN,18.913,0.130
59323.384,NaN,NaN,18.798,0.116
59323.409,NaN,NaN,19.144,0.163
59331.386,NaN,NaN,19.076,0.289
59332.387,NaN,NaN,18.792,0.156
59332.391,NaN,NaN,19.445,0.260
59332.396,NaN,NaN,18.836,0.156
59332.407,NaN,NaN,19.214,0.208
59333.338,NaN,NaN,19.608,0.248
59333.367,NaN,NaN,19.520,0.215
59333.379,NaN,NaN,19.551,0.181
59333.389,NaN,NaN,19.381,0.195
59335.320,NaN,NaN,19.219,0.135
59335.323,NaN,NaN,19.697,0.210
59335.333,NaN,NaN,19.505,0.201
59335.344,NaN,NaN,19.730,0.248
59337.423,NaN,NaN,19.530,0.184
59337.442,NaN,NaN,19.028,0.128
59337.446,NaN,NaN,19.063,0.171
59343.330,19.800,0.205,NaN,NaN
59345.369,NaN,NaN,19.800,0.222
59345.373,NaN,NaN,19.603,0.170
59345.398,NaN,NaN,19.447,0.161
59347.323,20.009,0.254,NaN,NaN
59349.306,NaN,NaN,19.709,0.168
59349.316,NaN,NaN,19.970,0.235
59349.319,NaN,NaN,19.894,0.242
59351.294,NaN,NaN,19.465,0.227
