MJD,c,c_err,o,o_err
59243.563,NaN,NaN,18.097,0.106
59243.570,NaN,NaN,17.969,0.122
59243.574,NaN,NaN,17.852,0.078
59243.580,NaN,NaN,17.808,0.093
59245.517,NaN,NaN,17.886,0.070
59245.519,NaN,NaN,17.948,0.091
59245.526,NaN,NaN,17.836,0.083
59245.546,NaN,NaN,17.939,0.090
59251.600,NaN,NaN,17.701,0.036
59251.603,NaN,NaN,17.750,0.044
59251.636,NaN,NaN,17.706,0.038
59251.641,NaN,NaN,17.640,0.037
59253.487,18.096,0.043,NaN,NaN
59253.490,18.168,0.050,NaN,NaN
59253.513,18.121,0.041,NaN,NaN
59253.530,18.020,0.037,NaN,NaN
59257.553,18.101,0.041,NaN,NaN
59257.558,18.265,0.045,NaN,NaN
59257.565,18.249,0.050,NaN,NaN
59257.586,18.132,0.047,NaN,NaN
59261.358,18.260,0.061,NaN,NaN
59261.393,18.411,0.059,NaN,NaN
59261.396,18.475,0.053,NaN,NaN
59261.424,18.214,0.055,NaN,NaN
59263.546,18.554,0.133,NaN,NaN
59263.548,18.255,0.209,NaN,NaN
59267.592,18.705,0.060,NaN,NaN
59267.611,18.674,0.065,NaN,NaN
59267.621,18.449,0.058,NaN,NaN
59267.624,18.603,0.061,NaN,NaN
59269.440,NaN,NaN,18.329,0.125
59269.444,NaN,NaN,18.141,0.086
59269.450,NaN,NaN,18.068,0.078
59269.456,NaN,NaN,18.188,0.095
59277.474,NaN,NaN,18.302,0.076
59277.476,NaN,NaN,18.530,0.093
59277.509,NaN,NaN,18.289,0.068
59277.543,NaN,NaN,18.487,0.066
59291.505,18.897,0.085,NaN,NaN
59291.510,18.939,0.090,NaN,NaN
59291.513,19.190,0.123,NaN,NaN
59291.548,19.393,0.142,NaN,NaN
59293.467,NaN,NaN,18.586,0.062
59293.471,NaN,NaN,18.584,0.048
59293.476,NaN,NaN,18.609,0.064
59293.481,NaN,NaN,18.590,0.062
59297.491,NaN,NaN,18.461,0.078
59297.494,NaN,NaN,18.786,0.103
59297.523,NaN,NaN,18.507,0.085
59297.551,NaN,NaN,18.405,0.085
59303.482,NaN,NaN,18.973,0.222
59303.486,NaN,NaN,18.770,0.180
59303.517,NaN,NaN,18.586,0.164
59303.546,NaN,NaN,18.586,0.187
59305.428,NaN,NaN,18.507,0.101
59305.431,NaN,NaN,18.670,0.093
59305.434,NaN,NaN,18.772,0.115
59305.457,NaN,NaN,18.657,0.106
59307.404,NaN,NaN,18.646,0.087
59307.405,NaN,NaN,18.556,0.077
59307.408,NaN,NaN,18.563,0.088
59307.438,NaN,NaN,18.584,0.090
59309.421,19.827,0.157,NaN,NaN
59309.435,20.007,0.191,NaN,NaN
59309.437,19.671,0.139,NaN,NaN
59309.451,19.801,0.146,NaN,NaN
59310.414,19.855,0.180,NaN,NaN
59310.416,19.706,0.124,NaN,NaN
59310.419,19.951,0.196,NaN,NaN
59310.425,19.512,0.119,NaN,NaN
59313.445,20.008,0.179,NaN,NaN
59313.455,19.665,0.138,NaN,NaN
59313.458,19.763,0.141,NaN,NaN
59313.470,20.347,0.267,NaN,NaN
59317.457,20.335,0.269,NaN,NaN
59317.468,20.180,0.236,NaN,NaN
59319.386,NaN,NaN,19.136,0.156
59319.419,NaN,NaN,19.348,0.139
59319.422,NaN,NaN,19.518,0.205
59319.428,NaN,NaN,19.527,0.199
59321.456,20.244,0.287,NaN,NaN
59323.354,NaN,NaN,19.777,0.290
59333.441,NaN,NaN,19.181,0.222
59333.444,NaN,NaN,19.354,0.229
59333.486,NaN,NaN,19.388,0.300
59335.413,NaN,NaN,19.436,0.211
59335.440,NaN,NaN,19.503,0.267
59337.511,NaN,NaN,19.857,0.185
59337.556,NaN,NaN,19.533,0.250
59341.522,NaN,NaN,20.004,0.287
59341.526,NaN,NaN,19.781,0.230
59341.545,NaN,NaN,19.564,0.225
59345.362,NaN,NaN,20.006,0.277
59345.423,NaN,NaN,19.581,0.240
59349.349,NaN,NaN,19.505,0.218
59349.355,NaN,NaN,19.895,0.273
59353.315,NaN,NaN,20.023,0.286
59353.330,NaN,NaN,19.550,0.201
59361.455,NaN,NaN,19.221,0.294
59363.379,NaN,NaN,19.468,0.277
59367.356,NaN,NaN,20.130,0.295
59381.293,NaN,NaN,19.881,0.225
59385.370,NaN,NaN,18.806,0.262
59389.288,NaN,NaN,19.384,0.252
59393.311,NaN,NaN,20.017,0.273
59393.325,NaN,NaN,20.101,0.230
59405.259,NaN,NaN,20.076,0.222
59405.280,NaN,NaN,20.155,0.250
