MJD,c,c_err,o,o_err
59252.536,19.192,0.121,NaN,NaN
59252.540,19.129,0.113,NaN,NaN
59252.548,18.884,0.092,NaN,NaN
59252.551,19.148,0.124,NaN,NaN
59253.466,19.217,0.154,NaN,NaN
59253.468,18.770,0.088,NaN,NaN
59253.492,18.856,0.084,NaN,NaN
59253.509,18.939,0.099,NaN,NaN
59255.460,18.775,0.087,NaN,NaN
59255.461,18.866,0.080,NaN,NaN
59255.464,18.787,0.082,NaN,NaN
59255.469,18.861,0.080,NaN,NaN
59257.502,18.732,0.068,NaN,NaN
59257.505,18.593,0.061,NaN,NaN
59257.527,18.736,0.069,NaN,NaN
59257.537,18.829,0.065,NaN,NaN
59258.363,18.690,0.092,NaN,NaN
59258.379,18.944,0.095,NaN,NaN
59258.405,18.799,0.101,NaN,NaN
59258.417,18.800,0.093,NaN,NaN
59261.437,18.893,0.083,NaN,NaN
59261.438,18.904,0.076,NaN,NaN
59261.454,19.214,0.106,NaN,NaN
59261.457,18.904,0.080,NaN,NaN
59262.506,18.686,0.084,NaN,NaN
59262.510,18.675,0.077,NaN,NaN
59262.516,19.224,0.152,NaN,NaN
59262.551,18.989,0.134,NaN,NaN
59267.440,NaN,NaN,18.839,0.139
59267.484,NaN,NaN,18.962,0.144
59267.491,NaN,NaN,18.861,0.127
59268.388,NaN,NaN,19.565,0.276
59268.388,NaN,NaN,18.664,0.156
59268.403,NaN,NaN,19.270,0.227
59268.405,NaN,NaN,18.598,0.109
59268.406,NaN,NaN,18.982,0.166
59268.412,NaN,NaN,18.308,0.153
59268.412,NaN,NaN,18.957,0.178
59268.416,NaN,NaN,18.848,0.152
59269.346,NaN,NaN,18.828,0.186
59269.354,NaN,NaN,19.111,0.265
59269.355,NaN,NaN,18.861,0.199
59269.360,NaN,NaN,19.110,0.235
59269.360,NaN,NaN,18.951,0.212
59269.369,NaN,NaN,18.500,0.188
59269.375,NaN,NaN,18.791,0.140
59276.493,NaN,NaN,19.109,0.175
59276.503,NaN,NaN,18.864,0.139
59277.546,NaN,NaN,19.251,0.195
59277.549,NaN,NaN,19.044,0.181
59277.559,NaN,NaN,19.367,0.181
59291.390,19.662,0.200,NaN,NaN
59291.392,19.163,0.124,NaN,NaN
59291.417,19.955,0.214,NaN,NaN
59291.432,19.726,0.217,NaN,NaN
59292.416,NaN,NaN,19.603,0.198
59292.420,NaN,NaN,19.651,0.175
59297.439,NaN,NaN,19.080,0.196
59297.449,NaN,NaN,19.115,0.233
59297.453,NaN,NaN,19.072,0.206
59303.414,NaN,NaN,18.794,0.252
59309.411,19.729,0.144,NaN,NaN
59312.426,19.965,0.208,NaN,NaN
59313.394,20.449,0.288,NaN,NaN
59321.349,NaN,NaN,19.850,0.275
59334.343,NaN,NaN,19.852,0.272
59352.316,NaN,NaN,19.374,0.210
59397.259,NaN,NaN,19.840,0.277
