MJD,c,c_err,o,o_err
59253.373,17.791,0.070,NaN,NaN
59253.409,17.657,0.037,NaN,NaN
59253.428,17.575,0.027,NaN,NaN
59253.453,17.644,0.028,NaN,NaN
59255.516,16.993,0.021,NaN,NaN
59255.526,16.936,0.019,NaN,NaN
59255.529,16.984,0.019,NaN,NaN
59255.534,16.993,0.020,NaN,NaN
59257.522,16.871,0.018,NaN,NaN
59257.552,16.897,0.017,NaN,NaN
59257.557,16.878,0.017,NaN,NaN
59261.476,17.081,0.020,NaN,NaN
59261.479,17.075,0.019,NaN,NaN
59261.491,17.018,0.018,NaN,NaN
59263.513,17.129,0.043,NaN,NaN
59263.515,17.139,0.034,NaN,NaN
59263.546,17.106,0.048,NaN,NaN
59267.591,17.384,0.026,NaN,NaN
59267.610,17.366,0.027,NaN,NaN
59267.617,17.386,0.027,NaN,NaN
59267.621,17.419,0.027,NaN,NaN
59269.424,NaN,NaN,17.457,0.039
59269.429,NaN,NaN,17.443,0.040
59269.432,NaN,NaN,17.393,0.032
59269.438,NaN,NaN,17.386,0.039
59277.463,NaN,NaN,17.980,0.070
59277.473,NaN,NaN,17.698,0.048
59277.475,NaN,NaN,17.537,0.046
59277.507,NaN,NaN,17.850,0.051
59277.508,NaN,NaN,17.753,0.047
59277.542,NaN,NaN,17.753,0.037
59291.441,18.171,0.050,NaN,NaN
59291.469,18.206,0.046,NaN,NaN
59291.471,18.201,0.047,NaN,NaN
59291.501,18.113,0.049,NaN,NaN
59293.430,NaN,NaN,17.816,0.034
59293.461,NaN,NaN,17.790,0.034
59293.467,NaN,NaN,17.857,0.035
59293.470,NaN,NaN,17.876,0.038
59297.368,NaN,NaN,17.955,0.060
59297.370,NaN,NaN,17.839,0.049
59297.373,NaN,NaN,17.800,0.047
59297.395,NaN,NaN,17.820,0.055
59303.480,NaN,NaN,17.837,0.069
59303.483,NaN,NaN,17.854,0.079
59303.515,NaN,NaN,17.746,0.070
59303.544,NaN,NaN,17.987,0.087
59305.462,NaN,NaN,18.005,0.044
59305.497,NaN,NaN,18.015,0.046
59305.504,NaN,NaN,18.035,0.048
59305.517,NaN,NaN,18.110,0.068
59307.392,NaN,NaN,18.112,0.064
59307.394,NaN,NaN,18.067,0.051
59307.398,NaN,NaN,18.058,0.054
59307.403,NaN,NaN,18.122,0.052
59309.455,18.684,0.052,NaN,NaN
59309.458,18.690,0.062,NaN,NaN
59309.495,18.550,0.060,NaN,NaN
59309.501,18.653,0.058,NaN,NaN
59310.435,18.661,0.058,NaN,NaN
59310.462,18.730,0.058,NaN,NaN
59310.491,18.749,0.061,NaN,NaN
59310.516,18.854,0.070,NaN,NaN
59313.445,19.259,0.102,NaN,NaN
59313.458,18.940,0.075,NaN,NaN
59313.472,18.997,0.088,NaN,NaN
59313.483,19.232,0.110,NaN,NaN
59317.452,19.690,0.181,NaN,NaN
59317.456,19.420,0.136,NaN,NaN
59317.469,19.799,0.180,NaN,NaN
59317.475,19.551,0.158,NaN,NaN
59319.377,NaN,NaN,18.847,0.122
59319.380,NaN,NaN,19.013,0.140
59319.384,NaN,NaN,18.951,0.104
59319.401,NaN,NaN,19.266,0.126
59321.423,19.995,0.178,NaN,NaN
59321.454,20.180,0.195,NaN,NaN
59321.461,19.958,0.184,NaN,NaN
59321.468,19.782,0.156,NaN,NaN
59323.357,NaN,NaN,19.248,0.124
59323.359,NaN,NaN,19.032,0.117
59323.362,NaN,NaN,18.872,0.106
59323.388,NaN,NaN,18.792,0.086
59327.311,NaN,NaN,19.294,0.294
59327.324,NaN,NaN,19.397,0.274
59331.440,NaN,NaN,19.005,0.270
59331.453,NaN,NaN,19.071,0.257
59331.458,NaN,NaN,18.870,0.269
59333.441,NaN,NaN,19.160,0.215
59333.441,NaN,NaN,18.997,0.135
59333.444,NaN,NaN,19.336,0.217
59333.444,NaN,NaN,19.350,0.269
59333.476,NaN,NaN,19.097,0.213
59333.476,NaN,NaN,19.440,0.225
59333.480,NaN,NaN,19.212,0.229
59333.486,NaN,NaN,18.914,0.147
59335.368,NaN,NaN,19.134,0.123
59335.374,NaN,NaN,19.482,0.194
59335.407,NaN,NaN,19.178,0.141
59335.410,NaN,NaN,19.440,0.203
59337.461,NaN,NaN,19.418,0.150
59337.508,NaN,NaN,19.357,0.193
59339.530,NaN,NaN,19.246,0.202
59339.533,NaN,NaN,19.306,0.193
59339.539,NaN,NaN,18.701,0.128
59341.520,NaN,NaN,19.277,0.241
59341.524,NaN,NaN,19.427,0.187
59341.530,NaN,NaN,19.082,0.146
