MJD,g,gerr,r,rerr
58266.3,NaN,NaN,19.06,0.15
58266.4,18.73,0.13,NaN,NaN
58269.3,18.9,0.13,NaN,NaN
58272.3,18.68,0.05,18.93,0.09
58272.4,18.67,0.06,18.84,0.09
58275.4,NaN,NaN,18.75,0.06
58276.3,NaN,NaN,18.98,0.07
58276.4,18.83,0.05,NaN,NaN
58278.3,NaN,NaN,18.83,0.06
58278.4,18.91,0.05,NaN,NaN
58279.4,18.95,0.06,18.86,0.07
58281.4,18.95,0.05,18.87,0.06
58282.3,NaN,NaN,18.81,0.07
58282.4,19.03,0.07,NaN,NaN
58284.3,NaN,NaN,18.74,0.06
58284.4,18.91,0.07,NaN,NaN
58285.3,NaN,NaN,18.89,0.07
58287.3,19.15,0.06,NaN,NaN
58288.3,NaN,NaN,18.9,0.09
58288.4,19.32,0.1,NaN,NaN
58290.2,19.54,0.17,NaN,NaN
58290.4,NaN,NaN,18.84,0.09
58292.3,NaN,NaN,18.92,0.09
58293.2,NaN,NaN,18.9,0.11
58293.3,19.58,0.17,NaN,NaN
58295.3,NaN,NaN,19.05,0.15
58295.4,19.51,0.22,NaN,NaN
58297.3,NaN,NaN,18.97,0.15
58298.2,19.81,0.23,NaN,NaN
58298.3,NaN,NaN,19.1,0.24
58300.2,19.92,0.18,NaN,NaN
58300.4,NaN,NaN,19.13,0.15
58301.3,20.04,0.24,19.1,0.11
58303.3,NaN,NaN,19.21,0.11
58304.2,20.22,0.17,NaN,NaN
58306.2,NaN,NaN,19.14,0.1
58306.3,20.02,0.19,NaN,NaN
58307.2,NaN,NaN,19.37,0.13
58310.3,20.11,0.16,NaN,NaN
58313.2,NaN,NaN,19.15,0.1
58316.2,NaN,NaN,19.22,0.09
58318.3,NaN,NaN,19.44,0.12
58318.4,20.51,0.19,NaN,NaN
58321.4,20.52,0.28,NaN,NaN
58322.2,NaN,NaN,19.22,0.13
58324.2,NaN,NaN,19.41,0.2
58325.2,NaN,NaN,19.61,0.18
58330.3,NaN,NaN,19.36,0.2
58333.2,20.84,0.29,NaN,NaN
58333.3,NaN,NaN,19.44,0.17
58336.2,NaN,NaN,19.49,0.11
58340.2,NaN,NaN,19.45,0.14
58343.2,NaN,NaN,19.51,0.13
58346.2,NaN,NaN,19.55,0.14
58349.3,NaN,NaN,19.7,0.21
58351.2,NaN,NaN,19.69,0.2
58354.2,NaN,NaN,19.82,0.23
58355.2,NaN,NaN,19.67,0.19
58358.2,NaN,NaN,19.64,0.16
58360.2,NaN,NaN,19.79,0.21
58361.1,NaN,NaN,19.76,0.16
58363.2,NaN,NaN,19.77,0.16
58364.2,NaN,NaN,19.79,0.14
58372.2,20.86,0.27,19.96,0.18
58373.2,NaN,NaN,19.88,0.2
58375.2,NaN,NaN,19.72,0.17
58377.1,NaN,NaN,19.85,0.19
58378.1,NaN,NaN,20.07,0.21
