MJD,g,gerr,r,rerr
59157.5,NaN,NaN,18.34,0.09
59248.4,NaN,NaN,17.8,0.06
59248.5,18.33,0.07,NaN,NaN
59250.4,18.34,0.09,17.87,0.07
59252.3,NaN,NaN,17.87,0.05
59252.5,18.42,0.07,NaN,NaN
59254.4,18.51,0.08,18.0,0.08
59256.4,NaN,NaN,18.0,0.06
59258.3,NaN,NaN,17.97,0.06
59258.4,18.56,0.07,NaN,NaN
59262.4,18.67,0.09,18.08,0.07
59264.4,18.7,0.09,18.01,0.06
59266.4,NaN,NaN,18.14,0.1
59268.4,NaN,NaN,18.2,0.07
59268.5,18.95,0.11,NaN,NaN
59270.3,NaN,NaN,18.14,0.08
59274.4,NaN,NaN,18.15,0.13
59313.2,19.71,0.18,18.73,0.11
59315.2,19.69,0.18,NaN,NaN
59317.2,19.69,0.16,18.82,0.11
59321.2,19.85,0.15,NaN,NaN
59321.3,NaN,NaN,19.09,0.13
59323.3,19.77,0.23,19.12,0.17
59325.3,NaN,NaN,18.94,0.1
59335.2,NaN,NaN,19.17,0.19
59338.2,NaN,NaN,19.13,0.2
59340.2,20.09,0.24,19.37,0.16
59342.3,20.11,0.22,19.32,0.15
59344.2,NaN,NaN,19.15,0.11
59348.2,NaN,NaN,19.29,0.21
59350.2,20.17,0.24,19.36,0.2
59354.2,NaN,NaN,19.31,0.15
