MJD,g,gerr,r,rerr
58290.2,19.86,0.23,NaN,NaN
58290.3,NaN,NaN,19.93,0.14
58293.2,19.12,0.14,19.24,0.13
58296.2,19.0,0.21,NaN,NaN
58299.2,19.03,0.13,NaN,NaN
58299.3,NaN,NaN,18.99,0.16
58302.2,19.13,0.13,NaN,NaN
58305.2,19.19,0.12,19.08,0.09
58308.2,19.14,0.12,19.02,0.1
58311.2,NaN,NaN,19.03,0.1
58314.2,19.46,0.11,19.13,0.1
58319.2,19.66,0.2,19.11,0.14
58322.2,19.76,0.28,19.24,0.12
58325.2,19.54,0.2,19.23,0.13
58328.3,NaN,NaN,19.29,0.15
58331.2,19.92,0.23,19.32,0.1
58334.2,19.92,0.19,19.32,0.12
58337.2,20.3,0.27,19.42,0.1
58340.2,NaN,NaN,19.46,0.19
58344.2,20.07,0.27,19.36,0.1
58350.2,NaN,NaN,19.41,0.11
58353.2,NaN,NaN,19.42,0.13
58356.3,NaN,NaN,19.42,0.2
58362.2,NaN,NaN,19.37,0.12
58365.1,NaN,NaN,19.47,0.12
58368.1,NaN,NaN,19.39,0.11
58372.2,20.62,0.3,NaN,NaN
58378.1,NaN,NaN,19.55,0.11
58378.2,20.45,0.27,NaN,NaN
58381.1,NaN,NaN,19.78,0.2
