MJD,g,gerr,r,rerr
58291.2,NaN,NaN,17.33,0.04
58294.2,16.78,0.04,16.96,0.04
58297.2,NaN,NaN,16.78,0.04
58300.2,16.69,0.03,16.75,0.04
58303.2,16.72,0.04,NaN,NaN
58307.2,16.77,0.05,16.73,0.04
58322.2,NaN,NaN,16.81,0.04
58333.2,17.61,0.05,NaN,NaN
58336.2,17.62,0.06,16.96,0.04
58348.2,17.84,0.08,NaN,NaN
58424.6,NaN,NaN,19.01,0.22
58440.6,NaN,NaN,19.78,0.17
58443.5,NaN,NaN,19.81,0.28
58447.5,NaN,NaN,19.23,0.28
58461.6,NaN,NaN,19.81,0.16
58471.6,NaN,NaN,19.88,0.14
58474.5,NaN,NaN,19.84,0.23
58480.6,NaN,NaN,19.86,0.22
58486.5,NaN,NaN,20.07,0.2
58491.5,NaN,NaN,19.96,0.15
58502.6,NaN,NaN,20.14,0.19
